i j rcen thetacen vol temp xi ne heat_xray heat_comp heat_lines heat_ff cool_comp cool_lines cool_ff rho n_h
0 0 4.348375e+10 6.121442e-02 7.341598e+30 2.514272e+07 2.125505e+11 1.474256e+05 1.088835e-14 1.825239e-06 0.000000e+00 3.475991e-20 3.628147e-06 8.636771e-15 2.408823e-13 2.891734e-19 1.219690e+05
0 1 4.348375e+10 1.805825e-01 2.047723e+31 2.775268e+07 1.571658e+11 1.965748e+05 2.038205e-14 2.460482e-06 0.000000e+00 5.212872e-20 5.262659e-06 1.491664e-14 4.482960e-13 3.855789e-19 1.626314e+05
0 2 4.348375e+10 2.939822e-01 3.138727e+31 2.655861e+07 3.956373e+10 7.356793e+05 3.288277e-13 9.017180e-06 0.000000e+00 7.413732e-19 1.804998e-05 2.931627e-13 6.152045e-12 1.443025e-18 6.086464e+05
0 3 4.348375e+10 4.017120e-01 4.023665e+31 2.882643e+07 5.558009e+09 5.014605e+06 1.313575e-11 5.816111e-05 0.000000e+00 3.032236e-17 1.275446e-04 1.466536e-11 2.969157e-10 9.836080e-18 4.148712e+06
0 4 4.348375e+10 5.040552e-01 4.721977e+31 2.428723e+07 3.282058e+08 8.502011e+07 4.228166e-09 9.532169e-04 0.000000e+00 1.070544e-14 1.808944e-03 4.503355e-09 7.882840e-08 1.667658e-16 7.033932e+07
0 5 4.348375e+10 6.012813e-01 5.254376e+31 1.778929e+07 2.284568e+07 1.137947e+09 9.749745e-07 1.221146e-02 0.000000e+00 2.962546e-12 1.663072e-02 8.878336e-07 1.222998e-05 2.232068e-15 9.414530e+08
0 6 4.348375e+10 6.936460e-01 5.641704e+31 1.435558e+07 3.433624e+06 7.054038e+09 4.493896e-05 7.008357e-02 0.000000e+00 1.447288e-10 7.710274e-02 3.597835e-05 4.258341e-04 1.383640e-14 5.835987e+09
0 7 4.348375e+10 7.813926e-01 5.904070e+31 1.391153e+07 1.118655e+06 2.053564e+10 3.930422e-04 1.978504e-01 0.000000e+00 1.256590e-09 2.073900e-01 3.070430e-04 3.557244e-03 4.028039e-14 1.698967e+10
0 8 4.348375e+10 8.647518e-01 6.060339e+31 1.364751e+07 4.867060e+05 4.367767e+10 1.657542e-03 3.789359e-01 0.000000e+00 5.447115e-09 3.971190e-01 1.394748e-03 1.595117e-02 8.567318e-14 3.613567e+10
0 9 4.348375e+10 9.439430e-01 6.127788e+31 1.327315e+07 2.508223e+05 7.863396e+10 5.657899e-03 6.383823e-01 0.000000e+00 1.852582e-08 6.470280e-01 4.547287e-03 5.104398e-02 1.542395e-13 6.505592e+10
0 10 4.348375e+10 1.019175e+00 6.121963e+31 1.275844e+07 1.448620e+05 1.279390e+11 1.760784e-02 9.798600e-01 0.000000e+00 4.719165e-08 9.528039e-01 1.213354e-02 1.326905e-01 2.509508e-13 1.058473e+11
0 11 4.348375e+10 1.090645e+00 6.056775e+31 1.209168e+07 9.342475e+04 1.952948e+11 3.978197e-02 1.435304e+00 0.000000e+00 1.078817e-07 1.345430e+00 2.858504e-02 3.016528e-01 3.830684e-13 1.615725e+11
0 12 4.348375e+10 1.158541e+00 5.944095e+31 1.126351e+07 5.587862e+04 2.868080e+11 8.354010e-02 1.819937e+00 0.000000e+00 2.444842e-07 1.624684e+00 6.246915e-02 6.297350e-01 5.625710e-13 2.372840e+11
