i j rcen thetacen vol temp xi ne heat_xray heat_comp heat_lines heat_ff cool_comp cool_lines cool_ff rho n_h
0 0 4.348375e+10 6.121442e-02 7.341598e+30 2.514272e+07 1.878746e+11 1.474256e+05 9.590528e-15 1.572381e-06 0.000000e+00 3.870631e-20 3.220878e-06 8.636771e-15 2.408823e-13 2.891734e-19 1.219690e+05
0 1 4.348375e+10 1.805825e-01 2.047723e+31 2.775268e+07 1.490348e+11 1.965748e+05 1.974025e-14 2.363578e-06 0.000000e+00 5.583661e-20 5.036525e-06 1.491664e-14 4.482960e-13 3.855789e-19 1.626314e+05
0 2 4.348375e+10 2.939822e-01 3.138727e+31 2.655861e+07 3.951055e+10 7.356793e+05 2.638584e-13 8.805474e-06 0.000000e+00 7.609158e-19 1.791157e-05 2.931627e-13 6.152045e-12 1.443025e-18 6.086464e+05
0 3 4.348375e+10 4.017120e-01 4.023665e+31 2.882643e+07 5.511676e+09 5.014605e+06 1.196309e-11 5.609281e-05 0.000000e+00 3.017815e-17 1.257809e-04 1.466536e-11 2.969157e-10 9.836080e-18 4.148712e+06
0 4 4.348375e+10 5.040552e-01 4.721977e+31 2.428723e+07 3.229694e+08 8.502011e+07 4.337818e-09 9.475297e-04 0.000000e+00 1.078778e-14 1.783372e-03 4.503355e-09 7.882840e-08 1.667658e-16 7.033932e+07
0 5 4.348375e+10 6.012813e-01 5.254376e+31 1.778929e+07 2.241974e+07 1.137947e+09 9.952259e-07 1.155737e-02 0.000000e+00 3.067434e-12 1.625858e-02 8.878332e-07 1.222998e-05 2.232068e-15 9.414530e+08
0 6 4.348375e+10 6.936460e-01 5.641704e+31 1.435558e+07 3.515278e+06 7.054038e+09 4.615986e-05 7.179024e-02 0.000000e+00 1.473931e-10 7.890822e-02 3.597829e-05 4.258341e-04 1.383640e-14 5.835987e+09
0 7 4.348375e+10 7.813926e-01 5.904070e+31 1.391153e+07 1.148105e+06 2.053564e+10 4.138850e-04 1.959819e-01 0.000000e+00 1.292025e-09 2.118743e-01 3.070391e-04 3.557243e-03 4.028039e-14 1.698967e+10
0 8 4.348375e+10 8.647518e-01 6.060339e+31 1.364751e+07 5.074771e+05 4.367767e+10 1.751780e-03 3.860490e-01 0.000000e+00 5.584107e-09 4.144852e-01 1.394720e-03 1.595117e-02 8.567318e-14 3.613567e+10
0 9 4.348375e+10 9.439430e-01 6.127788e+31 1.327315e+07 2.510278e+05 7.863396e+10 5.868463e-03 6.390112e-01 0.000000e+00 1.729064e-08 6.499483e-01 4.546896e-03 5.104392e-02 1.542395e-13 6.505592e+10
