 i  j inwind              x              z         v_x         v_y          v_z      rho     t_r
-- -- ------ -------------- -------------- ----------- ----------- ------------ -------- -------
 0  0     -2            0.0            0.0         0.0         0.0     600000.0      0.0     0.0
 0  1     -1            0.0    700000000.0         0.0         0.0    2250000.0      0.0     0.0
 0  2     -1            0.0    916000000.0         0.0         0.0    3070000.0      0.0     0.0
 0  3     -1            0.0   1200000000.0         0.0         0.0    4290000.0      0.0     0.0
 0  4     -1            0.0   1570000000.0         0.0         0.0    6120000.0      0.0     0.0
 0  5     -1            0.0   2050000000.0         0.0         0.0    8860000.0      0.0     0.0
 0  6     -1            0.0   2690000000.0         0.0         0.0   12900000.0      0.0     0.0
 0  7     -1            0.0   3520000000.0         0.0         0.0   19000000.0      0.0     0.0
 0  8     -1            0.0   4600000000.0         0.0         0.0   28000000.0      0.0     0.0
 0  9     -1            0.0   6020000000.0         0.0         0.0   41300000.0      0.0     0.0
 0 10     -1            0.0   7880000000.0         0.0         0.0   60700000.0      0.0     0.0
 0 11     -1            0.0  10300000000.0         0.0         0.0   89000000.0      0.0     0.0
 0 12     -1            0.0  13500000000.0         0.0         0.0  130000000.0      0.0     0.0
 0 13     -1            0.0  17700000000.0         0.0         0.0  186000000.0      0.0     0.0
 0 14     -1            0.0  23100000000.0         0.0         0.0  264000000.0      0.0     0.0
 0 15     -1            0.0  30300000000.0         0.0         0.0  366000000.0      0.0     0.0
 0 16     -1            0.0  39600000000.0         0.0         0.0  494000000.0      0.0     0.0
 0 17     -1            0.0  51800000000.0         0.0         0.0  643000000.0      0.0     0.0
 0 18     -1            0.0  67800000000.0         0.0         0.0  807000000.0      0.0     0.0
 0 19     -1            0.0  88800000000.0         0.0         0.0  972000000.0      0.0     0.0
 0 20     -1            0.0 116000000000.0         0.0         0.0 1130000000.0      0.0     0.0
 0 21     -1            0.0 152000000000.0         0.0         0.0 1260000000.0      0.0     0.0
 0 22     -1            0.0 199000000000.0         0.0         0.0 1370000000.0      0.0     0.0
 0 23     -1            0.0 260000000000.0         0.0         0.0 1450000000.0      0.0     0.0
 0 24     -1            0.0 341000000000.0         0.0         0.0 1510000000.0      0.0     0.0
 0 25     -1            0.0 446000000000.0         0.0         0.0 1560000000.0      0.0     0.0
 0 26     -1            0.0 584000000000.0         0.0         0.0 1590000000.0      0.0     0.0
 0 27     -1            0.0 764000000000.0         0.0         0.0 1610000000.0      0.0     0.0
 0 28     -1            0.0          1e+12         0.0         0.0 1620000000.0      0.0     0.0
 0 29     -1            0.0       1.31e+12         0.0         0.0 1630000000.0      0.0     0.0
 1  0      1   2800000000.0            0.0    205000.0 195000000.0     564000.0 2.34e-10 41600.0
 1  1      1   2800000000.0    700000000.0    482000.0 186000000.0    1450000.0 1.11e-10 44100.0
 1  2      1   2800000000.0    916000000.0    616000.0 184000000.0    1910000.0 7.93e-11 45700.0
 1  3      1   2800000000.0   1200000000.0    812000.0 181000000.0    2610000.0 5.34e-11 46500.0
 1  4      1   2800000000.0   1570000000.0   1100000.0 177000000.0    3670000.0 3.42e-11 47500.0
 1  5     -1   2800000000.0   2050000000.0   1500000.0 173000000.0    5320000.0      0.0     0.0
 1  6     -1   2800000000.0   2690000000.0   2080000.0 168000000.0    7870000.0      0.0     0.0
 1  7     -1   2800000000.0   3520000000.0   2900000.0 161000000.0   11900000.0      0.0     0.0
 1  8     -1   2800000000.0   4600000000.0   4020000.0 154000000.0   18100000.0      0.0     0.0
 1  9     -1   2800000000.0   6020000000.0   5560000.0 146000000.0   28000000.0      0.0     0.0
 1 10     -1   2800000000.0   7880000000.0   7610000.0 137000000.0   43700000.0      0.0     0.0
 1 11     -1   2800000000.0  10300000000.0  10300000.0 127000000.0   68600000.0      0.0     0.0
 1 12     -1   2800000000.0  13500000000.0  13800000.0 117000000.0  108000000.0      0.0     0.0
 1 13     -1   2800000000.0  17700000000.0  18000000.0 107000000.0  170000000.0      0.0     0.0
 1 14     -1   2800000000.0  23100000000.0  23100000.0  97300000.0  265000000.0      0.0     0.0
 1 15     -1   2800000000.0  30300000000.0  26000000.0  87600000.0  366000000.0      0.0     0.0
 1 16     -1   2800000000.0  39600000000.0  28100000.0  78500000.0  494000000.0      0.0     0.0
 1 17     -1   2800000000.0  51800000000.0  29000000.0  70000000.0  643000000.0      0.0     0.0
 1 18     -1   2800000000.0  67800000000.0  28700000.0  62100000.0  807000000.0      0.0     0.0
 1 19     -1   2800000000.0  88800000000.0  27100000.0  55000000.0  972000000.0      0.0     0.0
 1 20     -1   2800000000.0 116000000000.0  24400000.0  48500000.0 1130000000.0      0.0     0.0
 1 21     -1   2800000000.0 152000000000.0  21200000.0  42700000.0 1260000000.0      0.0     0.0
 1 22     -1   2800000000.0 199000000000.0  17800000.0  37600000.0 1370000000.0      0.0     0.0
 1 23     -1   2800000000.0 260000000000.0  14500000.0  33000000.0 1450000000.0      0.0     0.0
 1 24     -1   2800000000.0 341000000000.0  11600000.0  28900000.0 1510000000.0      0.0     0.0
 1 25     -1   2800000000.0 446000000000.0   9200000.0  25300000.0 1560000000.0      0.0     0.0
 1 26     -1   2800000000.0 584000000000.0   7200000.0  22200000.0 1590000000.0      0.0     0.0
 1 27     -1   2800000000.0 764000000000.0   5590000.0  19400000.0 1610000000.0      0.0     0.0
 1 28     -1   2800000000.0          1e+12   4320000.0  17000000.0 1620000000.0      0.0     0.0
 1 29     -1   2800000000.0       1.31e+12   3330000.0  14900000.0 1630000000.0      0.0     0.0
 2  0      0   3480000000.0            0.0    258000.0 175000000.0     542000.0 2.36e-10 34000.0
 2  1      0   3480000000.0    700000000.0    579000.0 167000000.0    1360000.0 1.12e-10 36800.0
 2  2      0   3480000000.0    916000000.0    732000.0 165000000.0    1770000.0 7.96e-11 40200.0
 2  3      0   3480000000.0   1200000000.0    955000.0 162000000.0    2410000.0 5.37e-11 43400.0
 2  4      1   3480000000.0   1570000000.0   1270000.0 159000000.0    3370000.0 3.46e-11 45600.0
 2  5      1   3480000000.0   2050000000.0   1730000.0 155000000.0    4860000.0 2.13e-11 47500.0
 2  6      1   3480000000.0   2690000000.0   2390000.0 150000000.0    7160000.0 1.31e-11 49000.0
 2  7      1   3480000000.0   3520000000.0   3300000.0 145000000.0   10800000.0 7.38e-12 50000.0
 2  8     -1   3480000000.0   4600000000.0   4570000.0 138000000.0   16400000.0      0.0     0.0
 2  9     -1   3480000000.0   6020000000.0   6280000.0 131000000.0   25300000.0      0.0     0.0
 2 10     -1   3480000000.0   7880000000.0   8580000.0 123000000.0   39400000.0      0.0     0.0
 2 11     -1   3480000000.0  10300000000.0  11600000.0 114000000.0   61800000.0      0.0     0.0
 2 12     -1   3480000000.0  13500000000.0  15400000.0 105000000.0   97200000.0      0.0     0.0
 2 13     -1   3480000000.0  17700000000.0  20200000.0  96200000.0  153000000.0      0.0     0.0
 2 14     -1   3480000000.0  23100000000.0  25800000.0  87200000.0  238000000.0      0.0     0.0
 2 15     -1   3480000000.0  30300000000.0  32200000.0  78600000.0  365000000.0      0.0     0.0
 2 16     -1   3480000000.0  39600000000.0  34900000.0  70400000.0  494000000.0      0.0     0.0
 2 17     -1   3480000000.0  51800000000.0  36100000.0  62800000.0  643000000.0      0.0     0.0
 2 18     -1   3480000000.0  67800000000.0  35700000.0  55700000.0  807000000.0      0.0     0.0
 2 19     -1   3480000000.0  88800000000.0  33600000.0  49300000.0  972000000.0      0.0     0.0
 2 20     -1   3480000000.0 116000000000.0  30300000.0  43500000.0 1130000000.0      0.0     0.0
 2 21     -1   3480000000.0 152000000000.0  26300000.0  38300000.0 1260000000.0      0.0     0.0
 2 22     -1   3480000000.0 199000000000.0  22100000.0  33700000.0 1370000000.0      0.0     0.0
 2 23     -1   3480000000.0 260000000000.0  18100000.0  29600000.0 1450000000.0      0.0     0.0
 2 24     -1   3480000000.0 341000000000.0  14500000.0  25900000.0 1510000000.0      0.0     0.0
