#This is data for change exchance from Kingdon and Ferland 1996
#http://articles.adsabs.harvard.edu/pdf/1996ApJS..106..205K
#The way is works is X^{+n}+Y^{+m} -> X^{+(n+1)}+Y^{+m-1}
#X is usually hydrogen - so in most cases hydrogen is ionized by
#the recombination of the ion Y
#The energy defect delta_E is from Kingdon and Ferland 1999
#Where no data exists for any of the first four ions, we set everything to zero as per cloudy.
#https://iopscience.iop.org/article/10.1086/312008/pdf
#NB - the He+ rate is multiplied by 4.0 from Li	CT	Stancil, P. C., & Zygelman, B. 1996, ApJ, 472, 102
Label	Elem_1	Istate_1	Elem_2	Istate_2	a	b	c	d	Tmin	Tmax	delta_E	delta_E_ovr_K	KF_ion	KF_level
ChEx	1	1	2	2	1.87E-06	2.06E+00	9.93E+00	-3.89E+00	6.00E+03	1.00E+05	1.10E+01	0.00E+00	He+	total
ChEx	1	1	2	3	1.00E-05	0.00E+00	0.00E+00	0.00E+00	1.00E+03	1.00E+07	-4.08E+01	0.00E+00	He+2	total
ChEx	1	1	3	2	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	Li+1	nodata
ChEx	1	1	3	3	1.26E+01	9.60E-01	3.02E+00	-6.50E-01	1.00E+03	3.00E+04	3.02E+00	0.00E+00	Li+2	total
ChEx	1	1	3	4	1.00E-05	0.00E+00	0.00E+00	0.00E+00	2.00E+03	5.00E+04	-1.09E+02	0.00E+00	Li+3	total
ChEx	1	1	4	2	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	Be+1	nodata
ChEx	1	1	4	3	1.00E-05	0.00E+00	0.00E+00	0.00E+00	2.00E+03	5.00E+04	0.00E+00	0.00E+00	Be+2	total
ChEx	1	1	4	4	1.00E-05	0.00E+00	0.00E+00	0.00E+00	2.00E+03	5.00E+04	0.00E+00	0.00E+00	Be+3	total
ChEx	1	1	4	5	5.17E+01	8.20E-01	-6.90E-01	-1.12E+00	2.00E+03	5.00E+04	1.06E+01	0.00E+00	Be+4	total
ChEx	1	1	5	2	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	B+1	nodata
ChEx	1	1	5	2	2.00E-02	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	B+2	total
ChEx	1	1	5	4	1.00E-05	0.00E+00	0.00E+00	0.00E+00	2.00E+03	5.00E+04	0.00E+00	0.00E+00	B+3	total
ChEx	1	1	5	5	5.27E-01	7.60E-01	-6.30E-01	-1.17E+00	2.00E+03	5.00E+04	1.10E+01	0.00E+00	B+4	total
ChEx	1	1	6	2	1.76E-09	8.33E+00	4.28E+03	-6.41E+00	3.00E+03	1.00E+04	-2.34E+00	0.00E+00	C+1	total
ChEx	1	1	6	3	1.67E-04	2.79E+00	3.05E+02	-4.07E+00	5.00E+03	5.00E+04	4.01E+00	0.00E+00	C+2	total
ChEx	1	1	6	4	3.25E+00	2.10E-01	1.90E-01	-3.29E+00	1.00E+03	1.00E+05	5.73E+00	0.00E+00	C+3	total
ChEx	1	1	6	5	3.32E+02	-1.10E-01	-9.95E-01	-1.58E-03	1.00E+01	1.00E+05	1.13E+01	0.00E+00	C+4	total
ChEx	1	1	7	2	1.01E-03	-2.90E-01	-9.20E-01	-8.38E+00	1.00E+02	5.00E+04	9.40E-01	0.00E+00	N+1	total
ChEx	1	1	7	3	3.05E-01	6.00E-01	2.65E+00	-9.30E-01	1.00E+03	1.00E+05	4.56E+00	0.00E+00	N+2	total
ChEx	1	1	7	4	4.54E+00	5.70E-01	-6.50E-01	-8.90E-01	1.00E+01	1.00E+05	6.40E+00	0.00E+00	N+3	total
ChEx	1	1	7	5	3.28E+00	5.20E-01	-5.20E-01	-1.90E-01	1.00E+03	3.00E+05	1.10E+01	0.00E+00	N+4	total
ChEx	1	1	8	2	1.04E+00	3.15E-02	-6.10E-01	-9.73E+00	1.00E+01	1.00E+04	2.00E-02	0.00E+00	O+1	total
ChEx	1	1	8	3	1.04E+00	2.70E-01	2.02E+00	-5.92E+00	1.00E+02	1.00E+05	6.65E+00	0.00E+00	O+2	total
ChEx	1	1	8	4	3.98E+00	2.60E-01	5.60E-01	-2.62E+00	1.00E+03	5.00E+04	5.00E+00	0.00E+00	O+3	total
ChEx	1	1	8	5	2.52E-01	6.30E-01	2.08E+00	-4.16E+00	1.00E+03	3.00E+04	8.47E+00	0.00E+00	O+4	total
ChEx	1	1	9	2	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	F+1	nodata
ChEx	1	1	9	3	1.00E-05	0.00E+00	0.00E+00	0.00E+00	2.00E+03	5.00E+04	0.00E+00	0.00E+00	F+2	nodata
ChEx	1	1	9	4	9.86E+00	2.90E-01	-2.10E-01	-1.15E+00	2.00E+03	5.00E+04	5.60E+00	0.00E+00	F+3	total
ChEx	1	1	9	5	7.15E+04	1.21E+00	-7.00E-01	-8.50E-01	2.00E+03	5.00E+04	1.18E+01	0.00E+00	F+4	total
ChEx	1	1	10	2	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	Ne+1	nodata
ChEx	1	1	10	3	1.00E-05	0.00E+00	0.00E+00	0.00E+00	5.00E+03	5.00E+04	0.00E+00	0.00E+00	Ne+2	total
ChEx	1	1	10	4	1.47E+01	4.52E-02	-8.40E-01	-3.10E-01	5.00E+03	5.00E+04	5.82E+00	0.00E+00	Ne+3	total
ChEx	1	1	10	5	6.47E+00	5.40E-01	3.59E+00	-5.22E+00	1.00E+03	3.00E+04	8.60E+00	0.00E+00	Ne+4	total
ChEx	1	1	11	2	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	Na+1	nodata
ChEx	1	1	11	3	1.00E-05	0.00E+00	0.00E+00	0.00E+00	2.00E+03	5.00E+04	0.00E+00	0.00E+00	Na+2	total
ChEx	1	1	11	4	1.33E+00	1.15E+00	1.20E+00	-3.20E-01	2.00E+03	5.00E+04	6.25E+00	0.00E+00	Na+3	total
ChEx	1	1	11	5	1.01E+04	1.34E+00	1.01E+01	-6.41E+00	2.00E+03	5.00E+04	1.10E+01	0.00E+00	Na+4	total
ChEx	1	1	12	2	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	Mg+1	nodata
ChEx	1	1	12	3	8.58E-05	2.49E-03	2.93E-02	-4.33E+00	1.00E+03	3.00E+04	1.44E+00	0.00E+00	Mg+2	total
ChEx	1	1	12	4	6.49E+00	5.30E-01	2.82E+00	-7.63E+00	1.00E+03	3.00E+04	5.73E+00	0.00E+00	Mg+3	total
ChEx	1	1	12	5	6.36E+00	5.50E-01	3.86E+00	-5.19E+00	1.00E+03	3.00E+04	8.60E+00	0.00E+00	Mg+4	total
ChEx	1	1	13	2	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	Al+1	nodata
ChEx	1	1	13	3	1.00E-05	0.00E+00	0.00E+00	0.00E+00	1.00E+03	3.00E+04	0.00E+00	0.00E+00	Al+2	total
ChEx	1	1	13	4	7.11E+04	4.12E+00	1.72E+04	-2.22E+01	1.00E+03	3.00E+04	8.17E+00	0.00E+00	Al+3	total
ChEx	1	1	13	5	7.52E-01	7.70E-01	6.24E+00	-5.67E+00	1.00E+03	3.00E+04	8.00E+00	0.00E+00	Al+4	total
ChEx	1	1	14	2	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	Si+1	nodata
ChEx	1	1	14	3	1.23E+00	2.40E-01	3.17E+00	4.18E-03	1.00E+01	1.00E+06	2.72E+00	0.00E+00	Si+2	total
ChEx	1	1	14	4	4.90E-01	-8.74E-02	-3.60E-01	-7.90E-01	1.00E+03	3.00E+04	4.23E+00	0.00E+00	Si+3	total
ChEx	1	1	14	5	7.58E+00	3.70E-01	1.06E+00	-4.09E+00	1.00E+03	5.00E+04	7.49E+00	0.00E+00	Si+4	total
ChEx	1	1	15	2	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	P+1	nodata
ChEx	1	1	15	3	1.74E-04	3.84E+00	3.61E+01	-9.70E-01	1.00E+03	1.00E+05	3.45E+00	0.00E+00	P+2	3s23p2 Is
ChEx	1	1	15	4	9.46E-02	-5.58E-02	7.70E-01	-6.43E+00	1.00E+03	1.00E+05	7.29E+00	0.00E+00	P+3	3s3p2 2D
ChEx	1	1	15	5	5.37E+00	4.70E-01	2.21E+00	-8.52E+00	1.00E+03	1.00E+05	9.71E+00	0.00E+00	P+4	Total
ChEx	1	1	16	2	3.82E-07	1.11E+01	2.57E+04	-8.22E+00	3.00E+03	1.00E+04	-3.24E+00	0.00E+00	S+l	total
ChEx	1	1	16	3	1.00E-05	0.00E+00	0.00E+00	0.00E+00	1.00E+03	3.00E+04	0.00E+00	0.00E+00	S+2	total
ChEx	1	1	16	4	2.29E+00	4.02E-02	1.59E+00	-6.06E+00	1.00E+03	3.00E+04	5.73E+00	0.00E+00	S+3	total
ChEx	1	1	16	5	6.44E+00	1.30E-01	2.69E+00	-5.69E+00	1.00E+03	3.00E+04	8.60E+00	0.00E+00	S+4	total
ChEx	1	1	17	2	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	Cl+1	nodata
ChEx	1	1	17	3	1.00E-05	0.00E+00	0.00E+00	0.00E+00	1.00E+03	1.00E+05	0.00E+00	0.00E+00	C1+2	Total
ChEx	1	1	17	4	1.88E+00	3.20E-01	1.77E+00	-5.70E+00	1.00E+03	1.00E+05	8.00E+00	0.00E+00	C1+3	Total
ChEx	1	1	17	5	7.27E+00	2.90E-01	1.04E+00	-1.01E+01	1.01E+03	1.00E+05	9.00E+00	0.00E+00	C1+4	Total
ChEx	1	1	18	2	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	Ar+1	nodata
ChEx	1	1	18	3	1.00E-05	0.00E+00	0.00E+00	0.00E+00	1.00E+03	3.00E+04	0.00E+00	0.00E+00	Ar+2	total
ChEx	1	1	18	4	4.57E+00	2.70E-01	-1.80E-01	-1.57E+00	1.00E+03	3.00E+04	5.73E+00	0.00E+00	Ar+3	total
ChEx	1	1	18	5	6.37E+00	8.50E-01	1.02E+01	-6.22E+00	1.00E+03	3.00E+04	8.60E+00	0.00E+00	Ar+4	total
ChEx	1	1	19	2	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	K+1	nodata
ChEx	1	1	19	3	1.00E-05	0.00E+00	0.00E+00	0.00E+00	1.01E+03	1.00E+05	0.00E+00	0.00E+00	K+2	Total
ChEx	1	1	19	4	4.76E+00	4.40E-01	-5.60E-01	-8.80E-01	1.01E+03	1.00E+05	6.00E+00	0.00E+00	K+3	Total
ChEx	1	1	19	5	1.00E-05	0.00E+00	0.00E+00	0.00E+00	1.01E+03	1.00E+05	0.00E+00	0.00E+00	K+4	Total
ChEx	1	1	20	2	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	Ca+1	nodata
ChEx	1	1	20	3	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	Ca+2	nodata
ChEx	1	1	20	4	3.17E-02	2.12E+00	1.21E+01	-4.00E-01	1.00E+03	3.00E+04	6.60E+00	0.00E+00	Ca+3	total
ChEx	1	1	20	5	2.68E+00	6.90E-01	-6.80E-01	-4.47E+00	1.00E+03	3.00E+04	9.90E+00	0.00E+00	Ca+4	total
ChEx	1	1	21	2	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	Sc+1	nodata
ChEx	1	1	21	3	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	Sc+2	nodata
ChEx	1	1	21	4	7.22E-03	2.34E+00	4.12E+02	-1.32E+01	1.01E+03	1.00E+05	3.50E+00	0.00E+00	Sc+3	Total
ChEx	1	1	21	5	1.20E-01	1.48E+00	4.00E+00	-9.33E+00	1.01E+03	1.00E+05	1.06E+01	0.00E+00	Sc+4	Total
ChEx	1	1	22	2	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	Ti+1	nodata
ChEx	1	1	22	3	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	Ti+2	nodata
ChEx	1	1	22	4	6.34E-01	6.87E-03	1.80E-01	-8.04E+00	1.01E+03	1.00E+05	4.30E+00	0.00E+00	Ti+3	Total
