#RESOURCE=yCat_34660771
#Name: J/A+A/466/771
#Title: Ionization rate coefficients for elements H to Zn (Dere+, 2007)
#Table	J_A_A_466_771_table29:
#Name: J/A+A/466/771/table29
#Title: Spline fits, multiplied by a factor of 10^6^, to the scaled ionization rate coefficients
#Column	Z	(I2)	[1/30] Nuclear charge	[ucd=phys.atmol.element]
#Column	Ion	(I2)	[1/30] Ion (spectroscopic notation)	[ucd=phys.atmol.ionStage]
#Column	Nspl	(I2)	[15/20] Number of splines	[ucd=meta.number]
#Column	I	(F9.3)	Ionization potential	[ucd=phys.energy;phys.atmol.ionization]
#Column	Tmin	(E10.3)	Minimum temperature	[ucd=phys.temperature]
#Column	x1	(F7.4)	Scaled temperature 1 (1)	[ucd=phys.temperature]
#Column	x2	(F7.4)	Scaled temperature 2 (1)	[ucd=phys.temperature]
#Column	x3	(F7.4)	Scaled temperature 3 (1)	[ucd=phys.temperature]
#Column	x4	(F7.4)	Scaled temperature 4 (1)	[ucd=phys.temperature]
#Column	x5	(F7.4)	Scaled temperature 5 (1)	[ucd=phys.temperature]
#Column	x6	(F7.4)	Scaled temperature 6 (1)	[ucd=phys.temperature]
#Column	x7	(F7.4)	Scaled temperature 7 (1)	[ucd=phys.temperature]
#Column	x8	(F7.4)	Scaled temperature 8 (1)	[ucd=phys.temperature]
#Column	x9	(F7.4)	Scaled temperature 9 (1)	[ucd=phys.temperature]
#Column	x10	(F7.4)	Scaled temperature 10 (1)	[ucd=phys.temperature]
#Column	x11	(F7.4)	Scaled temperature 11 (1)	[ucd=phys.temperature]
#Column	x12	(F7.4)	Scaled temperature 12 (1)	[ucd=phys.temperature]
#Column	x13	(F7.4)	Scaled temperature 13 (1)	[ucd=phys.temperature]
#Column	x14	(F7.4)	Scaled temperature 14 (1)	[ucd=phys.temperature]
#Column	x15	(F7.4)	Scaled temperature 15 (1)	[ucd=phys.temperature]
#Column	x16	(F7.4)	? Scaled temperature 16 (1)	[ucd=phys.temperature]
#Column	x17	(F7.4)	? Scaled temperature 17 (1)	[ucd=phys.temperature]
#Column	x18	(F7.4)	? Scaled temperature 18 (1)	[ucd=phys.temperature]
#Column	x19	(F7.4)	? Scaled temperature 19 (1)	[ucd=phys.temperature]
#Column	x20	(F7.4)	? Scaled temperature 20 (1)	[ucd=phys.temperature]
#Column	rho1	(F8.4)	? Scaled rate coefficient 1 (2)	[ucd=arith.rate;phys.atmol.collisional]
#Column	rho2	(F7.4)	Scaled rate coefficient 2 (2)	[ucd=arith.rate;phys.atmol.collisional]
#Column	rho3	(F7.4)	Scaled rate coefficient 3 (2)	[ucd=arith.rate;phys.atmol.collisional]
#Column	rho4	(F7.4)	Scaled rate coefficient 4 (2)	[ucd=arith.rate;phys.atmol.collisional]
#Column	rho5	(F7.4)	Scaled rate coefficient 5 (2)	[ucd=arith.rate;phys.atmol.collisional]
#Column	rho6	(F7.4)	Scaled rate coefficient 6 (2)	[ucd=arith.rate;phys.atmol.collisional]
#Column	rho7	(F7.4)	Scaled rate coefficient 7 (2)	[ucd=arith.rate;phys.atmol.collisional]
#Column	rho8	(F7.4)	Scaled rate coefficient 8 (2)	[ucd=arith.rate;phys.atmol.collisional]
#Column	rho9	(F7.4)	Scaled rate coefficient 9 (2)	[ucd=arith.rate;phys.atmol.collisional]
#Column	rho10	(F7.4)	Scaled rate coefficient 10 (2)	[ucd=arith.rate;phys.atmol.collisional]
#Column	rho11	(F7.4)	Scaled rate coefficient 11 (2)	[ucd=arith.rate;phys.atmol.collisional]
#Column	rho12	(F7.4)	Scaled rate coefficient 12 (2)	[ucd=arith.rate;phys.atmol.collisional]
#Column	rho13	(F7.4)	Scaled rate coefficient 13 (2)	[ucd=arith.rate;phys.atmol.collisional]
#Column	rho14	(F7.4)	Scaled rate coefficient 14 (2)	[ucd=arith.rate;phys.atmol.collisional]
#Column	rho15	(F7.4)	Scaled rate coefficient 15 (2)	[ucd=arith.rate;phys.atmol.collisional]
#Column	rho16	(F7.4)	? Scaled rate coefficient 16 (2)	[ucd=arith.rate;phys.atmol.collisional]
#Column	rho17	(F7.4)	? Scaled rate coefficient 17 (2)	[ucd=arith.rate;phys.atmol.collisional]
#Column	rho18	(F7.4)	? Scaled rate coefficient 18 (2)	[ucd=arith.rate;phys.atmol.collisional]
#Column	rho19	(F7.4)	? Scaled rate coefficient 19 (2)	[ucd=arith.rate;phys.atmol.collisional]
#Column	rho20	(F7.4)	? Scaled rate coefficient 20 (2)	[ucd=arith.rate;phys.atmol.collisional]
#Z	Ion	Nspl	I	Tmin	x1	x2	x3	x4	x5	x6	x7	x8	x9	x10	x11	x12	x13	x14	x15	x16	x17	x18	x19	x20	rho1	rho2	rho3	rho4	rho5	rho6	rho7	rho8	rho9	rho10	rho11	rho12	rho13	rho14	rho15	rho16	rho17	rho18	rho19	rho20
# 	 	 	eV	K	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	10-6	10-6	10-6	10-6	10-6	10-6	10-6	10-6	10-6	10-6	10-6	10-6	10-6	10-6	10-6	10-6	10-6	10-6	10-6	10-6
#--	--	--	---------	----------	-------	-------	-------	-------	-------	-------	-------	-------	-------	-------	-------	-------	-------	-------	-------	-------	-------	-------	-------	-------	--------	-------	-------	-------	-------	-------	-------	-------	-------	-------	-------	-------	-------	-------	-------	-------	-------	-------	-------	-------
DI_DERE  1	 1	20	   13.598	 1.000e+04	 0.0431	 0.0500	 0.1000	 0.1500	 0.2000	 0.2500	 0.3000	 0.3500	 0.4000	 0.4500	 0.5000	 0.5500	 0.6000	 0.6500	 0.7000	 0.7500	 0.8000	 0.8500	 0.9000	 0.9208	  1.1216	 1.1401	 1.2648	 1.3808	 1.4902	 1.5947	 1.6957	 1.7947	 1.8925	 1.9905	 2.0896	 2.1901	 2.2903	 2.3880	 2.4745	 2.5353	 2.5258	 2.3888	 2.0459	 1.8671
DI_DERE  2	 1	20	   24.587	 1.000e+04	 0.0244	 0.0500	 0.1000	 0.1500	 0.2000	 0.2500	 0.3000	 0.3500	 0.4000	 0.4500	 0.5000	 0.5500	 0.6000	 0.6500	 0.7000	 0.7500	 0.8000	 0.8500	 0.9000	 0.9151	  1.1152	 1.2670	 1.5608	 1.8526	 2.1431	 2.4328	 2.7222	 3.0121	 3.3048	 3.6029	 3.9066	 4.2150	 4.5277	 4.8442	 5.1551	 5.4444	 5.6808	 5.7493	 5.3837	 5.1643
DI_DERE  2	 2	20	   54.418	 2.239e+04	 0.0247	 0.0500	 0.1000	 0.1500	 0.2000	 0.2500	 0.3000	 0.3500	 0.4000	 0.4500	 0.5000	 0.5500	 0.6000	 0.6500	 0.7000	 0.7500	 0.8000	 0.8500	 0.9000	 0.9059	  1.6093	 1.6839	 1.8089	 1.9142	 2.0097	 2.1001	 2.1891	 2.2779	 2.3649	 2.4510	 2.5330	 2.6077	 2.6758	 2.7302	 2.7551	 2.7353	 2.6698	 2.5085	 2.1720	 2.1219
DI_DERE  3	 1	19	    5.392	 1.000e+04	 0.0998	 0.1000	 0.1500	 0.2000	 0.2500	 0.3000	 0.3500	 0.4000	 0.4500	 0.5000	 0.5500	 0.6000	 0.6500	 0.7000	 0.7500	 0.8000	 0.8500	 0.9000	 0.9284	       	  1.1599	 1.1601	 1.2223	 1.2767	 1.3199	 1.3498	 1.3643	 1.3679	 1.3615	 1.3472	 1.3320	 1.3148	 1.2960	 1.2988	 1.3385	 1.3771	 1.3742	 1.2907	 1.1596	
DI_DERE  3	 2	20	   75.640	 3.162e+04	 0.0251	 0.0500	 0.1000	 0.1500	 0.2000	 0.2500	 0.3000	 0.3500	 0.4000	 0.4500	 0.5000	 0.5500	 0.6000	 0.6500	 0.7000	 0.7500	 0.8000	 0.8500	 0.9000	 0.9015	  2.3194	 2.4602	 2.7299	 2.9852	 3.2275	 3.4570	 3.6735	 3.8774	 4.0734	 4.2641	 4.4508	 4.6381	 4.8253	 5.0112	 5.2043	 5.4017	 5.5498	 5.5311	 5.1210	 5.0991
DI_DERE  3	 3	19	  122.454	 5.012e+04	 0.0246	 0.0500	 0.1000	 0.1500	 0.2000	 0.2500	 0.3000	 0.3500	 0.4000	 0.4500	 0.5000	 0.5500	 0.6000	 0.6500	 0.7000	 0.7500	 0.8000	 0.8500	 0.8943	       	  2.3998	 2.4304	 2.4399	 2.4419	 2.4599	 2.5017	 2.5541	 2.6130	 2.6708	 2.7189	 2.7612	 2.7982	 2.8116	 2.7848	 2.7062	 2.6017	 2.4755	 2.2483	 1.9697	
DI_DERE  4	 1	19	    9.323	 1.000e+04	 0.0612	 0.1000	 0.1500	 0.2000	 0.2500	 0.3000	 0.3500	 0.4000	 0.4500	 0.5000	 0.5500	 0.6000	 0.6500	 0.7000	 0.7500	 0.8000	 0.8500	 0.9000	 0.9241	       	  2.1024	 2.2962	 2.5356	 2.7665	 2.9917	 3.2124	 3.4299	 3.6449	 3.8572	 4.0662	 4.2704	 4.4673	 4.6507	 4.8158	 4.9783	 5.1836	 5.5443	 5.7842	 5.4599	
DI_DERE  4	 2	20	   18.211	 1.000e+04	 0.0326	 0.0500	 0.1000	 0.1500	 0.2000	 0.2500	 0.3000	 0.3500	 0.4000	 0.4500	 0.5000	 0.5500	 0.6000	 0.6500	 0.7000	 0.7500	 0.8000	 0.8500	 0.9000	 0.9181	  2.4462	 2.4822	 2.5571	 2.6015	 2.6295	 2.6483	 2.6645	 2.6816	 2.7019	 2.7284	 2.7659	 2.8184	 2.8880	 2.9769	 3.0802	 3.1890	 3.2605	 3.2322	 2.9343	 2.7329
DI_DERE  4	 3	19	  153.894	 6.310e+04	 0.0246	 0.0500	 0.1000	 0.1500	 0.2000	 0.2500	 0.3000	 0.3500	 0.4000	 0.4500	 0.5000	 0.5500	 0.6000	 0.6500	 0.7000	 0.7500	 0.8000	 0.8500	 0.8905	       	  2.6102	 2.8895	 3.3882	 3.8310	 4.2225	 4.5634	 4.8550	 5.1017	 5.2984	 5.4378	 5.5238	 5.5556	 5.5218	 5.4160	 5.2255	 4.9908	 4.7140	 4.2821	 3.8849	
DI_DERE  4	 4	19	  217.719	 8.912e+04	 0.0246	 0.0500	 0.1000	 0.1500	 0.2000	 0.2500	 0.3000	 0.3500	 0.4000	 0.4500	 0.5000	 0.5500	 0.6000	 0.6500	 0.7000	 0.7500	 0.8000	 0.8500	 0.8842	       	  2.3884	 2.4512	 2.5386	 2.5930	 2.6320	 2.6638	 2.6946	 2.7270	 2.7570	 2.7858	 2.8093	 2.8237	 2.8301	 2.8196	 2.7723	 2.6706	 2.5276	 2.3081	 2.0865	
