#This is fluorescent yield data from Kaastra & Mewe (1993) -1993A&AS...97..443K
#It is processed from data downloaded from http://vizier.cfa.harvard.edu/viz-bin/VizieR?-source=J/A+AS/97/443
#Via the python script kaastra_2_py.py
#
#Label z state n l photon_energy yield
Kphotyield 5 1 1 0 1.837e+02 6.000e-04
Kphotyield 5 1 1 0 1.690e+01 7.129e-01
Kphotyield 6 1 1 0 2.768e+02 2.600e-03
Kphotyield 6 1 1 0 6.500e+00 1.361e+00
Kphotyield 6 2 1 0 2.816e+02 1.900e-03
Kphotyield 6 2 1 0 2.350e+01 6.519e-01
Kphotyield 7 1 1 0 3.885e+02 4.000e-03
Kphotyield 7 1 1 0 3.885e+02 2.000e-03
Kphotyield 7 1 1 0 7.100e+00 5.949e-01
Kphotyield 7 1 1 0 2.220e+01 2.974e-01
Kphotyield 7 2 1 0 3.964e+02 7.100e-03
Kphotyield 7 2 1 0 8.400e+00 1.353e+00
Kphotyield 7 3 1 0 4.006e+02 5.200e-03
Kphotyield 7 3 1 0 3.010e+01 6.508e-01
Kphotyield 8 1 1 0 5.243e+02 4.700e-03
Kphotyield 8 1 1 0 5.243e+02 4.700e-03
Kphotyield 8 1 1 0 7.500e+00 3.284e-01
Kphotyield 8 1 1 0 7.500e+00 3.284e-01
Kphotyield 8 2 1 0 5.299e+02 7.300e-03
Kphotyield 8 2 1 0 5.299e+02 3.600e-03
Kphotyield 8 2 1 0 8.900e+00 5.910e-01
Kphotyield 8 2 1 0 2.870e+01 2.955e-01
Kphotyield 8 3 1 0 5.372e+02 1.290e-02
Kphotyield 8 3 1 0 1.020e+01 1.337e+00
Kphotyield 8 4 1 0 5.406e+02 9.600e-03
Kphotyield 8 4 1 0 3.650e+01 6.415e-01
Kphotyield 9 1 1 0 6.766e+02 5.300e-03
Kphotyield 9 1 1 0 6.766e+02 8.000e-03
Kphotyield 9 1 1 0 1.880e+01 2.078e-01
Kphotyield 9 1 1 0 1.880e+01 3.117e-01
Kphotyield 9 2 1 0 6.890e+02 7.600e-03
Kphotyield 9 2 1 0 6.890e+02 7.600e-03
Kphotyield 9 2 1 0 9.200e+00 3.285e-01
Kphotyield 9 2 1 0 9.200e+00 3.285e-01
Kphotyield 9 3 1 0 6.914e+02 1.180e-02
Kphotyield 9 3 1 0 6.914e+02 5.900e-03
Kphotyield 9 3 1 0 1.070e+01 5.904e-01
Kphotyield 9 3 1 0 3.510e+01 2.952e-01
Kphotyield 9 4 1 0 6.979e+02 2.080e-02
Kphotyield 9 4 1 0 1.200e+01 1.334e+00
Kphotyield 9 5 1 0 7.008e+02 1.540e-02
Kphotyield 9 5 1 0 4.300e+01 6.410e-01
Kphotyield 10 1 1 0 8.484e+02 6.100e-03
Kphotyield 10 1 1 0 8.486e+02 1.210e-02
Kphotyield 10 1 1 0 2.530e+01 1.456e-01
Kphotyield 10 1 1 0 2.530e+01 2.911e-01
Kphotyield 10 2 1 0 8.620e+02 8.200e-03
Kphotyield 10 2 1 0 8.620e+02 1.230e-02
Kphotyield 10 2 1 0 2.280e+01 2.113e-01
Kphotyield 10 2 1 0 2.280e+01 3.169e-01
Kphotyield 10 3 1 0 8.736e+02 1.160e-02
Kphotyield 10 3 1 0 8.736e+02 1.160e-02
Kphotyield 10 3 1 0 1.100e+01 3.328e-01
Kphotyield 10 3 1 0 1.100e+01 3.328e-01
Kphotyield 10 4 1 0 8.740e+02 1.790e-02
Kphotyield 10 4 1 0 8.740e+02 8.900e-03
Kphotyield 10 4 1 0 1.240e+01 5.949e-01
Kphotyield 10 4 1 0 4.150e+01 2.974e-01
Kphotyield 10 5 1 0 8.788e+02 3.120e-02
Kphotyield 10 5 1 0 1.380e+01 1.329e+00
Kphotyield 10 6 1 0 8.810e+02 2.290e-02
Kphotyield 10 6 1 0 4.940e+01 6.409e-01
Kphotyield 11 1 2 0 3.300e+01 1.000e-04
Kphotyield 11 1 2 0 2.890e+01 1.000e-04
Kphotyield 11 1 1 0 1.041e+03 8.700e-03
Kphotyield 11 1 1 0 1.041e+03 1.730e-02
Kphotyield 11 1 1 0 3.260e+01 1.500e-03
Kphotyield 11 1 1 0 3.030e+01 2.470e-02
Kphotyield 11 1 1 0 3.280e+01 2.900e-03
Kphotyield 11 1 1 0 3.030e+01 4.980e-02
Kphotyield 11 1 1 0 2.900e+01 8.700e-03
Kphotyield 11 1 1 0 4.230e+01 2.074e-01
Kphotyield 11 1 1 0 2.890e+01 1.730e-02
Kphotyield 11 1 1 0 4.220e+01 4.147e-01
Kphotyield 11 2 1 0 1.053e+03 8.800e-03
Kphotyield 11 2 1 0 1.054e+03 1.750e-02
Kphotyield 11 2 1 0 3.030e+01 1.398e-01
Kphotyield 11 2 1 0 3.030e+01 2.796e-01
Kphotyield 11 3 1 0 1.067e+03 1.180e-02
Kphotyield 11 3 1 0 1.067e+03 1.780e-02
Kphotyield 11 3 1 0 2.680e+01 2.022e-01
Kphotyield 11 3 1 0 2.680e+01 3.033e-01
Kphotyield 11 4 1 0 1.078e+03 1.690e-02
Kphotyield 11 4 1 0 1.078e+03 1.690e-02
Kphotyield 11 4 1 0 1.270e+01 3.175e-01
Kphotyield 11 4 1 0 1.270e+01 3.175e-01
Kphotyield 11 5 1 0 1.077e+03 2.620e-02
Kphotyield 11 5 1 0 1.077e+03 1.310e-02
Kphotyield 11 5 1 0 1.430e+01 5.671e-01
Kphotyield 11 5 1 0 4.800e+01 2.836e-01
Kphotyield 11 6 1 0 1.081e+03 4.660e-02
Kphotyield 11 6 1 0 1.560e+01 1.276e+00
Kphotyield 11 7 1 0 1.082e+03 3.520e-02
Kphotyield 11 7 1 0 5.570e+01 6.052e-01
Kphotyield 12 1 2 1 4.660e+01 3.300e-03
Kphotyield 12 1 2 1 4.630e+01 3.300e-03
Kphotyield 12 1 2 0 5.030e+01 3.390e-01
Kphotyield 12 1 2 0 5.000e+01 6.516e-01
Kphotyield 12 1 1 0 1.254e+03 1.120e-02
Kphotyield 12 1 1 0 1.254e+03 2.240e-02
Kphotyield 12 1 1 0 3.840e+01 3.000e-04
Kphotyield 12 1 1 0 3.870e+01 7.000e-04
Kphotyield 12 1 1 0 5.030e+01 7.400e-03
Kphotyield 12 1 1 0 6.540e+01 8.970e-02
Kphotyield 12 1 1 0 4.630e+01 1.000e-04
Kphotyield 12 1 1 0 5.000e+01 1.470e-02
Kphotyield 12 1 1 0 6.510e+01 1.759e-01
Kphotyield 12 2 2 0 3.900e+01 1.000e-04
Kphotyield 12 2 2 0 5.000e+01 1.000e-04
Kphotyield 12 2 1 0 1.268e+03 1.140e-02
Kphotyield 12 2 1 0 1.268e+03 2.270e-02
Kphotyield 12 2 1 0 3.840e+01 1.800e-03
Kphotyield 12 2 1 0 3.510e+01 2.750e-02
Kphotyield 12 2 1 0 3.870e+01 3.500e-03
Kphotyield 12 2 1 0 3.510e+01 5.550e-02
Kphotyield 12 2 1 0 5.030e+01 1.140e-02
Kphotyield 12 2 1 0 6.540e+01 1.985e-01
Kphotyield 12 2 1 0 5.000e+01 2.270e-02
Kphotyield 12 2 1 0 6.510e+01 3.970e-01
Kphotyield 12 3 1 0 1.280e+03 1.150e-02
Kphotyield 12 3 1 0 1.280e+03 2.310e-02
Kphotyield 12 3 1 0 3.510e+01 1.485e-01
Kphotyield 12 3 1 0 3.510e+01 2.970e-01
Kphotyield 12 4 1 0 1.293e+03 1.550e-02
Kphotyield 12 4 1 0 1.293e+03 2.320e-02
Kphotyield 12 4 1 0 3.070e+01 2.139e-01
Kphotyield 12 4 1 0 3.070e+01 3.208e-01
Kphotyield 12 5 1 0 1.303e+03 2.180e-02
Kphotyield 12 5 1 0 1.303e+03 2.180e-02
Kphotyield 12 5 1 0 1.460e+01 3.336e-01
Kphotyield 12 5 1 0 1.460e+01 3.336e-01
Kphotyield 12 6 1 0 1.300e+03 3.320e-02
Kphotyield 12 6 1 0 1.300e+03 1.660e-02
Kphotyield 12 6 1 0 1.600e+01 5.881e-01
Kphotyield 12 6 1 0 5.450e+01 2.941e-01
Kphotyield 12 7 1 0 1.303e+03 5.690e-02
Kphotyield 12 7 1 0 1.750e+01 1.287e+00
Kphotyield 12 8 1 0 1.304e+03 4.240e-02
Kphotyield 12 8 1 0 6.210e+01 6.188e-01
Kphotyield 13 1 2 1 6.680e+01 5.000e-04
Kphotyield 13 1 2 1 6.640e+01 4.400e-03
Kphotyield 13 1 2 0 7.160e+01 5.000e-04
Kphotyield 13 1 2 0 7.120e+01 8.300e-03
Kphotyield 13 1 1 0 1.487e+03 1.250e-02
Kphotyield 13 1 1 0 1.487e+03 2.500e-02
Kphotyield 13 1 1 0 1.558e+03 4.000e-04
Kphotyield 13 1 1 0 4.410e+01 1.000e-04
Kphotyield 13 1 1 0 4.450e+01 2.000e-04
Kphotyield 13 1 1 0 7.160e+01 2.000e-04
Kphotyield 13 1 1 0 7.500e+01 2.690e-02
Kphotyield 13 1 1 0 9.200e+01 8.200e-03
Kphotyield 13 1 1 0 6.640e+01 1.000e-04
Kphotyield 13 1 1 0 7.120e+01 1.300e-03
Kphotyield 13 1 1 0 7.460e+01 3.635e-01
Kphotyield 13 1 1 0 9.160e+01 1.110e-02
Kphotyield 13 2 2 1 7.160e+01 6.400e-03
Kphotyield 13 2 2 1 7.120e+01 6.400e-03
Kphotyield 13 2 2 0 4.400e+01 1.000e-04
Kphotyield 13 2 2 0 7.500e+01 3.385e-01
Kphotyield 13 2 2 0 7.460e+01 6.506e-01
Kphotyield 13 2 1 0 1.500e+03 1.270e-02
Kphotyield 13 2 1 0 1.500e+03 2.550e-02
Kphotyield 13 2 1 0 4.410e+01 2.700e-02
Kphotyield 13 2 1 0 4.450e+01 5.440e-02
Kphotyield 13 2 1 0 7.160e+01 1.000e-04
Kphotyield 13 2 1 0 7.500e+01 9.700e-03
Kphotyield 13 2 1 0 9.200e+01 1.153e-01
Kphotyield 13 2 1 0 7.120e+01 2.000e-04
Kphotyield 13 2 1 0 7.460e+01 1.950e-02
Kphotyield 13 2 1 0 9.160e+01 2.264e-01
Kphotyield 13 3 2 0 4.460e+01 1.000e-04
Kphotyield 13 3 2 0 4.500e+01 1.000e-04
Kphotyield 13 3 2 0 7.500e+01 1.000e-04
Kphotyield 13 3 2 0 7.460e+01 1.000e-04
Kphotyield 13 3 1 0 1.515e+03 1.300e-02
Kphotyield 13 3 1 0 1.515e+03 2.600e-02
Kphotyield 13 3 1 0 4.410e+01 1.475e-01
Kphotyield 13 3 1 0 4.450e+01 2.950e-01
Kphotyield 13 3 1 0 7.500e+01 1.300e-02
Kphotyield 13 3 1 0 9.200e+01 3.143e-01
Kphotyield 13 3 1 0 7.460e+01 2.600e-02
Kphotyield 13 3 1 0 9.160e+01 6.286e-01
Kphotyield 13 4 1 0 1.526e+03 1.320e-02
Kphotyield 13 4 1 0 1.526e+03 2.640e-02
Kphotyield 13 4 1 0 4.010e+01 1.478e-01
Kphotyield 13 4 1 0 4.010e+01 2.957e-01
Kphotyield 13 5 1 0 1.538e+03 1.770e-02
Kphotyield 13 5 1 0 1.538e+03 2.650e-02
Kphotyield 13 5 1 0 3.470e+01 2.129e-01
Kphotyield 13 5 1 0 3.470e+01 3.193e-01
Kphotyield 13 6 1 0 1.547e+03 2.490e-02
Kphotyield 13 6 1 0 1.547e+03 2.490e-02
Kphotyield 13 6 1 0 1.640e+01 3.318e-01
Kphotyield 13 6 1 0 1.640e+01 3.318e-01
Kphotyield 13 7 1 0 1.543e+03 3.790e-02
Kphotyield 13 7 1 0 1.543e+03 1.890e-02
Kphotyield 13 7 1 0 1.790e+01 5.847e-01
Kphotyield 13 7 1 0 6.110e+01 2.923e-01
Kphotyield 13 8 1 0 1.545e+03 6.500e-02
Kphotyield 13 8 1 0 1.930e+01 1.280e+00
Kphotyield 13 9 1 0 1.546e+03 4.840e-02
Kphotyield 13 9 1 0 6.840e+01 6.160e-01
Kphotyield 14 1 2 1 9.120e+01 2.000e-04
Kphotyield 14 1 2 1 5.300e+00 2.000e-04
Kphotyield 14 1 2 1 6.600e+00 5.986e-01
Kphotyield 14 1 2 1 9.050e+01 3.900e-03
Kphotyield 14 1 2 1 5.300e+00 3.900e-03
Kphotyield 14 1 2 1 6.600e+00 1.314e+00
Kphotyield 14 1 2 0 9.570e+01 1.000e-04
Kphotyield 14 1 2 0 9.510e+01 3.500e-03
Kphotyield 14 1 2 0 6.600e+00 4.350e-02
Kphotyield 14 1 2 0 1.720e+01 4.480e-01
Kphotyield 14 1 1 0 1.739e+03 1.400e-02
Kphotyield 14 1 1 0 1.740e+03 2.800e-02
Kphotyield 14 1 1 0 1.836e+03 1.000e-03
Kphotyield 14 1 1 0 4.940e+01 1.000e-04
Kphotyield 14 1 1 0 5.000e+01 2.000e-04
Kphotyield 14 1 1 0 9.570e+01 1.000e-04
Kphotyield 14 1 1 0 1.001e+02 1.000e-04
Kphotyield 14 1 1 0 1.035e+02 2.840e-02
Kphotyield 14 1 1 0 9.050e+01 1.000e-04
Kphotyield 14 1 1 0 9.510e+01 1.100e-03
Kphotyield 14 1 1 0 9.950e+01 7.800e-03
Kphotyield 14 1 1 0 1.029e+02 2.402e-01
Kphotyield 14 1 1 0 5.300e+00 1.000e-04
Kphotyield 14 1 1 0 6.600e+00 4.780e-02
Kphotyield 14 1 1 0 1.720e+01 3.600e-02
Kphotyield 14 1 1 0 2.880e+01 1.138e-01
Kphotyield 14 2 2 1 9.570e+01 7.000e-04
Kphotyield 14 2 2 1 6.600e+00 7.000e-04
Kphotyield 14 2 2 1 1.720e+01 8.530e-02
Kphotyield 14 2 2 1 9.510e+01 5.900e-03
Kphotyield 14 2 2 1 6.600e+00 5.900e-03
Kphotyield 14 2 2 1 1.720e+01 7.223e-01
Kphotyield 14 2 2 0 5.100e+01 1.000e-04
Kphotyield 14 2 2 0 1.001e+02 7.000e-04
Kphotyield 14 2 2 0 9.950e+01 1.270e-02
Kphotyield 14 2 2 0 1.720e+01 2.510e-02
Kphotyield 14 2 1 0 1.754e+03 1.420e-02
Kphotyield 14 2 1 0 1.754e+03 2.850e-02
Kphotyield 14 2 1 0 1.856e+03 5.000e-04
Kphotyield 14 2 1 0 4.940e+01 5.000e-04
Kphotyield 14 2 1 0 5.000e+01 1.000e-03
Kphotyield 14 2 1 0 5.040e+01 1.000e-04
Kphotyield 14 2 1 0 1.001e+02 3.000e-04
Kphotyield 14 2 1 0 1.035e+02 5.950e-02
Kphotyield 14 2 1 0 1.223e+02 1.410e-02
Kphotyield 14 2 1 0 9.510e+01 2.000e-04
Kphotyield 14 2 1 0 9.950e+01 1.900e-03
Kphotyield 14 2 1 0 1.029e+02 5.542e-01
Kphotyield 14 2 1 0 1.217e+02 1.810e-02
Kphotyield 14 2 1 0 6.600e+00 2.000e-04
Kphotyield 14 2 1 0 1.720e+01 2.290e-02
Kphotyield 14 2 1 0 2.880e+01 2.219e-01
Kphotyield 14 3 2 1 1.001e+02 8.100e-03
Kphotyield 14 3 2 1 9.950e+01 8.100e-03
Kphotyield 14 3 2 0 5.000e+01 1.000e-04
Kphotyield 14 3 2 0 1.035e+02 3.381e-01
Kphotyield 14 3 2 0 1.029e+02 6.499e-01
Kphotyield 14 3 1 0 1.767e+03 1.450e-02
Kphotyield 14 3 1 0 1.768e+03 2.900e-02
Kphotyield 14 3 1 0 4.940e+01 3.600e-03
Kphotyield 14 3 1 0 4.980e+01 1.320e-02
Kphotyield 14 3 1 0 5.000e+01 7.200e-03
Kphotyield 14 3 1 0 5.040e+01 2.640e-02
Kphotyield 14 3 1 0 1.001e+02 1.000e-04
Kphotyield 14 3 1 0 1.035e+02 1.280e-02
Kphotyield 14 3 1 0 9.950e+01 2.000e-04
Kphotyield 14 3 1 0 1.029e+02 2.560e-02
Kphotyield 14 4 1 0 1.782e+03 1.470e-02
Kphotyield 14 4 1 0 1.782e+03 2.950e-02
Kphotyield 14 4 1 0 4.980e+01 1.251e-01
Kphotyield 14 4 1 0 5.040e+01 2.502e-01
Kphotyield 14 4 1 0 1.035e+02 1.470e-02
Kphotyield 14 4 1 0 1.223e+02 3.137e-01
Kphotyield 14 4 1 0 1.029e+02 2.950e-02
Kphotyield 14 4 1 0 1.217e+02 6.275e-01
Kphotyield 14 5 1 0 1.791e+03 1.500e-02
Kphotyield 14 5 1 0 1.792e+03 2.990e-02
Kphotyield 14 5 1 0 4.500e+01 1.254e-01
Kphotyield 14 5 1 0 4.500e+01 2.508e-01
Kphotyield 14 6 1 0 1.804e+03 2.030e-02
Kphotyield 14 6 1 0 1.804e+03 3.040e-02
Kphotyield 14 6 1 0 3.870e+01 1.776e-01
Kphotyield 14 6 1 0 3.870e+01 2.664e-01
Kphotyield 14 7 1 0 1.813e+03 2.930e-02
Kphotyield 14 7 1 0 1.813e+03 2.930e-02
Kphotyield 14 7 1 0 1.820e+01 2.723e-01
Kphotyield 14 7 1 0 1.820e+01 2.723e-01
Kphotyield 14 8 1 0 1.806e+03 4.660e-02
Kphotyield 14 8 1 0 1.806e+03 2.330e-02
Kphotyield 14 8 1 0 1.970e+01 4.754e-01
Kphotyield 14 8 1 0 6.770e+01 2.377e-01
Kphotyield 14 9 1 0 1.809e+03 8.900e-02
Kphotyield 14 9 1 0 2.110e+01 1.069e+00
Kphotyield 14 10 1 0 1.808e+03 7.680e-02
Kphotyield 14 10 1 0 7.470e+01 4.182e-01
Kphotyield 15 1 2 1 1.188e+02 2.000e-04
Kphotyield 15 1 2 1 5.700e+00 2.000e-04
Kphotyield 15 1 2 1 7.100e+00 2.272e-01
Kphotyield 15 1 2 1 5.700e+00 1.000e-04
Kphotyield 15 1 2 1 1.630e+01 2.056e-01
Kphotyield 15 1 2 1 1.178e+02 8.000e-04
Kphotyield 15 1 2 1 5.700e+00 6.000e-04
Kphotyield 15 1 2 1 7.100e+00 4.749e-01
Kphotyield 15 1 2 1 5.700e+00 3.000e-04
Kphotyield 15 1 2 1 1.630e+01 7.500e-02
Kphotyield 15 1 2 0 1.241e+02 1.000e-04
Kphotyield 15 1 2 0 1.232e+02 8.000e-04
Kphotyield 15 1 2 0 7.100e+00 2.590e-02
Kphotyield 15 1 2 0 8.400e+00 8.689e-01
Kphotyield 15 1 2 0 1.630e+01 1.280e-02
Kphotyield 15 1 2 0 2.810e+01 2.469e-01
Kphotyield 15 1 1 0 2.013e+03 1.920e-02
Kphotyield 15 1 1 0 2.014e+03 3.850e-02
Kphotyield 15 1 1 0 2.138e+03 1.500e-03
Kphotyield 15 1 1 0 2.138e+03 8.000e-04
