# Top level element/ion file for the 20 level H macro atom, a ten level CIII macro atom, and a 10 level CIV macro atom + all other simple
# ions from standard73.
#
# Elemental abundances from Verner, Barthel & Tytler 1994 A&AS, 108,287
# Output format: Name z  Relative_abun atomic_weight


# Source Verner, Barthel & Tytler 1994 A&AS 108, 287
Element    1    H   12.00     1.007940
Element    2   He   10.99     4.002602
# Element    3   Li    3.31     6.941000
# Element    4   Be    1.42     9.012182
# Element    5    B    2.88    10.811000
Element    6    C    8.56    12.011000
Element    7    N    8.05    14.006740
Element    8    O    8.93    15.999400
# Element    9    F    4.48    18.998403
Element   10   Ne    8.09    20.179700
Element   11   Na    6.31    22.989768
Element   12   Mg    7.58    24.305000
Element   13   Al    6.48    26.981539
Element   14   Si    7.55    28.085500
#Element   15    P    5.57    30.973762
Element   16    S    7.27    32.066000
#Element   17   Cl    5.27    35.452700
Element   18   Ar    6.56    39.948000
#Element   19    K    5.13    39.098300
Element   20   Ca    6.34    40.078000
# Element   21   Sc    3.09    44.955910
# Element   22   Ti    4.93    47.880000
# Element   23    V    4.02    50.941500
# Element   24   Cr    5.68    51.996100
# Element   25   Mn    5.53    54.938050
Element   26   Fe    7.51    55.847000
# Element   27   Co    4.91    58.933200
# Element   28   Ni    6.25    58.690000
# Element   29   Cu    4.27    63.546000
# Element   30   Zn    4.65    65.390000
# Element   31   Ga    3.13    69.723000
# Element   32   Ge    3.63    72.610000
# Element   33   As    2.37    74.921590
# Element   34   Se    3.35    78.960000
# Element   35   Br    2.63    79.904000
# Element   36   Kr    3.23    83.800000
# Element   37   Rb    2.40    85.467800
# Element   38   Sr    2.93    87.620000
# Element   39    Y    2.22    88.905850
# Element   40   Zr    2.61    91.224000
# Element   41   Nb    1.40    92.906380
# Element   42   Mo    1.96    95.940000
# Element   44   Ru    1.82   101.070000
# Element   45   Rh    1.09   102.905500
# Element   46   Pd    1.70   105.420000
# Element   47   Ag    1.24   107.868200
# Element   48   Cd    1.76   112.411000
# Element   49   In    0.82   114.820000
# Element   50   Sn    2.14   118.710000
# Element   51   Sb    1.04   121.750000
# Element   52   Te    2.24   127.600000
# Element   53    I    1.51   126.904470
# Element   54   Xe    2.23   131.290000
# Element   55   Cs    1.12   132.905430
# Element   56   Ba    2.21   137.327000
# Element   57   La    1.20   138.905500
# Element   58   Ce    1.61   140.115000
# Element   59   Pr    0.78   140.907650
# Element   60   Nd    1.47   144.240000
# Element   62   Sm    0.97   150.360000
# Element   63   Eu    0.54   151.965000
# Element   64   Gd    1.07   157.250000
# Element   65   Tb    0.33   158.925340
# Element   66   Dy    1.15   162.500000
# Element   67   Ho    0.50   164.930320
# Element   68   Er    0.95   167.260000
# Element   69   Tm    0.13   168.934210
# Element   70   Yb    0.95   173.040000
# Element   71   Lu    0.12   174.967000
# Element   72   Hf    0.73   178.490000
# Element   73   Ta    0.13   180.947900
# Element   74    W    0.68   183.850000
# Element   75   Re    0.27   186.207000
# Element   76   Os    1.38   190.200000
# Element   77   Ir    1.37   192.220000
# Element   78   Pt    1.68   195.080000
# Element   79   Au    0.83   196.966540
# Element   80   Hg    1.09   200.590000
# Element   81   Tl    0.82   204.383300
# Element   82   Pb    2.05   207.200000
# Element   83   Bi    0.71   208.980370
# Element   90   Th    0.08   232.038100
# Element   92    U   -0.49   238.028900


# Ions and thresholds from Verner, Barthel & Tytler 1994 A&AS, 108,287 list
# Output format
# IonV  element.name element.z ionstate g_ground ionizpotential(eV)  maxlevels maxnlte   Config
# maxlevels and maxnlte set at 30 and 0 respectively are simply place holders


IonM    H   1   1   2   13.59900   20  20     1s(2S_{1/2})
IonM    H   1   2   1 1.0000e+20    1   1     Bare
 
IonV   He   2   1   1   24.58800 1000   5     1s^2(1S_0) 
IonV   He   2   2   2   54.41800 1000   5     1s(2S_{1/2}) 
IonV   He   2   3   1 1.0000e+20   0   0     Bare 

IonV   Li   3   1   2    5.39200 1000   0     1s^22s(2S_{1/2}) 
IonV   Li   3   2   1   75.64100 1000   0     1s^2(1S_0) 
IonV   Li   3   3   2  122.45500 1000   0     1s(2S_{1/2}) 
IonV   Li   3   4   1 1.0000e+20   0   0     Bare 

IonV   Be   4   1   1    9.32300 1000   0     1s^22s^2(1S_0) 
IonV   Be   4   2   2   18.21100 1000   0     1s^22s(2S_{1/2}) 
IonV   Be   4   3   1  153.89600 1000   0     1s^2(1S_0) 
IonV   Be   4   4   2  217.72000 1000   0     1s(2S_{1/2}) 
IonV   Be   4   5   1 1.0000e+20   0   0     Bare 

IonV    B   5   1   2    8.29800 1000   0     1s^22s^22p(2P^o_{1/2}) 
IonV    B   5   2   1   25.15500 1000   0     1s^22s^2(1S_0) 
IonV    B   5   3   2   37.93100 1000   0     1s^22s(2S_{1/2}) 
IonV    B   5   4   1  259.37700 1000   0     1s^2(1S_0) 
IonV    B   5   5   2  340.22900 1000   0     1s(2S_{1/2}) 
IonV    B   5   6   1 1.0000e+20   0   0     Bare 

IonV    C   6   1   1   11.26000 1000   5     1s^22s^22p^2(3P_0) 
IonV    C   6   2   2   24.38400 1000   5     1s^22s^22p(2P^o_{1/2}) 
IonV    C   6   3   1   47.88800 1000   5     1s^22s^2(1S_0) 
IonV    C   6   4   2   64.49400 1000   5   1s^22s(2S_{1/2}) 
IonV    C   6   5   1  392.09000 1000   5     1s^2(1S_0) 
IonV    C   6   6   2  489.99700 1000   0     1s(2S_{1/2}) 
IonV    C   6   7   1 1.0000e+20   0   0     Bare 

IonV    N   7   1   4   14.53400 1000   5     1s^22s^22p^3(4S^o_{3/2}) 
IonV    N   7   2   1   29.60200 1000   5     1s^22s^22p^2(3P_0) 
IonV    N   7   3   2   47.45000 1000   5     1s^22s^22p(2P^o_{1/2}) 
IonV    N   7   4   1   77.47400 1000   5     1s^22s^2(1S_0) 
IonV    N   7   5   2   97.89100 1000   5     1s^22s(2S_{1/2}) 
IonV    N   7   6   1  552.07400 1000   0     1s^2(1S_0) 
IonV    N   7   7   2  667.05100 1000   0     1s(2S_{1/2}) 
IonV    N   7   8   1 1.0000e+20   0   0     Bare 

IonV    O   8   1   5   13.61800 1000   5     1s^22s^22p^4(3P_2) 
IonV    O   8   2   4   35.11800 1000   5     1s^22s^22p^3(4S^o_{3/2}) 
IonV    O   8   3   1   54.93600 1000   5     1s^22s^22p^2(3P_0) 
IonV    O   8   4   2   77.41400 1000   5     1s^22s^22p(2P^o_{1/2}) 
IonV    O   8   5   1  113.90000 1000   5     1s^22s^2(1S_0) 
IonV    O   8   6   2  138.12100 1000   5     1s^22s(2S_{1/2}) 
IonV    O   8   7   1  739.33800 1000   0     1s^2(1S_0) 
IonV    O   8   8   2  871.41700 1000   0     1s(2S_{1/2}) 
IonV    O   8   9   1 1.0000e+20   0   0     Bare 

IonV    F   9   1   4   17.42300 1000   0     1s^22s^22p^5(2P^o_{3/2}) 
IonV    F   9   2   5   34.97100 1000   0     1s^22s^22p^4(3P_2) 
IonV    F   9   3   4   62.70900 1000   0     1s^22s^22p^3(4S^o_{3/2}) 
IonV    F   9   4   1   87.14100 1000   0     1s^22s^22p^2(3P_0) 
IonV    F   9   5   2  114.24000 1000   0     1s^22s^22p(2P^o_{1/2}) 
