#   Dtype Element Ion lvl      ion_pot           ex   g rad_rate      config islp ilv
#-------- ------- --- --- ------------ ------------ --- -------- ----------- ---- ---
#
LevMacro      26  25   1 -8828.046101 16536.785275 1.0    1e+21   1s2_1S0.0  100   1
LevMacro      26  25   2 -2191.396761 23173.434614 3.0    1e-09 1s.2s_3S1.0  300   1
LevMacro      26  25   3 -2162.448201 23202.383175 1.0    1e-09 1s.2p_3P0.0  311   1
LevMacro      26  25   4 -2159.985287 23204.846088 1.0    1e-09 1s.2s_1S0.0  100   2
LevMacro      26  25   5 -2160.430590 23204.400786 3.0    1e-09 1s.2p_3P1.0  311   1
LevMacro      26  25   6 -2145.675208 23219.156168 5.0    1e-09 1s.2p_3P2.0  311   1
LevMacro      26  25   7 -2127.574308 23237.257068 3.0    1e-09 1s.2p_1P1.0  111   1
LevMacro      26  25   8  -964.714627 24400.116748 3.0    1e-09 1s.3s_3S1.0  300   2
LevMacro      26  25   9  -956.730002 24408.101374 1.0    1e-09 1s.3p_3P0.0  311   2
LevMacro      26  25  10  -956.370445 24408.460930 1.0    1e-09 1s.3s_1S0.0  100   3
