#   Dtype Element Ion lvl      ion_pot           ex   g rad_rate   config islp ilv
#-------- ------- --- --- ------------ ------------ --- -------- -------- ---- ---
#
LevMacro      26  26   1 -9277.687155 25364.831376 2.0    1e+21 1s_2S0.5  200   1
LevMacro      26  26   2 -2325.124264 32317.394267 2.0    1e-09 2s_2S0.5  200   2
LevMacro      26  26   3 -2325.687899 32316.830632 2.0    1e-09 2p_2P0.5  211   1
LevMacro      26  26   4 -2304.473591 32338.044940 4.0    1e-09 2p_2P1.5  211   1
LevMacro      26  26   5 -1031.071322 33611.447209 2.0    1e-09 3s_2S0.5  200   3
LevMacro      26  26   6 -1031.247257 33611.271274 2.0    1e-09 3p_2P0.5  211   2
LevMacro      26  26   7 -1024.957752 33617.560779 4.0    1e-09 3p_2P1.5  211   2
LevMacro      26  26   8 -1024.969035 33617.549496 4.0    1e-09 3d_2D1.5  220   1
LevMacro      26  26   9 -1022.907786 33619.610745 6.0    1e-09 3d_2D2.5  220   1
LevMacro      26  26  10  -578.987137 34063.531394 2.0    1e-09 4s_2S0.5  200   4
LevMacro      26  27   1     0.000000 34642.518531 1.0    1e+21       ng    0   0
