   Dtype Element Ion lvl    ion_pot       ex   g rad_rate       config islp ilv
-------- ------- --- --- ---------- -------- --- -------- ------------ ---- ---
LevMacro       6   1   1 -11.260296 0.000000 1.0    1e+21    2p2_3P0.0  310   1
LevMacro       6   1   2 -11.258261 0.002035 3.0    1e-09    2p2_3P1.0  310   1
LevMacro       6   1   3 -11.254913 0.005383 5.0    1e-09    2p2_3P2.0  310   1
LevMacro       6   1   4  -9.996559 1.263737 5.0    1e-09    2p2_1D2.0  120   1
LevMacro       6   1   5  -8.576267 2.684029 1.0    1e-09    2p2_1S0.0  100   1
LevMacro       6   1   6  -7.077640 4.182656 5.0    1e-09 2s_2p3_5S2.0  501   1
LevMacro       6   1   7  -3.779863 7.480433 1.0    1e-09  2p_3s_3P0.0  311   1
LevMacro       6   1   8  -3.777484 7.482812 3.0    1e-09  2p_3s_3P1.0  311   1
LevMacro       6   1   9  -3.772457 7.487839 5.0    1e-09  2p_3s_3P2.0  311   1
LevMacro       6   1  10  -3.575484 7.684812 3.0    1e-09  2p_3s_1P1.0  111   1
LevMacro       6   1  11  -3.314123 7.946173 3.0    1e-09 2s_2p3_3D1.0  321   1
LevMacro       6   1  12  -3.313985 7.946311 5.0    1e-09 2s_2p3_3D2.0  321   1
LevMacro       6   1  13  -3.314482 7.945814 7.0    1e-09 2s_2p3_3D3.0  321   1
LevMacro       6   1  14  -2.723148 8.537148 3.0    1e-09  2p_3p_1P1.0  110   1
LevMacro       6   1  15  -2.619852 8.640444 3.0    1e-09  2p_3p_3D1.0  320   1
LevMacro       6   1  16  -2.617227 8.643069 5.0    1e-09  2p_3p_3D2.0  320   1
LevMacro       6   1  17  -2.613089 8.647207 7.0    1e-09  2p_3p_3D3.0  320   1
LevMacro       6   1  18  -2.489116 8.771180 3.0    1e-09  2p_3p_3S1.0  300   1
LevMacro       6   1  19  -2.413662 8.846634 1.0    1e-09  2p_3p_3P0.0  310   2
LevMacro       6   1  20  -2.412125 8.848171 3.0    1e-09  2p_3p_3P1.0  310   2
LevMacro       6   1  21  -2.409586 8.850710 5.0    1e-09  2p_3p_3P2.0  310   2
LevMacro       6   1  22  -2.257664 9.002632 5.0    1e-09  2p_3p_1D2.0  120   2
LevMacro       6   1  23  -2.088401 9.171895 1.0    1e-09  2p_3p_1S0.0  100   2
LevMacro       6   1  24  -1.929671 9.330625 1.0    1e-09 2s_2p3_3P0.0  311   2
LevMacro       6   1  25  -1.929940 9.330356 3.0    1e-09 2s_2p3_3P1.0  311   2
LevMacro       6   1  26  -1.929779 9.330517 5.0    1e-09 2s_2p3_3P2.0  311   2
LevMacro       6   1  27  -1.629172 9.631124 5.0    1e-09  2p_3d_1D2.0  121   1
LevMacro       6   1  28  -1.576459 9.683837 1.0    1e-09  2p_4s_3P0.0  311   3
LevMacro       6   1  29  -1.575000 9.685296 3.0    1e-09  2p_4s_3P1.0  311   3
LevMacro       6   1  30  -1.571114 9.689182 5.0    1e-09  2p_4s_3P2.0  311   3
LevMacro       6   1  31  -1.564791 9.695505 5.0    1e-09  2p_3d_3F2.0  331   1
LevMacro       6   1  32  -1.562754 9.697542 7.0    1e-09  2p_3d_3F3.0  331   1
LevMacro       6   1  33  -1.553085 9.707211 3.0    1e-09  2p_3d_3D1.0  321   2
LevMacro       6   1  34  -1.558485 9.701811 9.0    1e-09  2p_3d_3F4.0  331   1
LevMacro       6   1  35  -1.551332 9.708964 5.0    1e-09  2p_3d_3D2.0  321   2
LevMacro       6   1  36  -1.550017 9.710279 7.0    1e-09  2p_3d_3D3.0  321   2
LevMacro       6   1  37  -1.547284 9.713012 3.0    1e-09  2p_4s_1P1.0  111   2
LevMacro       6   1  38  -1.523808 9.736488 7.0    1e-09  2p_3d_1F3.0  131   1
LevMacro       6   1  39  -1.547284 9.713012 3.0    1e-09  2p_3d_1P1.0  111   3
LevMacro       6   1  40  -1.426949 9.833347 5.0    1e-09  2p_3d_3P2.0  311   4
LevMacro       6   1  41  -1.425965 9.834331 3.0    1e-09  2p_3d_3P1.0  311   4
LevMacro       6   1  42  -1.425420 9.834876 1.0    1e-09  2p_3d_3P0.0  311   4
