   Dtype z ion       Wave         f  gl  gu         el         eu ll ul
-------- - --- ---------- --------- --- --- ---------- ---------- -- --
LinMacro 6   1 6091246.88  0.000001 1.0 3.0   0.000000   0.002035  1  2
LinMacro 6   1 3704115.27  0.000001 3.0 5.0   0.002035   0.005383  2  3
LinMacro 6   1   9810.972  0.000001 1.0 5.0   0.000000   1.263737  1  4
LinMacro 6   1     9826.8  0.000001 3.0 5.0   0.002035   1.263737  2  4
LinMacro 6   1   9852.939  0.000001 5.0 5.0   0.005383   1.263737  3  4
LinMacro 6   1   4622.863  0.000001 3.0 1.0   0.002035   2.684029  2  5
LinMacro 6   1   4628.639  0.000001 5.0 1.0   0.005383   2.684029  3  5
LinMacro 6   1   8729.534  0.000001 5.0 1.0   1.263737   2.684029  4  5
LinMacro 6   1   2965.705  0.000001 3.0 5.0   0.002035   4.182656  2  6
LinMacro 6   1   2968.081  0.000001 5.0 5.0   0.005383   4.182656  3  6
LinMacro 6   1   1657.907  0.047700 3.0 1.0   0.002035   7.480433  2  7
LinMacro 6   1   1656.929  0.143000 1.0 3.0   0.000000   7.482812  1  8
LinMacro 6   1    1657.38  0.035700 3.0 3.0   0.002035   7.482812  2  8
LinMacro 6   1   1658.122  0.035800 5.0 3.0   0.005383   7.482812  3  8
LinMacro 6   1   1993.623  0.000038 5.0 3.0   1.263737   7.482812  4  8
LinMacro 6   1   2583.673  0.000022 1.0 3.0   2.684029   7.482812  5  8
LinMacro 6   1   1656.267  0.059800 3.0 5.0   0.002035   7.487839  2  9
LinMacro 6   1   1657.008  0.107000 5.0 5.0   0.005383   7.487839  3  9
LinMacro 6   1   1613.376  0.000051 1.0 3.0   0.000000   7.684812  1 10
LinMacro 6   1   1613.803  0.000012 3.0 3.0   0.002035   7.684812  2 10
LinMacro 6   1   1614.506  0.000009 5.0 3.0   0.005383   7.684812  3 10
LinMacro 6   1   1930.905  0.115000 5.0 3.0   1.263737   7.684812  4 10
LinMacro 6   1   2479.309  0.080000 1.0 3.0   2.684029   7.684812  5 10
LinMacro 6   1   1560.309  0.072700 1.0 3.0   0.000000   7.946173  1 11
LinMacro 6   1   1560.709  0.018100 3.0 3.0   0.002035   7.946173  2 11
LinMacro 6   1   1561.367  0.000724 5.0 3.0   0.005383   7.946173  3 11
LinMacro 6   1   1560.682  0.054500 3.0 5.0   0.002035   7.946311  2 12
LinMacro 6   1    1561.34  0.010900 5.0 5.0   0.005383   7.946311  3 12
LinMacro 6   1   1561.438  0.060900 5.0 7.0   0.005383   7.945814  3 13
LinMacro 6   1   1704.632  0.000001 5.0 3.0   1.263737   8.537148  4 14
LinMacro 6   1  11733.045  0.000093 1.0 3.0   7.480433   8.537148  7 14
LinMacro 6   1  11759.518  0.000508 3.0 3.0   7.482812   8.537148  8 14
LinMacro 6   1  14546.472  0.266000 3.0 3.0   7.684812   8.537148 10 14
LinMacro 6   1   1435.275  0.000001 3.0 3.0   0.002035   8.640444  2 15
LinMacro 6   1   1435.831  0.000001 5.0 3.0   0.005383   8.640444  3 15
LinMacro 6   1  10688.248  0.529000 1.0 3.0   7.480433   8.640444  7 15
LinMacro 6   1  10710.212  0.128000 3.0 3.0   7.482812   8.640444  8 15
LinMacro 6   1  10756.926  0.004910 5.0 3.0   7.487839   8.640444  9 15
LinMacro 6   1   12974.12  0.000336 3.0 3.0   7.684812   8.640444 10 15
LinMacro 6   1  17858.275  0.001280 3.0 3.0   7.946173   8.640444 11 15
LinMacro 6   1  17861.828  0.000283 5.0 3.0   7.946311   8.640444 12 15
LinMacro 6   1   1434.501  0.000001 1.0 5.0   0.000000   8.643069  1 16
LinMacro 6   1   1435.395  0.000001 5.0 5.0   0.005383   8.643069  3 16
LinMacro 6   1  10685.981  0.396000 3.0 5.0   7.482812   8.643069  8 16
LinMacro 6   1  10732.483  0.075300 5.0 5.0   7.487839   8.643069  9 16
LinMacro 6   1  12938.579  0.000029 3.0 5.0   7.684812   8.643069 10 16
LinMacro 6   1  17791.008  0.000467 3.0 5.0   7.946173   8.643069 11 16
LinMacro 6   1  17794.535  0.001190 5.0 5.0   7.946311   8.643069 12 16
LinMacro 6   1  17781.853  0.000223 7.0 5.0   7.945814   8.643069 13 16
LinMacro 6   1   1434.152  0.000001 3.0 7.0   0.002035   8.647207  2 17
LinMacro 6   1   1434.707  0.000001 5.0 7.0   0.005383   8.647207  3 17
LinMacro 6   1  10694.177  0.438000 5.0 7.0   7.487839   8.647207  9 17
LinMacro 6   1  17689.478  0.000309 5.0 7.0   7.946311   8.647207 12 17
LinMacro 6   1  17676.945  0.001590 7.0 7.0   7.945814   8.647207 13 17
LinMacro 6   1   9605.665  0.124000 1.0 3.0   7.480433   8.771180  7 18
LinMacro 6   1   9623.402  0.117000 3.0 3.0   7.482812   8.771180  8 18
LinMacro 6   1   9661.099  0.103000 5.0 3.0   7.487839   8.771180  9 18
LinMacro 6   1  11412.783  0.000130 3.0 3.0   7.684812   8.771180 10 18
LinMacro 6   1   1402.345  0.000001 5.0 1.0   0.005383   8.846634  3 19
LinMacro 6   1   9090.987  0.123000 3.0 1.0   7.482812   8.846634  8 19
LinMacro 6   1   10671.59  0.000006 3.0 1.0   7.684812   8.846634 10 19
LinMacro 6   1  13769.045  0.003900 3.0 1.0   7.946173   8.846634 11 19
LinMacro 6   1   9064.957  0.348000 1.0 3.0   7.480433   8.848171  7 20
LinMacro 6   1   9080.751  0.086800 3.0 3.0   7.482812   8.848171  8 20
LinMacro 6   1    9114.31  0.099600 5.0 3.0   7.487839   8.848171  9 20
LinMacro 6   1  10657.488  0.000068 3.0 3.0   7.684812   8.848171 10 20
LinMacro 6   1  13745.578  0.002870 3.0 3.0   7.946173   8.848171 11 20
LinMacro 6   1  13747.683  0.005250 5.0 3.0   7.946311   8.848171 12 20
