   Dtype Element Ion lvl    ion_pot        ex    g rad_rate         config islp ilv
-------- ------- --- --- ---------- --------- ---- -------- -------------- ---- ---
LevMacro       6   2   1 -24.383313 11.260296  2.0    1e+21   2s2_2p_2P0.5  211   1
LevMacro       6   2   2 -24.375453 11.268156  4.0    1e-09   2s2_2p_2P1.5  211   1
LevMacro       6   2   3 -19.051567 16.592042  2.0    1e-09   2s_2p2_4P0.5  410   1
LevMacro       6   2   4 -19.048963 16.594646  4.0    1e-09   2s_2p2_4P1.5  410   1
LevMacro       6   2   5 -19.045343 16.598266  6.0    1e-09   2s_2p2_4P2.5  410   1
LevMacro       6   2   6 -15.092802 20.550807  4.0    1e-09   2s_2p2_2D1.5  220   1
LevMacro       6   2   7 -15.093114 20.550495  6.0    1e-09   2s_2p2_2D2.5  220   1
LevMacro       6   2   8 -12.419549 23.224060  2.0    1e-09   2s_2p2_2S0.5  200   1
LevMacro       6   2   9 -10.667589 24.976020  2.0    1e-09   2s_2p2_2P0.5  210   1
LevMacro       6   2  10 -10.662458 24.981151  4.0    1e-09   2s_2p2_2P1.5  210   1
LevMacro       6   2  11  -9.934407 25.709202  2.0    1e-09   2s2_3s_2S0.5  200   2
LevMacro       6   2  12  -8.051484 27.592125  2.0    1e-09   2s2_3p_2P0.5  211   2
LevMacro       6   2  13  -8.050101 27.593508  4.0    1e-09   2s2_3p_2P1.5  211   2
LevMacro       6   2  14  -6.774101 28.869508  4.0    1e-09      2p3_4S1.5  401   1
LevMacro       6   2  15  -6.337405 29.306204  4.0    1e-09   2s2_3d_2D1.5  220   2
LevMacro       6   2  16  -6.337228 29.306381  6.0    1e-09   2s2_3d_2D2.5  220   2
LevMacro       6   2  17  -5.727719 29.915890  4.0    1e-09      2p3_2D1.5  221   1
LevMacro       6   2  18  -5.728353 29.915256  6.0    1e-09      2p3_2D2.5  221   1
LevMacro       6   2  19  -4.888667 30.754942  2.0    1e-09   2s2_4s_2S0.5  200   3
LevMacro       6   2  20  -4.233553 31.410056  2.0    1e-09   2s2_4p_2P0.5  211   3
LevMacro       6   2  21  -4.232725 31.410884  4.0    1e-09   2s2_4p_2P1.5  211   3
LevMacro       6   2  22  -3.681914 31.961695  2.0    1e-09 2s_2p_3s_4P0.5  411   1
LevMacro       6   2  23  -3.678988 31.964621  4.0    1e-09 2s_2p_3s_4P1.5  411   1
LevMacro       6   2  24  -3.673412 31.970197  6.0    1e-09 2s_2p_3s_4P2.5  411   1
LevMacro       6   2  25  -3.538512 32.105097  4.0    1e-09   2s2_4d_2D1.5  220   3
LevMacro       6   2  26  -3.538424 32.105185  6.0    1e-09   2s2_4d_2D2.5  220   3
LevMacro       6   2  27  -3.463404 32.180205  2.0    1e-09      2p3_2P0.5  211   4
LevMacro       6   2  28  -3.461076 32.182533  4.0    1e-09      2p3_2P1.5  211   4
LevMacro       6   2  29  -3.432555 32.211054  6.0    1e-09   2s2_4f_2F2.5  231   1
LevMacro       6   2  30  -3.432555 32.211054  8.0    1e-09   2s2_4f_2F3.5  231   1
LevMacro       6   2  31  -2.059228 33.584381  2.0    1e-09 2s_2p_3p_2P0.5  210   2
LevMacro       6   2  32  -2.057419 33.586190  4.0    1e-09 2s_2p_3p_2P1.5  210   2
LevMacro       6   2  33  -1.855676 33.787933  2.0    1e-09 2s_2p_3p_4D0.5  420   1
LevMacro       6   2  34  -1.853894 33.789715  4.0    1e-09 2s_2p_3p_4D1.5  420   1
LevMacro       6   2  35  -1.850792 33.792817  6.0    1e-09 2s_2p_3p_4D2.5  420   1
LevMacro       6   2  36  -1.846284 33.797325  8.0    1e-09 2s_2p_3p_4D3.5  420   1
LevMacro       6   2  37  -1.815108 33.828501  2.0    1e-09 2s_2p_3p_2P0.5  210   2
LevMacro       6   2  38  -1.812684 33.830925  4.0    1e-09 2s_2p_3p_2P1.5  210   2
LevMacro       6   2  39  -1.559236 34.084373  4.0    1e-09 2s_2p_3s_2P1.5  211   5
LevMacro       6   2  40  -1.269142 34.374467  2.0    1e-09 2s_2p_3p_4P0.5  410   2
LevMacro       6   2  41  -1.267116 34.376493  4.0    1e-09 2s_2p_3p_4P1.5  410   2
LevMacro       6   2  42  -1.264347 34.379262  6.0    1e-09 2s_2p_3p_4P2.5  410   2
LevMacro       6   2  43  -1.002091 34.641518  4.0    1e-09 2s_2p_3p_2D1.5  220   4
LevMacro       6   2  44  -0.997897 34.645712  6.0    1e-09 2s_2p_3p_2D2.5  220   4
LevMacro       6   2  45  -0.380771 35.262838  2.0    1e-09 2s_2p_3p_2S0.5  200   4
LevMacro       6   2  46  -0.112954 35.530655  4.0    1e-09 2s_2p_3d_4F1.5  431   1
LevMacro       6   2  47  -0.111309 35.532300  6.0    1e-09 2s_2p_3d_4F2.5  431   1
LevMacro       6   2  48  -0.108843 35.534766  8.0    1e-09 2s_2p_3d_4F3.5  431   1
LevMacro       6   2  49  -0.105381 35.538228 10.0    1e-09 2s_2p_3d_4F4.5  431   1
LevMacro       6   2  50  -0.013110 35.630499  2.0    1e-09 2s_2p_3d_4D0.5  421   1
LevMacro       6   2  51  -0.012423 35.631186  4.0    1e-09 2s_2p_3d_4D1.5  421   1
LevMacro       6   2  52  -0.011381 35.632228  6.0    1e-09 2s_2p_3d_4D2.5  421   1
LevMacro       6   2  53  -0.010124 35.633485  8.0    1e-09 2s_2p_3d_4D3.5  421   1
LevMacro       6   2  54   0.442736 36.086345  6.0    1e-09 2s_2p_3d_4P2.5  411   2
LevMacro       6   2  55   0.444918 36.088527  4.0    1e-09 2s_2p_3d_4P1.5  411   2
LevMacro       6   2  56   0.446208 36.089817  2.0    1e-09 2s_2p_3d_4P0.5  411   2
LevMacro       6   2  57   0.540275 36.183884  4.0    1e-09 2s_2p_3d_2D1.5  221   2
LevMacro       6   2  58   0.541478 36.185087  6.0    1e-09 2s_2p_3d_2D2.5  221   2
LevMacro       6   2  59   0.792064 36.435673  6.0    1e-09 2s_2p_3d_2F2.5  231   2
LevMacro       6   2  60   0.796577 36.440186  8.0    1e-09 2s_2p_3d_2F3.5  231   2
LevMacro       6   2  61   1.155736 36.799345  4.0    1e-09 2s_2p_3d_2P1.5  211   6
LevMacro       6   2  62   1.157695 36.801304  2.0    1e-09 2s_2p_3d_2P0.5  211   6
LevMacro       6   2  63   1.976528 37.620137  2.0    1e-09 2s_2p_4s_4P0.5  411   3
LevMacro       6   2  64   1.979281 37.622890  4.0    1e-09 2s_2p_4s_4P1.5  411   3
LevMacro       6   2  65   1.983893 37.627502  6.0    1e-09 2s_2p_4s_4P2.5  411   3
LevMacro       6   2  66   2.453461 38.097070  2.0    1e-09 2s_2p_4s_2P0.5  211   7
LevMacro       6   2  67   2.458122 38.101731  4.0    1e-09 2s_2p_4s_2P1.5  211   7
LevMacro       6   2  68   2.521664 38.165273  2.0    1e-09 2s_2p_4p_2P0.5  210   3
LevMacro       6   2  69   2.524330 38.167939  4.0    1e-09 2s_2p_4p_2P1.5  210   3
LevMacro       6   2  70   2.597283 38.240892  2.0    1e-09 2s_2p_4p_4D0.5  420   2
LevMacro       6   2  71   2.598771 38.242380  4.0    1e-09 2s_2p_4p_4D1.5  420   2
LevMacro       6   2  72   2.601276 38.244885  6.0    1e-09 2s_2p_4p_4D2.5  420   2
LevMacro       6   2  73   2.604810 38.248419  8.0    1e-09 2s_2p_4p_4D3.5  420   2
LevMacro       6   2  74   2.720660 38.364269  4.0    1e-09 2s_2p_4p_4S1.5  400   1
LevMacro       6   2  75   3.029433 38.673042  2.0    1e-09 2s_2p_4p_4P0.5  410   3
LevMacro       6   2  76   3.031008 38.674617  4.0    1e-09 2s_2p_4p_4P1.5  410   3
LevMacro       6   2  77   3.033536 38.677145  6.0    1e-09 2s_2p_4p_4P2.5  410   3
LevMacro       6   2  78   3.081196 38.724805  4.0    1e-09 2s_2p_4p_2D1.5  220   5
LevMacro       6   2  79   3.085710 38.729319  6.0    1e-09 2s_2p_4p_2D2.5  220   5
LevMacro       6   2  80   3.253076 38.896685  2.0    1e-09 2s_2p_3s_2P0.5  211   8
LevMacro       6   2  81   3.253374 38.896983  4.0    1e-09 2s_2p_3s_2P1.5  211   8
LevMacro       6   2  82   3.260292 38.903901  4.0    1e-09 2s_2p_4d_4F1.5  431   2
LevMacro       6   2  83   3.261817 38.905426  6.0    1e-09 2s_2p_4d_4F2.5  431   2
LevMacro       6   2  84   3.264000 38.907609  8.0    1e-09 2s_2p_4d_4F3.5  431   2
LevMacro       6   2  85   3.266889 38.910498 10.0    1e-09 2s_2p_4d_4F4.5  431   2
LevMacro       6   2  86   3.334286 38.977895  2.0    1e-09 2s_2p_4d_4D0.5  421   2
LevMacro       6   2  87   3.334734 38.978343  4.0    1e-09 2s_2p_4d_4D1.5  421   2
LevMacro       6   2  88   3.335526 38.979135  6.0    1e-09 2s_2p_4d_4D2.5  421   2
LevMacro       6   2  89   3.336779 38.980388  8.0    1e-09 2s_2p_4d_4D3.5  421   2
LevMacro       6   2  90   3.395014 39.038623  6.0    1e-09 2s_2p_4d_4P2.5  411   4
LevMacro       6   2  91   3.397271 39.040880  4.0    1e-09 2s_2p_4d_4P1.5  411   4
LevMacro       6   2  92   3.398561 39.042170  2.0    1e-09 2s_2p_4d_4P0.5  411   4
LevMacro       6   2  93   3.441113 39.084722  4.0    1e-09 2s_2p_4d_2D1.5  221   3
