   Dtype Element Ion lvl    ion_pot        ex    g rad_rate      config islp ilv
-------- ------- --- --- ---------- --------- ---- -------- ----------- ---- ---
LevMacro       6   3   1 -47.887777 35.643609  1.0    1e+21   2s2_1S0.0  100   1
LevMacro       6   3   2 -41.395048 42.136337  1.0    1e-09 2s_2p_3P0.0  311   1
LevMacro       6   3   3 -41.392110 42.139276  3.0    1e-09 2s_2p_3P1.0  311   1
LevMacro       6   3   4 -41.385129 42.146256  5.0    1e-09 2s_2p_3P2.0  311   1
LevMacro       6   3   5 -35.197677 48.333709  3.0    1e-09 2s_2p_1P1.0  111   1
LevMacro       6   3   6 -30.849068 52.682317  1.0    1e-09   2p2_3P0.0  310   1
LevMacro       6   3   7 -30.845510 52.685875  3.0    1e-09   2p2_3P1.0  310   1
LevMacro       6   3   8 -30.839608 52.691777  5.0    1e-09   2p2_3P2.0  310   1
LevMacro       6   3   9 -29.801347 53.730039  5.0    1e-09   2p2_1D2.0  120   1
LevMacro       6   3  10 -25.258070 58.273316  1.0    1e-09   2p2_1S0.0  100   2
LevMacro       6   3  11 -18.352968 65.178418  3.0    1e-09 2s_3s_3S1.0  300   1
LevMacro       6   3  12 -17.242398 66.288987  1.0    1e-09 2s_3s_1S0.0  100   3
LevMacro       6   3  13 -15.784212 67.747174  3.0    1e-09 2s_3p_1P1.0  111   2
LevMacro       6   3  14 -15.688223 67.843163  1.0    1e-09 2s_3p_3P0.0  311   2
LevMacro       6   3  15 -15.687516 67.843869  3.0    1e-09 2s_3p_3P1.0  311   2
LevMacro       6   3  16 -15.685892 67.845494  5.0    1e-09 2s_3p_3P2.0  311   2
LevMacro       6   3  17 -14.410522 69.120864  3.0    1e-09 2s_3d_3D1.0  320   1
LevMacro       6   3  18 -14.410385 69.121000  5.0    1e-09 2s_3d_3D2.0  320   1
LevMacro       6   3  19 -14.410026 69.121360  7.0    1e-09 2s_3d_3D3.0  320   1
LevMacro       6   3  20 -13.608079 69.923306  5.0    1e-09 2s_3d_1D2.0  120   2
LevMacro       6   3  21  -9.519765 74.011621  3.0    1e-09 2s_4s_3S1.0  300   2
LevMacro       6   3  22  -9.673580 73.857805  1.0    1e-09 2p_3s_3P0.0  311   3
LevMacro       6   3  23  -9.669576 73.861810  3.0    1e-09 2p_3s_3P1.0  311   3
LevMacro       6   3  24  -9.661095 73.870291  5.0    1e-09 2p_3s_3P2.0  311   3
LevMacro       6   3  25  -9.451685 74.079701  3.0    1e-09 2p_3s_1P1.0  111   3
LevMacro       6   3  26  -9.239026 74.292360  1.0    1e-09 2s_4s_1S0.0  100   4
LevMacro       6   3  27  -8.486103 75.045283  1.0    1e-09 2s_4p_3P0.0  311   4
LevMacro       6   3  28  -8.485818 75.045568  3.0    1e-09 2s_4p_3P1.0  311   4
LevMacro       6   3  29  -8.485222 75.046163  5.0    1e-09 2s_4p_3P2.0  311   4
