   Dtype z ion      Wave         f   gl   gu         el         eu ll ul
-------- - --- --------- --------- ---- ---- ---------- ---------- -- --
LinMacro 6   3  1908.734  0.000001  1.0  3.0   0.000000   6.495667  1  3
LinMacro 6   3  1906.683  0.000001  1.0  5.0   0.000000   6.502647  1  4
LinMacro 6   3 1774328.0  0.000001  3.0  5.0   6.495667   6.502647  3  4
LinMacro 6   3    977.02  0.758300  1.0  3.0   0.000000  12.690100  1  5
LinMacro 6   3  1175.987  0.090800  3.0  1.0   6.495667  17.038708  3  6
LinMacro 6   3   1176.37  0.068080  5.0  3.0   6.502647  17.042266  4  7
LinMacro 6   3  1175.263  0.272600  1.0  3.0   6.492728  17.042266  2  7
LinMacro 6   3   1175.59  0.068133  3.0  3.0   6.495667  17.042266  3  7
LinMacro 6   3  1175.711  0.204400  5.0  5.0   6.502647  17.048168  4  8
LinMacro 6   3  1174.933  0.113600  3.0  5.0   6.495667  17.048168  3  8
LinMacro 6   3  1070.331  0.000005  5.0  5.0   6.502647  18.086430  4  9
LinMacro 6   3  2297.578  0.181900  3.0  5.0  12.690100  18.086430  5  9
LinMacro 6   3   685.513  0.000001  1.0  5.0   0.000000  18.086430  1  9
LinMacro 6   3  1069.686  0.000001  3.0  5.0   6.495667  18.086430  3  9
LinMacro 6   3  1247.383  0.162200  3.0  1.0  12.690100  22.629707  5 10
LinMacro 6   3   538.149  0.053367  3.0  3.0   6.495667  29.534809  3 11
LinMacro 6   3    538.08  0.053360  1.0  3.0   6.492728  29.534809  2 11
LinMacro 6   3   538.312  0.053440  5.0  3.0   6.502647  29.534809  4 11
LinMacro 6   3   690.521  0.020350  3.0  1.0  12.690100  30.645378  5 12
LinMacro 6   3  4826.652  0.000036  3.0  3.0  29.534809  32.103565 11 13
LinMacro 6   3  1308.705  0.016640  1.0  3.0  22.629707  32.103565 10 13
LinMacro 6   3   884.524  0.025340  5.0  3.0  18.086430  32.103565  9 13
LinMacro 6   3   386.203  0.240700  1.0  3.0   0.000000  32.103565  1 13
LinMacro 6   3  8502.656  0.330400  1.0  3.0  30.645378  32.103565 12 13
LinMacro 6   3   823.525  0.000001  5.0  3.0  17.048168  32.103565  8 13
LinMacro 6   3   817.988  0.000070  3.0  1.0  17.042266  32.199554  7 14
LinMacro 6   3   482.489  0.000001  5.0  1.0   6.502647  32.199554  4 14
LinMacro 6   3  4652.776  0.077667  3.0  1.0  29.534809  32.199554 11 14
LinMacro 6   3  4651.548  0.233000  3.0  3.0  29.534809  32.200260 11 15
LinMacro 6   3   482.476  0.000001  5.0  3.0   6.502647  32.200260  4 15
LinMacro 6   3  1295.482  0.000002  1.0  3.0  22.629707  32.200260 10 15
LinMacro 6   3   878.464  0.000004  5.0  3.0  18.086430  32.200260  9 15
LinMacro 6   3   385.043  0.000035  1.0  3.0   0.000000  32.200260  1 15
LinMacro 6   3   817.758  0.000211  1.0  3.0  17.038708  32.200260  6 15
LinMacro 6   3  7973.876  0.000055  1.0  3.0  30.645378  32.200260 12 15
LinMacro 6   3   818.269  0.000052  5.0  3.0  17.048168  32.200260  8 15
LinMacro 6   3   482.345  0.000001  3.0  3.0   6.495667  32.200260  3 15
LinMacro 6   3    817.95  0.000053  3.0  3.0  17.042266  32.200260  7 15
LinMacro 6   3   4648.72  0.388667  3.0  5.0  29.534809  32.201885 11 16
LinMacro 6   3   482.446  0.000001  5.0  5.0   6.502647  32.201885  4 16
LinMacro 6   3    482.26  0.000001  1.0  5.0   6.492728  32.201885  2 16
LinMacro 6   3   818.181  0.000160  5.0  5.0  17.048168  32.201885  8 16
LinMacro 6   3   482.315  0.000001  3.0  5.0   6.495667  32.201885  3 16
LinMacro 6   3   817.863  0.000089  3.0  5.0  17.042266  32.201885  7 16
LinMacro 6   3  9703.748  0.184700  1.0  3.0  32.199554  33.477255 14 17
LinMacro 6   3   459.516  0.140100  3.0  3.0   6.495667  33.477255  3 17
LinMacro 6   3   9025.64  0.000008  3.0  3.0  32.103565  33.477255 13 17
LinMacro 6   3   459.466  0.560300  1.0  3.0   6.492728  33.477255  2 17
LinMacro 6   3  9721.435  0.001843  5.0  3.0  32.201885  33.477255 16 17
LinMacro 6   3  9709.091  0.046133  3.0  3.0  32.200260  33.477255 15 17
