   Dtype Element Ion lvl    ion_pot         ex    g rad_rate             config islp ilv
-------- ------- --- --- ---------- ---------- ---- -------- ------------------ ---- ---
LevMacro       6   4   1 -64.493896  83.531386  2.0    1e+21       1s2.2s_2S0.5  200   1
LevMacro       6   4   2 -56.498856  91.526426  2.0    1e-09       1s2.2p_2P0.5  211   1
LevMacro       6   4   3 -56.485502  91.539779  4.0    1e-09       1s2.2p_2P1.5  211   1
LevMacro       6   4   4 -26.945201 121.080081  2.0    1e-09       1s2.3s_2S0.5  200   2
LevMacro       6   4   5 -24.812525 123.212757  2.0    1e-09       1s2.3p_2P0.5  211   2
LevMacro       6   4   6 -24.808607 123.216675  4.0    1e-09       1s2.3p_2P1.5  211   2
LevMacro       6   4   7 -24.213715 123.811567  4.0    1e-09       1s2.3d_2D1.5  220   1
LevMacro       6   4   8 -24.212413 123.812868  6.0    1e-09       1s2.3d_2D2.5  220   1
LevMacro       6   4   9 -14.732803 133.292479  2.0    1e-09       1s2.4s_2S0.5  200   3
LevMacro       6   4  10 -13.869496 134.155786  2.0    1e-09       1s2.4p_2P0.5  211   3
LevMacro       6   4  11 -13.867872 134.157410  4.0    1e-09       1s2.4p_2P1.5  211   3
LevMacro       6   4  12 -13.618427 134.406855  4.0    1e-09       1s2.4d_2D1.5  220   2
LevMacro       6   4  13 -13.617931 134.407351  6.0    1e-09       1s2.4d_2D2.5  220   2
LevMacro       6   4  14 -13.606264 134.419018  6.0    1e-09       1s2.4f_2F2.5  231   1
LevMacro       6   4  15 -13.606264 134.419018  8.0    1e-09       1s2.4f_2F3.5  231   1
LevMacro       6   4  16  -9.274939 138.750343  2.0    1e-09       1s2.5s_2S0.5  200   4
LevMacro       6   4  17  -8.842567 139.182715  2.0    1e-09       1s2.5p_2P0.5  211   4
LevMacro       6   4  18  -8.841686 139.183596  4.0    1e-09       1s2.5p_2P1.5  211   4
LevMacro       6   4  19  -8.714565 139.310717  4.0    1e-09       1s2.5d_2D1.5  220   3
LevMacro       6   4  20  -8.714354 139.310928  6.0    1e-09       1s2.5d_2D2.5  220   3
LevMacro       6   4  21  -8.708167 139.317115  6.0    1e-09       1s2.5f_2F2.5  231   2
LevMacro       6   4  22  -8.708167 139.317115  8.0    1e-09       1s2.5f_2F3.5  231   2
LevMacro       6   4  23  -8.707101 139.318181  8.0    1e-09       1s2.5g_2G3.5  240   1
LevMacro       6   4  24  -8.707101 139.318181 10.0    1e-09       1s2.5g_2G4.5  240   1
LevMacro       6   4  25  -6.371771 141.653511  2.0    1e-09       1s2.6s_2S0.5  200   5
LevMacro       6   4  26  -6.124917 141.900365  2.0    1e-09       1s2.6p_2P0.5  211   5
LevMacro       6   4  27  -6.124434 141.900848  4.0    1e-09       1s2.6p_2P1.5  211   5
LevMacro       6   4  28  -6.051109 141.974173  4.0    1e-09       1s2.6d_2D1.5  220   4
LevMacro       6   4  29  -6.050960 141.974322  6.0    1e-09       1s2.6d_2D2.5  220   4
LevMacro       6   4  30  -6.050362 141.974920  6.0    1e-09       1s2.6f_2F2.5  231   3
LevMacro       6   4  31  -6.050255 141.975027  8.0    1e-09       1s2.6f_2F3.5  231   3
LevMacro       6   4  32  -6.050200 141.975082  8.0    1e-09       1s2.6g_2G3.5  240   2
LevMacro       6   4  33  -6.050140 141.975141 10.0    1e-09       1s2.6h_2H4.5  251   1
LevMacro       6   4  34  -6.050136 141.975146 10.0    1e-09       1s2.6g_2G4.5  240   2
LevMacro       6   4  35  -6.050097 141.975184 12.0    1e-09       1s2.6h_2H5.5  251   1
LevMacro       6   4  36  -4.645654 143.379628  2.0    1e-09       1s2.7s_2S0.5  200   6
LevMacro       6   4  37  -4.491161 143.534121  2.0    1e-09       1s2.7p_2P0.5  211   6
LevMacro       6   4  38  -4.490633 143.534649  4.0    1e-09       1s2.7p_2P1.5  211   6
LevMacro       6   4  39  -4.445468 143.579814  4.0    1e-09       1s2.7d_2D1.5  220   5
LevMacro       6   4  40  -4.445468 143.579814  6.0    1e-09       1s2.7d_2D2.5  220   5
LevMacro       6   4  41  -4.444587 143.580695  6.0    1e-09       1s2.7f_2F2.5  231   4
LevMacro       6   4  42  -4.444520 143.580762  8.0    1e-09       1s2.7f_2F3.5  231   4
LevMacro       6   4  43  -4.444482 143.580800  8.0    1e-09       1s2.7g_2G3.5  240   3
LevMacro       6   4  44  -4.444444 143.580838 10.0    1e-09       1s2.7h_2H4.5  251   2
LevMacro       6   4  45  -4.444441 143.580841 10.0    1e-09       1s2.7g_2G4.5  240   3
LevMacro       6   4  46  -4.444422 143.580860 12.0    1e-09       1s2.7i_2I5.5  260   1
LevMacro       6   4  47  -4.444417 143.580865 12.0    1e-09       1s2.7h_2H5.5  251   2
LevMacro       6   4  48  -4.444402 143.580879 14.0    1e-09       1s2.7i_2I6.5  260   1
LevMacro       6   4  49  -3.538542 144.486740  2.0    1e-09       1s2.8s_2S0.5  200   7
LevMacro       6   4  50  -3.434291 144.590991  2.0    1e-09       1s2.8p_2P0.5  211   7
LevMacro       6   4  51  -3.433938 144.591344  4.0    1e-09       1s2.8p_2P1.5  211   7
LevMacro       6   4  52  -3.404456 144.620826  4.0    1e-09       1s2.8d_2D1.5  220   6
LevMacro       6   4  53  -3.404363 144.620919  6.0    1e-09       1s2.8d_2D2.5  220   6
LevMacro       6   4  54  -3.403264 144.622018  6.0    1e-09       1s2.8f_2F2.5  231   5
LevMacro       6   4  55  -3.403219 144.622063  8.0    1e-09       1s2.8f_2F3.5  231   5
LevMacro       6   4  56  -3.403166 144.622116 10.0    1e-09       1s2.8h_2H4.5  251   3
LevMacro       6   4  57  -3.403151 144.622131 12.0    1e-09       1s2.8i_2I5.5  260   2
LevMacro       6   4  58  -3.403148 144.622134 12.0    1e-09       1s2.8h_2H5.5  251   3
LevMacro       6   4  59  -3.403141 144.622141 14.0    1e-09       1s2.8k_2K6.5  270   1
LevMacro       6   4  60  -3.403138 144.622144 14.0    1e-09       1s2.8i_2I6.5  260   2
LevMacro       6   4  61  -3.403132 144.622150 16.0    1e-09       1s2.8k_2K7.5  270   1
LevMacro       6   4  62  -3.246488 144.778794  8.0    1e-09       1s2.8g_2G3.5  240   4
LevMacro       6   4  63  -3.246460 144.778821 10.0    1e-09       1s2.8g_2G4.5  240   4
LevMacro       6   4  64 226.514751 374.540033  2.0    1e-09       1s.2s2_2S0.5  200   8
LevMacro       6   4  65 229.746129 377.771411  2.0    1e-09 1s.2s(3S).2p_4P0.5  411   1
LevMacro       6   4  66 229.747361 377.772643  4.0    1e-09 1s.2s(3S).2p_4P1.5  411   1
LevMacro       6   4  67 229.756511 377.781792  6.0    1e-09 1s.2s(3S).2p_4P2.5  411   1
LevMacro       6   4  68 235.124516 383.149798  2.0    1e-09 1s.2s(3S).2p_2P0.5  211   8
LevMacro       6   4  69 235.125745 383.151027  4.0    1e-09 1s.2s(3S).2p_2P1.5  211   8
LevMacro       6   4  70 239.115121 387.140403  2.0    1e-09   1s.2p2(3P)_4P0.5  410   1
LevMacro       6   4  71 239.121695 387.146977  4.0    1e-09   1s.2p2(3P)_4P1.5  410   1
LevMacro       6   4  72 239.129508 387.154790  6.0    1e-09   1s.2p2(3P)_4P2.5  410   1
LevMacro       6   4  73 239.208680 387.233961  2.0    1e-09 1s.2s(1S).2p_2P0.5  211   9
LevMacro       6   4  74 239.213873 387.239154  4.0    1e-09 1s.2s(1S).2p_2P1.5  211   9
LevMacro       6   4  75 242.142699 390.167981  6.0    1e-09   1s.2p2(1D)_2D2.5  220   7
LevMacro       6   4  76 242.165091 390.190373  4.0    1e-09   1s.2p2(1D)_2D1.5  220   7
