   Dtype Element Ion lvl     ion_pot         ex    g rad_rate      config islp ilv
-------- ------- --- --- ----------- ---------- ---- -------- ----------- ---- ---
LevMacro       6   5   1 -392.086975 148.025282  1.0    1e+21   1s2_1S0.0  100   1
LevMacro       6   5   2  -93.123116 446.989140  3.0    1e-09 1s.2s_3S1.0  300   1
LevMacro       6   5   3  -87.697538 452.414718  1.0    1e-09 1s.2s_1S0.0  100   2
LevMacro       6   5   4  -87.681916 452.430340  3.0    1e-09 1s.2p_3P1.0  311   1
LevMacro       6   5   5  -87.680304 452.431952  1.0    1e-09 1s.2p_3P0.0  311   1
LevMacro       6   5   6  -87.665054 452.447202  5.0    1e-09 1s.2p_3P2.0  311   1
LevMacro       6   5   7  -84.182815 455.929442  3.0    1e-09 1s.2p_1P1.0  111   1
LevMacro       6   5   8  -40.022750 500.089506  3.0    1e-09 1s.3s_3S1.0  300   2
LevMacro       6   5   9  -38.555513 501.556743  1.0    1e-09 1s.3p_3P0.0  311   2
LevMacro       6   5  10  -38.555761 501.556495  3.0    1e-09 1s.3p_3P1.0  311   2
LevMacro       6   5  11  -38.550802 501.561454  5.0    1e-09 1s.3p_3P2.0  311   2
LevMacro       6   5  12  -38.583782 501.528474  1.0    1e-09 1s.3s_1S0.0  100   3
LevMacro       6   5  13  -37.824251 502.288006  3.0    1e-09 1s.3d_3D1.0  320   1
LevMacro       6   5  14  -37.824251 502.288006  5.0    1e-09 1s.3d_3D2.0  320   1
LevMacro       6   5  15  -37.822763 502.289494  7.0    1e-09 1s.3d_3D3.0  320   1
LevMacro       6   5  16  -37.796478 502.315778  5.0    1e-09 1s.3d_1D2.0  120   1
LevMacro       6   5  17  -37.568470 502.543787  3.0    1e-09 1s.3p_1P1.0  111   2
LevMacro       6   5  18  -22.172524 517.939732  3.0    1e-09 1s.4s_3S1.0  300   3
LevMacro       6   5  19  -21.575661 518.536595  1.0    1e-09 1s.4p_3P0.0  311   3
LevMacro       6   5  20  -21.575661 518.536595  3.0    1e-09 1s.4p_3P1.0  311   3
LevMacro       6   5  21  -21.573801 518.538455  5.0    1e-09 1s.4p_3P2.0  311   3
LevMacro       6   5  22  -21.589671 518.522585  1.0    1e-09 1s.4s_1S0.0  100   4
LevMacro       6   5  23  -21.275990 518.836267  3.0    1e-09 1s.4d_3D1.0  320   2
LevMacro       6   5  24  -21.275990 518.836267  5.0    1e-09 1s.4d_3D2.0  320   2
LevMacro       6   5  25  -21.272642 518.839614  7.0    1e-09 1s.4d_3D3.0  320   2
LevMacro       6   5  26  -21.257764 518.854493  5.0    1e-09 1s.4f_3F2.0  331   1
LevMacro       6   5  27  -21.257764 518.854493  7.0    1e-09 1s.4f_3F3.0  331   1
LevMacro       6   5  28  -21.257764 518.854493  9.0    1e-09 1s.4f_3F4.0  331   1
LevMacro       6   5  29  -21.257764 518.854493  7.0    1e-09 1s.4f_1F3.0  131   1
LevMacro       6   5  30  -21.256896 518.855361  5.0    1e-09 1s.4d_1D2.0  120   2
LevMacro       6   5  31  -21.166139 518.946117  3.0    1e-09 1s.4p_1P1.0  111   3
LevMacro       6   5  32  -14.065401 526.046855  3.0    1e-09 1s.5s_3S1.0  300   4
LevMacro       6   5  33  -13.767961 526.344295  1.0    1e-09 1s.5p_3P0.0  311   4
LevMacro       6   5  34  -13.767961 526.344295  3.0    1e-09 1s.5p_3P1.0  311   4
LevMacro       6   5  35  -13.764118 526.348138  5.0    1e-09 1s.5p_3P2.0  311   4
LevMacro       6   5  36  -13.774409 526.337848  1.0    1e-09 1s.5s_1S0.0  100   5
LevMacro       6   5  37  -13.612112 526.500144  3.0    1e-09 1s.5d_3D1.0  320   3
LevMacro       6   5  38  -13.612112 526.500144  5.0    1e-09 1s.5d_3D2.0  320   3
LevMacro       6   5  39  -13.611617 526.500640  7.0    1e-09 1s.5d_3D3.0  320   3
LevMacro       6   5  40  -13.610997 526.501260  5.0    1e-09 1s.5f_3F2.0  331   2
LevMacro       6   5  41  -13.610997 526.501260  7.0    1e-09 1s.5f_3F3.0  331   2
LevMacro       6   5  42  -13.610625 526.501632  9.0    1e-09 1s.5f_3F4.0  331   2
LevMacro       6   5  43  -13.610625 526.501632  7.0    1e-09 1s.5f_1F3.0  131   2
LevMacro       6   5  44  -13.610501 526.501756  7.0    1e-09 1s.5g_3G3.0  340   1
LevMacro       6   5  45  -13.610501 526.501756  9.0    1e-09 1s.5g_3G4.0  340   1
LevMacro       6   5  46  -13.610253 526.502004 11.0    1e-09 1s.5g_3G5.0  340   1
LevMacro       6   5  47  -13.610253 526.502004  9.0    1e-09 1s.5g_1G4.0  140   1
LevMacro       6   5  48  -13.609137 526.503120  5.0    1e-09 1s.5d_1D2.0  120   3
LevMacro       6   5  49  -13.555699 526.556557  3.0    1e-09 1s.5p_1P1.0  111   4
LevMacro       6   5  50   -9.710185 530.402072  3.0    1e-09 1s.6s_3S1.0  300   5
LevMacro       6   5  51   -9.544789 530.567468  1.0    1e-09 1s.6p_3P0.0  311   5
LevMacro       6   5  52   -9.544293 530.567964  3.0    1e-09 1s.6p_3P1.0  311   5
LevMacro       6   5  53   -9.537846 530.574411  5.0    1e-09 1s.6p_3P2.0  311   5
LevMacro       6   5  54   -9.532390 530.579866  1.0    1e-09 1s.6s_1S0.0  100   6
LevMacro       6   5  55   -9.450312 530.661944  3.0    1e-09 1s.6d_3D1.0  320   4
LevMacro       6   5  56   -9.455396 530.656861  5.0    1e-09 1s.6d_3D2.0  320   4
LevMacro       6   5  57   -9.455148 530.657109  7.0    1e-09 1s.6d_3D3.0  320   4
LevMacro       6   5  58   -9.450684 530.661572  5.0    1e-09 1s.6f_3F2.0  331   3
LevMacro       6   5  59   -9.450560 530.661696  7.0    1e-09 1s.6f_3F3.0  331   3
LevMacro       6   5  60   -9.450436 530.661820  9.0    1e-09 1s.6f_3F4.0  331   3
LevMacro       6   5  61   -9.450312 530.661944  7.0    1e-09 1s.6f_1F3.0  131   3
LevMacro       6   5  62   -9.450312 530.661944  7.0    1e-09 1s.6g_3G3.0  340   2
LevMacro       6   5  63   -9.450312 530.661944  9.0    1e-09 1s.6g_3G4.0  340   2
LevMacro       6   5  64   -9.450188 530.662068  9.0    1e-09 1s.6h_3H4.0  351   1
LevMacro       6   5  65   -9.450188 530.662068 11.0    1e-09 1s.6h_3H5.0  351   1
LevMacro       6   5  66   -9.450188 530.662068 11.0    1e-09 1s.6g_3G5.0  340   2
LevMacro       6   5  67   -9.450188 530.662068  9.0    1e-09 1s.6g_1G4.0  140   2
LevMacro       6   5  68   -9.450064 530.662192 13.0    1e-09 1s.6h_3H6.0  351   1
LevMacro       6   5  69   -9.450064 530.662192 11.0    1e-09 1s.6h_1H5.0  151   1
LevMacro       6   5  70   -9.449444 530.662812  5.0    1e-09 1s.6d_1D2.0  120   4
LevMacro       6   5  71   -9.415225 530.697032  3.0    1e-09 1s.6p_1P1.0  111   5
LevMacro       6   5  72   -7.106502 533.005754  3.0    1e-09 1s.7s_3S1.0  300   6
LevMacro       6   5  73   -6.999751 533.112505  1.0    1e-09 1s.7p_3P0.0  311   6
LevMacro       6   5  74   -6.999503 533.112753  3.0    1e-09 1s.7p_3P1.0  311   6
LevMacro       6   5  75   -6.996032 533.116225  5.0    1e-09 1s.7p_3P2.0  311   6
LevMacro       6   5  76   -6.990948 533.121308  1.0    1e-09 1s.7s_1S0.0  100   7
LevMacro       6   5  77   -6.944206 533.168050  3.0    1e-09 1s.7d_3D1.0  320   5
LevMacro       6   5  78   -6.944082 533.168174  5.0    1e-09 1s.7d_3D2.0  320   5
LevMacro       6   5  79   -6.941478 533.170778  7.0    1e-09 1s.7d_3D3.0  320   5
LevMacro       6   5  80   -6.940982 533.171274  5.0    1e-09 1s.7f_3F2.0  331   4
LevMacro       6   5  81   -6.940982 533.171274  7.0    1e-09 1s.7f_3F3.0  331   4
LevMacro       6   5  82   -6.940858 533.171398  9.0    1e-09 1s.7f_3F4.0  331   4
LevMacro       6   5  83   -6.940858 533.171398  7.0    1e-09 1s.7f_1F3.0  131   4
LevMacro       6   5  84   -6.940734 533.171522  7.0    1e-09 1s.7g_3G3.0  340   3
LevMacro       6   5  85   -6.940734 533.171522  9.0    1e-09 1s.7g_3G4.0  340   3
LevMacro       6   5  86   -6.940734 533.171522 11.0    1e-09 1s.7g_3G5.0  340   3
LevMacro       6   5  87   -6.940734 533.171522  9.0    1e-09 1s.7h_3H4.0  351   2
LevMacro       6   5  88   -6.940734 533.171522 11.0    1e-09 1s.7h_3H5.0  351   2
LevMacro       6   5  89   -6.940734 533.171522  9.0    1e-09 1s.7g_1G4.0  140   3
LevMacro       6   5  90   -6.940610 533.171646 11.0    1e-09 1s.7i_3I5.0  360   1
LevMacro       6   5  91   -6.940610 533.171646 13.0    1e-09 1s.7i_3I6.0  360   1
LevMacro       6   5  92   -6.940610 533.171646 13.0    1e-09 1s.7h_3H6.0  351   2
LevMacro       6   5  93   -6.940610 533.171646 11.0    1e-09 1s.7h_1H5.0  151   2
LevMacro       6   5  94   -6.940610 533.171646 15.0    1e-09 1s.7i_3I7.0  360   1
LevMacro       6   5  95   -6.940610 533.171646 13.0    1e-09 1s.7i_1I6.0  160   1
LevMacro       6   5  96   -6.940238 533.172018  5.0    1e-09 1s.7d_1D2.0  120   5
LevMacro       6   5  97   -6.914202 533.198055  3.0    1e-09 1s.7p_1P1.0  111   6
LevMacro       6   5  98   -5.423532 534.688725  3.0    1e-09 1s.8s_3S1.0  300   7
LevMacro       6   5  99   -5.350256 534.762000  1.0    1e-09 1s.8p_3P0.0  311   7
LevMacro       6   5 100   -5.350256 534.762000  3.0    1e-09 1s.8p_3P1.0  311   7
LevMacro       6   5 101   -5.350256 534.762000  5.0    1e-09 1s.8p_3P2.0  311   7
LevMacro       6   5 102   -5.345421 534.766835  1.0    1e-09 1s.8s_1S0.0  100   8
LevMacro       6   5 103   -5.313681 534.798575  3.0    1e-09 1s.8d_3D1.0  320   6
LevMacro       6   5 104   -5.313681 534.798575  5.0    1e-09 1s.8d_3D2.0  320   6
LevMacro       6   5 105   -5.313681 534.798575  7.0    1e-09 1s.8d_3D3.0  320   6
LevMacro       6   5 106   -5.313929 534.798328  5.0    1e-09 1s.8f_3F2.0  331   5
LevMacro       6   5 107   -5.313929 534.798328  7.0    1e-09 1s.8f_3F3.0  331   5
LevMacro       6   5 108   -5.313805 534.798452  9.0    1e-09 1s.8f_3F4.0  331   5
LevMacro       6   5 109   -5.313805 534.798452  7.0    1e-09 1s.8f_1F3.0  131   5
LevMacro       6   5 110   -5.313681 534.798575  9.0    1e-09 1s.8h_3H4.0  351   3
LevMacro       6   5 111   -5.313681 534.798575 11.0    1e-09 1s.8h_3H5.0  351   3
LevMacro       6   5 112   -5.313681 534.798575 11.0    1e-09 1s.8i_3I5.0  360   2
LevMacro       6   5 113   -5.313681 534.798575 13.0    1e-09 1s.8i_3I6.0  360   2
LevMacro       6   5 114   -5.313681 534.798575 13.0    1e-09 1s.8h_3H6.0  351   3
LevMacro       6   5 115   -5.313681 534.798575 11.0    1e-09 1s.8h_1H5.0  151   3
LevMacro       6   5 116   -5.313681 534.798575 13.0    1e-09 1s.8k_3K6.0  370   1
LevMacro       6   5 117   -5.313681 534.798575 15.0    1e-09 1s.8k_3K7.0  370   1
LevMacro       6   5 118   -5.313681 534.798575 15.0    1e-09 1s.8i_3I7.0  360   2
LevMacro       6   5 119   -5.313681 534.798575 13.0    1e-09 1s.8i_1I6.0  160   2
LevMacro       6   5 120   -5.313557 534.798699 15.0    1e-09 1s.8k_1K7.0  170   1
LevMacro       6   5 121   -5.313557 534.798699 17.0    1e-09 1s.8k_3K8.0  370   1
LevMacro       6   5 122   -5.313309 534.798947  5.0    1e-09 1s.8d_1D2.0  120   6
LevMacro       6   5 123   -5.294835 534.817421  3.0    1e-09 1s.8p_1P1.0  111   7
LevMacro       6   5 124   -4.881966 535.230291  7.0    1e-09 1s.8g_3G3.0  340   4
LevMacro       6   5 125   -4.881966 535.230291  9.0    1e-09 1s.8g_3G4.0  340   4
LevMacro       6   5 126   -4.881966 535.230291 11.0    1e-09 1s.8g_3G5.0  340   4
LevMacro       6   5 127   -4.881966 535.230291  9.0    1e-09 1s.8g_1G4.0  140   4
LevMacro       6   5 128  264.310645 804.422901  1.0    1e-09   2s2_1S0.0  100   9
LevMacro       6   5 129  265.914265 806.026522  1.0    1e-09 2s.2p_3P0.0  311   8
LevMacro       6   5 130  265.929639 806.041896  3.0    1e-09 2s.2p_3P1.0  311   8
LevMacro       6   5 131  265.961875 806.074132  5.0    1e-09 2s.2p_3P2.0  311   8
LevMacro       6   5 132  270.732441 810.844698  1.0    1e-09   2p2_3P0.0  310   1
LevMacro       6   5 133  270.745956 810.858212  3.0    1e-09   2p2_3P1.0  310   1
LevMacro       6   5 134  270.775340 810.887597  5.0    1e-09   2p2_3P2.0  310   1
LevMacro       6   5 135  272.992066 813.104322  5.0    1e-09   2p2_1D2.0  120   7
LevMacro       6   5 136  273.644846 813.757103  3.0    1e-09 2s.2p_1P1.0  111   8
LevMacro       6   5 137  281.662204 821.774460  1.0    1e-09   2p2_1S0.0  100  10
LevMacro       6   5 138  323.391917 863.504173  3.0    1e-09 2s.3s_3S1.0  300   8
LevMacro       6   5 139  324.007130 864.119386  3.0    1e-09 2s.3p_1P1.0  111   9
LevMacro       6   5 140  325.630216 865.742472  3.0    1e-09 2p.3p_3D1.0  320   7
LevMacro       6   5 141  325.643854 865.756111  5.0    1e-09 2p.3p_3D2.0  320   7
LevMacro       6   5 142  325.672991 865.785247  7.0    1e-09 2p.3p_3D3.0  320   7
LevMacro       6   5 143  325.820037 865.932293  3.0    1e-09 2p.3p_1P1.0  110   1
LevMacro       6   5 144  325.021698 865.133955  1.0    1e-09 2s.3s_1S0.0  100  11
LevMacro       6   5 145  325.617322 865.729578  1.0    1e-09 2s.3p_3P0.0  311   9
LevMacro       6   5 146  325.617322 865.729578  3.0    1e-09 2s.3p_3P1.0  311   9
LevMacro       6   5 147  325.645714 865.757970  5.0    1e-09 2s.3p_3P2.0  311   9
LevMacro       6   5 148  325.999567 866.111823  1.0    1e-09 2p.3s_3P0.0  311  10
LevMacro       6   5 149  325.999567 866.111823  3.0    1e-09 2p.3s_3P1.0  311  10
LevMacro       6   5 150  326.027959 866.140216  5.0    1e-09 2p.3s_3P2.0  311  10
LevMacro       6   5 151  327.163165 867.275421  5.0    1e-09 2p.3d_3F2.0  331   6
LevMacro       6   5 152  327.177795 867.290052  7.0    1e-09 2p.3d_3F3.0  331   6
LevMacro       6   5 153  327.196145 867.308401  9.0    1e-09 2p.3d_3F4.0  331   6
