   Dtype z ion               Wave            f   gl   gu         el         eu  ll  ul
-------- - --- ------------------ ------------ ---- ---- ---------- ---------- --- ---
LinMacro 6   5            41.4715     0.000001  1.0  3.0   0.000000 298.963858   1   2
LinMacro 6   5 40.724775284566164     0.000001  1.0  1.0   0.000000 304.389436   1   3
LinMacro 6   5            40.7302     0.000017  1.0  3.0   0.000000 304.405059   1   4
LinMacro 6   5           2278.631     0.045000  3.0  3.0 298.963858 304.405059   2   4
LinMacro 6   5          2277.9562     0.014967  3.0  1.0 298.963858 304.406670   2   5
LinMacro 6   5             40.728     0.000001  1.0  5.0   0.000000 304.421921   1   6
LinMacro 6   5          2271.5915     0.075000  3.0  5.0 298.963858 304.421921   2   6
LinMacro 6   5            40.2674     0.673000  1.0  3.0   0.000000 307.904160   1   7
LinMacro 6   5           260.1491     0.020467  3.0  3.0 304.405059 352.064224   4   8
LinMacro 6   5           260.1579     0.020500  1.0  3.0 304.406670 352.064224   5   8
LinMacro 6   5           260.2411     0.020400  5.0  3.0 304.421921 352.064224   6   8
LinMacro 6   5           227.2133     0.034333  3.0  1.0 298.963858 353.531461   2   9
LinMacro 6   5          8450.2282     0.025033  3.0  1.0 352.064224 353.531461   8   9
LinMacro 6   5            35.0704     0.000003  1.0  3.0   0.000000 353.531213   1  10
LinMacro 6   5           227.2144     0.103000  3.0  3.0 298.963858 353.531213   2  10
LinMacro 6   5          8451.6565     0.075333  3.0  3.0 352.064224 353.531213   8  10
LinMacro 6   5           227.1937     0.171667  3.0  5.0 298.963858 353.536173   2  11
LinMacro 6   5          8423.1806     0.126000  3.0  5.0 352.064224 353.536173   8  11
LinMacro 6   5           271.9024     0.023733  3.0  1.0 307.904160 353.503193   7  12
LinMacro 6   5           248.6777     0.163667  3.0  3.0 304.405059 354.262724   4  13
LinMacro 6   5           248.6857     0.654000  1.0  3.0 304.406670 354.262724   5  13
LinMacro 6   5           248.7618     0.006540  5.0  3.0 304.421921 354.262724   6  13
LinMacro 6   5           248.6777     0.490000  3.0  5.0 304.405059 354.262724   4  14
LinMacro 6   5           248.7618     0.097800  5.0  5.0 304.421921 354.262724   6  14
LinMacro 6   5           267.4476     0.001693  3.0  5.0 307.904160 354.262724   7  14
LinMacro 6   5           248.7544     0.550000  5.0  7.0 304.421921 354.264212   6  15
LinMacro 6   5            34.9953     1.780000  1.0  5.0   0.000000 354.290497   1  16
LinMacro 6   5           248.5392     0.001057  3.0  5.0 304.405059 354.290497   4  16
LinMacro 6   5           248.6232     0.000272  5.0  5.0 304.421921 354.290497   6  16
LinMacro 6   5           267.2875     0.713333  3.0  5.0 307.904160 354.290497   7  16
LinMacro 6   5            34.9728     0.153000  1.0  3.0   0.000000 354.518505   1  17
LinMacro 6   5           247.3313     0.359000  1.0  3.0 304.389436 354.518505   3  17
LinMacro 6   5           189.2627     0.003567  3.0  3.0 304.405059 369.914450   4  18
LinMacro 6   5           189.2674     0.003560  1.0  3.0 304.406670 369.914450   5  18
LinMacro 6   5           189.3115     0.003560  5.0  3.0 304.421921 369.914450   6  18
LinMacro 6   5           756.7903     0.050000  1.0  3.0 353.531461 369.914450   9  18
LinMacro 6   5           756.7788     0.050000  3.0  3.0 353.531213 369.914450  10  18
LinMacro 6   5            757.008     0.050000  5.0  3.0 353.536173 369.914450  11  18
LinMacro 6   5           173.2904     0.008533  3.0  1.0 298.963858 370.511314   2  19
