   Dtype Element Ion lvl     ion_pot          ex    g rad_rate   config islp ilv
-------- ------- --- --- ----------- ----------- ---- -------- -------- ---- ---
LevMacro       6   6   1 -489.993136  540.112256  2.0    1e+21 1s_2S0.5  200   1
LevMacro       6   6   2 -122.513851  907.591542  2.0    1e-09 2s_2S0.5  200   2
LevMacro       6   6   3 -122.517092  907.588301  2.0    1e-09 2p_2P0.5  211   1
LevMacro       6   6   4 -122.458202  907.647190  4.0    1e-09 2p_2P1.5  211   1
LevMacro       6   6   5  -54.443024  975.662369  2.0    1e-09 3s_2S0.5  200   3
LevMacro       6   6   6  -54.443993  975.661400  2.0    1e-09 3p_2P0.5  211   2
LevMacro       6   6   7  -54.426544  975.678849  4.0    1e-09 3p_2P1.5  211   2
LevMacro       6   6   8  -54.426573  975.678820  4.0    1e-09 3d_2D1.5  220   1
LevMacro       6   6   9  -54.420761  975.684631  6.0    1e-09 3d_2D2.5  220   1
LevMacro       6   6  10  -30.620393  999.485000  2.0    1e-09 4s_2S0.5  200   4
LevMacro       6   6  11  -30.620802  999.484590  2.0    1e-09 4p_2P0.5  211   3
LevMacro       6   6  12  -30.613441  999.491951  4.0    1e-09 4p_2P1.5  211   3
LevMacro       6   6  13  -30.613454  999.491939  4.0    1e-09 4d_2D1.5  220   2
LevMacro       6   6  14  -30.611001  999.494391  6.0    1e-09 4d_2D2.5  220   2
LevMacro       6   6  15  -30.611006  999.494386  6.0    1e-09 4f_2F2.5  231   1
LevMacro       6   6  16  -30.609781  999.495611  8.0    1e-09 4f_2F3.5  231   1
LevMacro       6   6  17  -19.594881 1010.510512  2.0    1e-09 5s_2S0.5  200   5
LevMacro       6   6  18  -19.595090 1010.510302  2.0    1e-09 5p_2P0.5  211   4
LevMacro       6   6  19  -19.591323 1010.514070  4.0    1e-09 5p_2P1.5  211   4
LevMacro       6   6  20  -19.591329 1010.514064  4.0    1e-09 5d_2D1.5  220   3
LevMacro       6   6  21  -19.590073 1010.515320  6.0    1e-09 5d_2D2.5  220   3
LevMacro       6   6  22  -19.590075 1010.515318  6.0    1e-09 5f_2F2.5  231   2
LevMacro       6   6  23  -19.589448 1010.515945  8.0    1e-09 5f_2F3.5  231   2
LevMacro       6   6  24  -19.589449 1010.515944  8.0    1e-09 5g_2G3.5  240   1
LevMacro       6   6  25  -19.589072 1010.516321 10.0    1e-09 5g_2G4.5  240   1
LevMacro       6   7   1    0.000000 1030.105393  1.0    1e+21     Next    0   0
