   Dtype z ion               Wave         f  gl   gu         el         eu ll ul
-------- - --- ------------------ --------- --- ---- ---------- ---------- -- --
LinMacro 6   6            33.7393  0.000001 2.0  2.0   0.000000 367.479286  1  2
LinMacro 6   6 33.733034425120984  0.000001 2.0  2.0   0.000000 367.479286  1  2
LinMacro 6   6            33.7396  0.138500 2.0  2.0   0.000000 367.476045  1  3
LinMacro 6   6            33.7342  0.276950 2.0  4.0   0.000000 367.534934  1  4
LinMacro 6   6            182.132  0.013530 2.0  2.0 367.476045 435.550112  3  5
LinMacro 6   6             182.29  0.013640 4.0  2.0 367.534934 435.550112  4  5
LinMacro 6   6            28.4663  0.026245 2.0  2.0   0.000000 435.549144  1  6
LinMacro 6   6            182.144  0.144750 2.0  2.0 367.479286 435.549144  2  6
LinMacro 6   6            28.4652  0.052550 2.0  4.0   0.000000 435.566592  1  7
LinMacro 6   6            182.097  0.289050 2.0  4.0 367.479286 435.566592  2  7
LinMacro 6   6            28.4652  0.000001 2.0  4.0   0.000000 435.566564  1  8
LinMacro 6   6            182.097  0.000001 2.0  4.0 367.479286 435.566564  2  8
LinMacro 6   6            182.088  0.695000 2.0  4.0 367.476045 435.566564  3  8
LinMacro 6   6            182.246  0.069550 4.0  4.0 367.534934 435.566564  4  8
LinMacro 6   6            28.4648  0.000001 2.0  6.0   0.000000 435.572375  1  9
LinMacro 6   6            182.081  0.000001 2.0  6.0 367.479286 435.572375  2  9
LinMacro 6   6             182.23  0.626000 4.0  6.0 367.534934 435.572375  4  9
LinMacro 6   6            134.918  0.003002 2.0  2.0 367.476045 459.372743  3 10
LinMacro 6   6            135.004  0.003043 4.0  2.0 367.534934 459.372743  4 10
LinMacro 6   6            520.429  0.032135 2.0  2.0 435.549144 459.372743  6 10
LinMacro 6   6             520.81  0.032350 4.0  2.0 435.566592 459.372743  7 10
LinMacro 6   6            26.9901  0.009580 2.0  2.0   0.000000 459.372334  1 11
LinMacro 6   6            134.923  0.034110 2.0  2.0 367.479286 459.372334  2 11
LinMacro 6   6            520.459  0.161350 2.0  2.0 435.550112 459.372334  5 11
LinMacro 6   6            520.819  0.009195 4.0  2.0 435.566564 459.372334  8 11
LinMacro 6   6            26.9896  0.019210 2.0  4.0   0.000000 459.379695  1 12
LinMacro 6   6            134.912  0.068250 2.0  4.0 367.479286 459.379695  2 12
LinMacro 6   6            520.298  0.321950 2.0  4.0 435.550112 459.379695  5 12
LinMacro 6   6            520.658  0.001829 4.0  4.0 435.566564 459.379695  8 12
LinMacro 6   6            520.785  0.011003 6.0  4.0 435.572375 459.379695  9 12
LinMacro 6   6            26.9896  0.000001 2.0  4.0   0.000000 459.379683  1 13
LinMacro 6   6            134.907  0.121600 2.0  4.0 367.476045 459.379683  3 13
LinMacro 6   6            134.994  0.012162 4.0  4.0 367.534934 459.379683  4 13
LinMacro 6   6            520.277  0.617000 2.0  4.0 435.549144 459.379683  6 13
LinMacro 6   6            520.658  0.061800 4.0  4.0 435.566592 459.379683  7 13
LinMacro 6   6            26.9895  0.000001 2.0  6.0   0.000000 459.382135  1 14
LinMacro 6   6             134.99  0.109525 4.0  6.0 367.534934 459.382135  4 14
LinMacro 6   6            520.605  0.556000 4.0  6.0 435.566592 459.382135  7 14
LinMacro 6   6            134.904  0.000001 2.0  6.0 367.476045 459.382130  3 15
LinMacro 6   6             134.99  0.000001 4.0  6.0 367.534934 459.382130  4 15
LinMacro 6   6            520.224  0.000001 2.0  6.0 435.549144 459.382130  6 15
LinMacro 6   6            520.604  1.017000 4.0  6.0 435.566564 459.382130  8 15
LinMacro 6   6            520.731  0.048450 6.0  6.0 435.572375 459.382130  9 15
LinMacro 6   6            134.989  0.000001 4.0  8.0 367.534934 459.383355  4 16
LinMacro 6   6            520.578  0.000001 4.0  8.0 435.566592 459.383355  7 16
LinMacro 6   6            520.705  0.968833 6.0  8.0 435.572375 459.383355  9 16
LinMacro 6   6            120.465  0.001164 2.0  2.0 367.476045 470.398256  3 17
LinMacro 6   6            120.534  0.001200 4.0  2.0 367.534934 470.398256  4 17
LinMacro 6   6            355.776  0.007310 2.0  2.0 435.549144 470.398256  6 17
LinMacro 6   6            355.955  0.007403 4.0  2.0 435.566592 470.398256  7 17
LinMacro 6   6           1124.485  0.052600 2.0  2.0 459.372334 470.398256 11 17
LinMacro 6   6           1125.237  0.053000 4.0  2.0 459.379695 470.398256 12 17
LinMacro 6   6            26.3574  0.004561 2.0  2.0   0.000000 470.398046  1 18
