   Dtype Element Ion lvl    ion_pot        ex    g rad_rate   config islp ilv
-------- ------- --- --- ---------- --------- ---- -------- -------- ---- ---
LevMacro       1   1   1 -13.598434  0.000000  2.0    1e+21 1s_2S0.5  200   1
LevMacro       1   1   2  -3.399567 10.198866  2.0    1e-09 2s_2S0.5  200   2
LevMacro       1   1   3  -3.399572 10.198862  2.0    1e-09 2p_2P0.5  211   1
LevMacro       1   1   4  -3.399526 10.198907  4.0    1e-09 2p_2P1.5  211   1
LevMacro       1   1   5  -1.510873 12.087561  2.0    1e-09 3s_2S0.5  200   3
LevMacro       1   1   6  -1.510874 12.087560  2.0    1e-09 3p_2P0.5  211   2
LevMacro       1   1   7  -1.510861 12.087573  4.0    1e-09 3p_2P1.5  211   2
LevMacro       1   1   8  -1.510861 12.087573  4.0    1e-09 3d_2D1.5  220   1
LevMacro       1   1   9  -1.510856 12.087578  6.0    1e-09 3d_2D2.5  220   1
LevMacro       1   1  10  -0.849831 12.748603  2.0    1e-09 4s_2S0.5  200   4
LevMacro       1   1  11  -0.849831 12.748602  2.0    1e-09 4p_2P0.5  211   3
LevMacro       1   1  12  -0.849826 12.748608  4.0    1e-09 4p_2P1.5  211   3
LevMacro       1   1  13  -0.849826 12.748608  4.0    1e-09 4d_2D1.5  220   2
LevMacro       1   1  14  -0.849824 12.748610  6.0    1e-09 4d_2D2.5  220   2
LevMacro       1   1  15  -0.849824 12.748610  6.0    1e-09 4f_2F2.5  231   1
LevMacro       1   1  16  -0.849823 12.748611  8.0    1e-09 4f_2F3.5  231   1
LevMacro       1   1  17  -0.543864 13.054570  2.0    1e-09 5s_2S0.5  200   5
LevMacro       1   1  18  -0.543864 13.054570  2.0    1e-09 5p_2P0.5  211   4
LevMacro       1   1  19  -0.543861 13.054572  4.0    1e-09 5p_2P1.5  211   4
LevMacro       1   1  20  -0.543861 13.054572  4.0    1e-09 5d_2D1.5  220   3
LevMacro       1   1  21  -0.543860 13.054573  6.0    1e-09 5d_2D2.5  220   3
LevMacro       1   1  22  -0.543860 13.054573  6.0    1e-09 5f_2F2.5  231   2
LevMacro       1   1  23  -0.543860 13.054574  8.0    1e-09 5f_2F3.5  231   2
LevMacro       1   1  24  -0.543860 13.054574  8.0    1e-09 5g_2G3.5  240   1
LevMacro       1   1  25  -0.543859 13.054574 10.0    1e-09 5g_2G4.5  240   1
LevMacro       1   2   1   0.000000 13.598434  1.0    1e+21     Next    0   0
