   Dtype z ion              Wave         f  gl   gu         el         eu ll ul
-------- - --- ----------------- --------- --- ---- ---------- ---------- -- --
LinMacro 1   1          1215.673  0.000001 2.0  2.0   0.000000  10.198866  1  2
LinMacro 1   1 1215.447977928385  0.000001 2.0  2.0   0.000000  10.198866  1  2
LinMacro 1   1          1215.674  0.139000 2.0  2.0   0.000000  10.198862  1  3
LinMacro 1   1          1215.668  0.277500 2.0  4.0   0.000000  10.198907  1  4
LinMacro 1   1          6564.564  0.013600 2.0  2.0  10.198862  12.087561  3  5
LinMacro 1   1          6564.722  0.013600 4.0  2.0  10.198907  12.087561  4  5
LinMacro 1   1          1025.723  0.026350 2.0  2.0   0.000000  12.087560  1  6
LinMacro 1   1          6564.584  0.145000 2.0  2.0  10.198866  12.087560  2  6
LinMacro 1   1          1025.722  0.052500 2.0  4.0   0.000000  12.087573  1  7
LinMacro 1   1          6564.538  0.290000 2.0  4.0  10.198866  12.087573  2  7
LinMacro 1   1          6564.523  0.695000 2.0  4.0  10.198862  12.087573  3  8
LinMacro 1   1           6564.68  0.069750 4.0  4.0  10.198907  12.087573  4  8
LinMacro 1   1          6564.665  0.627500 4.0  6.0  10.198907  12.087578  4  9
LinMacro 1   1          4862.646  0.003045 2.0  2.0  10.198862  12.748603  3 10
LinMacro 1   1          4862.733  0.003050 4.0  2.0  10.198907  12.748603  4 10
LinMacro 1   1         18755.948  0.032250 2.0  2.0  12.087560  12.748603  6 10
LinMacro 1   1         18756.328  0.032250 4.0  2.0  12.087573  12.748603  7 10
LinMacro 1   1           972.537  0.009650 2.0  2.0   0.000000  12.748602  1 11
LinMacro 1   1          4862.656  0.034250 2.0  2.0  10.198866  12.748602  2 11
LinMacro 1   1         18756.001  0.161500 2.0  2.0  12.087561  12.748602  5 11
LinMacro 1   1         18756.342  0.009175 4.0  2.0  12.087573  12.748602  8 11
LinMacro 1   1           972.537  0.019350 2.0  4.0   0.000000  12.748608  1 12
LinMacro 1   1          4862.645  0.068500 2.0  4.0  10.198866  12.748608  2 12
LinMacro 1   1         18755.842  0.323500 2.0  4.0  12.087561  12.748608  5 12
LinMacro 1   1         18756.184  0.001832 4.0  4.0  12.087573  12.748608  8 12
LinMacro 1   1          18756.31  0.011000 6.0  4.0  12.087578  12.748608  9 12
LinMacro 1   1          4862.637  0.122000 2.0  4.0  10.198862  12.748608  3 13
LinMacro 1   1          4862.723  0.012175 4.0  4.0  10.198907  12.748608  4 13
LinMacro 1   1         18755.804  0.620000 2.0  4.0  12.087560  12.748608  6 13
LinMacro 1   1         18756.184  0.061750 4.0  4.0  12.087573  12.748608  7 13
LinMacro 1   1           4862.72  0.109500 4.0  6.0  10.198907  12.748610  4 14
LinMacro 1   1         18756.131  0.557500 4.0  6.0  12.087573  12.748610  7 14
LinMacro 1   1         18756.131  1.017500 4.0  6.0  12.087573  12.748610  8 15
LinMacro 1   1         18756.258  0.048500 6.0  6.0  12.087578  12.748610  9 15
LinMacro 1   1         18756.229  0.970000 6.0  8.0  12.087578  12.748611  9 16
LinMacro 1   1          4341.651  0.001215 2.0  2.0  10.198862  13.054570  3 17
LinMacro 1   1           4341.72  0.001215 4.0  2.0  10.198907  13.054570  4 17
LinMacro 1   1         12821.466  0.007450 2.0  2.0  12.087560  13.054570  6 17
LinMacro 1   1         12821.644  0.007425 4.0  2.0  12.087573  13.054570  7 17
LinMacro 1   1         40522.218  0.053000 2.0  2.0  12.748602  13.054570 11 17
LinMacro 1   1         40522.957  0.053000 4.0  2.0  12.748608  13.054570 12 17
LinMacro 1   1           949.743  0.004650 2.0  2.0   0.000000  13.054570  1 18
LinMacro 1   1          4341.658  0.014000 2.0  2.0  10.198866  13.054570  2 18
LinMacro 1   1         12821.488  0.040350 2.0  2.0  12.087561  13.054570  5 18
LinMacro 1   1         12821.647  0.001842 4.0  2.0  12.087573  13.054570  8 18
LinMacro 1   1         40522.316  0.181500 2.0  2.0  12.748603  13.054570 10 18
LinMacro 1   1          40522.99  0.023200 4.0  2.0  12.748608  13.054570 13 18
LinMacro 1   1           949.743  0.009300 2.0  4.0   0.000000  13.054572  1 19
LinMacro 1   1          4341.654  0.027950 2.0  4.0  10.198866  13.054572  2 19
LinMacro 1   1          12821.45  0.080500 2.0  4.0  12.087561  13.054572  5 19
