   Dtype Element Ion lvl    ion_pot        ex    g rad_rate      config islp ilv
-------- ------- --- --- ---------- --------- ---- -------- ----------- ---- ---
LevMacro       2   1   1 -24.587400  0.000000  1.0    1e+21   1s2_1S0.0  100   1
LevMacro       2   1   2  -4.767664 19.819736  3.0    1e-09 1s.2s_3S1.0  300   1
LevMacro       2   1   3  -3.971500 20.615900  1.0    1e-09 1s.2s_1S0.0  100   2
LevMacro       2   1   4  -3.623186 20.964214  5.0    1e-09 1s.2p_3P2.0  311   1
LevMacro       2   1   5  -3.623176 20.964224  3.0    1e-09 1s.2p_3P1.0  311   1
LevMacro       2   1   6  -3.623054 20.964346  1.0    1e-09 1s.2p_3P0.0  311   1
LevMacro       2   1   7  -3.369249 21.218151  3.0    1e-09 1s.2p_1P1.0  111   1
LevMacro       2   1   8  -1.868797 22.718603  3.0    1e-09 1s.3s_3S1.0  300   2
LevMacro       2   1   9  -1.666945 22.920455  1.0    1e-09 1s.3s_1S0.0  100   3
LevMacro       2   1  10  -1.580188 23.007212  5.0    1e-09 1s.3p_3P2.0  311   2
LevMacro       2   1  11  -1.580186 23.007214  3.0    1e-09 1s.3p_3P1.0  311   2
LevMacro       2   1  12  -1.580152 23.007248  1.0    1e-09 1s.3p_3P0.0  311   2
LevMacro       2   1  13  -1.513610 23.073790  7.0    1e-09 1s.3d_3D3.0  320   1
LevMacro       2   1  14  -1.513610 23.073790  5.0    1e-09 1s.3d_3D2.0  320   1
LevMacro       2   1  15  -1.513605 23.073795  3.0    1e-09 1s.3d_3D1.0  320   1
LevMacro       2   1  16  -1.513186 23.074214  5.0    1e-09 1s.3d_1D2.0  120   1
LevMacro       2   1  17  -1.500243 23.087157  3.0    1e-09 1s.3p_1P1.0  111   2
LevMacro       2   1  18  -0.993300 23.594100  3.0    1e-09 1s.4s_3S1.0  300   3
LevMacro       2   1  19  -0.913687 23.673713  1.0    1e-09 1s.4s_1S0.0  100   4
LevMacro       2   1  20  -0.879366 23.708033  5.0    1e-09 1s.4p_3P2.0  311   3
LevMacro       2   1  21  -0.879365 23.708035  3.0    1e-09 1s.4p_3P1.0  311   3
LevMacro       2   1  22  -0.879352 23.708048  1.0    1e-09 1s.4p_3P0.0  311   3
LevMacro       2   1  23  -0.851167 23.736233  7.0    1e-09 1s.4d_3D3.0  320   2
LevMacro       2   1  24  -0.851167 23.736233  5.0    1e-09 1s.4d_3D2.0  320   2
LevMacro       2   1  25  -0.851165 23.736235  3.0    1e-09 1s.4d_3D1.0  320   2
LevMacro       2   1  26  -0.850923 23.736477  5.0    1e-09 1s.4d_1D2.0  120   2
LevMacro       2   1  27  -0.850251 23.737149  7.0    1e-09 1s.4f_3F3.0  331   1
LevMacro       2   1  28  -0.850250 23.737150  9.0    1e-09 1s.4f_3F4.0  331   1
LevMacro       2   1  29  -0.850249 23.737151  5.0    1e-09 1s.4f_3F2.0  331   1
LevMacro       2   1  30  -0.850248 23.737152  7.0    1e-09 1s.4f_1F3.0  131   1
LevMacro       2   1  31  -0.845187 23.742213  3.0    1e-09 1s.4p_1P1.0  111   3
LevMacro       2   1  32  -0.615285 23.972115  3.0    1e-09 1s.5s_3S1.0  300   4
LevMacro       2   1  33  -0.576041 24.011359  1.0    1e-09 1s.5s_1S0.0  100   5
LevMacro       2   1  34  -0.559031 24.028369  5.0    1e-09 1s.5p_3P2.0  311   4
LevMacro       2   1  35  -0.559030 24.028370  3.0    1e-09 1s.5p_3P1.0  311   4
LevMacro       2   1  36  -0.559023 24.028377  1.0    1e-09 1s.5p_3P0.0  311   4
LevMacro       2   1  37  -0.544594 24.042806  7.0    1e-09 1s.5d_3D3.0  320   3
LevMacro       2   1  38  -0.544594 24.042806  5.0    1e-09 1s.5d_3D2.0  320   3
LevMacro       2   1  39  -0.544592 24.042808  3.0    1e-09 1s.5d_3D1.0  320   3
LevMacro       2   1  40  -0.544452 24.042947  5.0    1e-09 1s.5d_1D2.0  120   3
LevMacro       2   1  41  -0.544102 24.043298  7.0    1e-09 1s.5f_3F3.0  331   2
LevMacro       2   1  42  -0.544101 24.043299  9.0    1e-09 1s.5f_3F4.0  331   2
LevMacro       2   1  43  -0.544101 24.043299  5.0    1e-09 1s.5f_3F2.0  331   2
LevMacro       2   1  44  -0.544100 24.043300  7.0    1e-09 1s.5f_1F3.0  131   2
LevMacro       2   1  45  -0.544040 24.043360  9.0    1e-09 1s.5g_3G4.0  340   1
LevMacro       2   1  46  -0.544040 24.043360 11.0    1e-09 1s.5g_3G5.0  340   1
LevMacro       2   1  47  -0.544039 24.043360  7.0    1e-09 1s.5g_3G3.0  340   1
LevMacro       2   1  48  -0.544039 24.043361  9.0    1e-09 1s.5g_1G4.0  140   1
LevMacro       2   1  49  -0.541455 24.045945  3.0    1e-09 1s.5p_1P1.0  111   4
