   Dtype z ion              Wave         f  gl   gu         el         eu ll ul
-------- - --- ----------------- --------- --- ---- ---------- ---------- -- --
LinMacro 2   1           625.563  0.000001 1.0  3.0   0.000000  19.819736  1  2
LinMacro 2   1 601.2927574831483  0.000001 1.0  1.0   0.000000  20.615900  1  3
LinMacro 2   1         10833.307  0.609000 3.0  5.0  19.819736  20.964214  2  4
LinMacro 2   1           591.412  0.000001 1.0  3.0   0.000000  20.964224  1  5
LinMacro 2   1         10833.217  0.608000 3.0  3.0  19.819736  20.964224  2  5
LinMacro 2   1         10832.058  0.609000 3.0  1.0  19.819736  20.964346  2  6
LinMacro 2   1           584.334  0.276000 1.0  3.0   0.000000  21.218151  1  7
LinMacro 2   1           20586.9  0.377000 1.0  3.0  20.615900  21.218151  3  7
LinMacro 2   1          7067.127  0.069200 5.0  3.0  20.964214  22.718603  4  8
LinMacro 2   1          7067.165  0.069333 3.0  3.0  20.964224  22.718603  5  8
LinMacro 2   1          7067.658  0.069200 1.0  3.0  20.964346  22.718603  6  8
LinMacro 2   1          7283.357  0.048000 3.0  1.0  21.218151  22.920455  7  9
LinMacro 2   1          3889.751  0.035667 3.0  5.0  19.819736  23.007212  2 10
LinMacro 2   1         42959.515  0.496667 3.0  5.0  22.718603  23.007212  8 10
LinMacro 2   1          3889.748  0.021500 3.0  3.0  19.819736  23.007214  2 11
LinMacro 2   1         42959.109  0.299000 3.0  3.0  22.718603  23.007214  8 11
LinMacro 2   1          3889.707  0.007167 3.0  1.0  19.819736  23.007248  2 12
LinMacro 2   1         42954.109  0.099667 3.0  1.0  22.718603  23.007248  8 12
LinMacro 2   1          5877.243  0.512000 5.0  7.0  20.964214  23.073790  4 13
LinMacro 2   1         186224.59  0.093200 5.0  7.0  23.007212  23.073790 10 13
LinMacro 2   1          5877.243  0.091200 5.0  5.0  20.964214  23.073790  4 14
LinMacro 2   1          5877.269  0.456667 3.0  5.0  20.964224  23.073790  5 14
LinMacro 2   1         186224.25  0.016600 5.0  5.0  23.007212  23.073790 10 14
LinMacro 2   1         186231.88  0.083333 3.0  5.0  23.007214  23.073790 11 14
LinMacro 2   1          5877.227  0.006080 5.0  3.0  20.964214  23.073795  4 15
LinMacro 2   1          5877.254  0.152000 3.0  3.0  20.964224  23.073795  5 15
LinMacro 2   1          5877.595  0.609000 1.0  3.0  20.964346  23.073795  6 15
LinMacro 2   1         186208.99  0.001110 5.0  3.0  23.007212  23.073795 10 15
LinMacro 2   1         186216.62  0.027700 3.0  3.0  23.007214  23.073795 11 15
LinMacro 2   1         186310.64  0.111000 1.0  3.0  23.007248  23.073795 12 15
