   Dtype Element Ion lvl    ion_pot        ex    g rad_rate   config islp ilv
-------- ------- --- --- ---------- --------- ---- -------- -------- ---- ---
LevMacro       2   2   1 -54.417762 24.587400  2.0    1e+21 1s_2S0.5  200   1
LevMacro       2   2   2 -13.604450 65.400712  2.0    1e-09 2s_2S0.5  200   2
LevMacro       2   2   3 -13.604508 65.400654  2.0    1e-09 2p_2P0.5  211   1
LevMacro       2   2   4 -13.603782 65.401380  4.0    1e-09 2p_2P1.5  211   1
LevMacro       2   2   5  -6.046183 72.958979  2.0    1e-09 3s_2S0.5  200   3
LevMacro       2   2   6  -6.046200 72.958962  2.0    1e-09 3p_2P0.5  211   2
LevMacro       2   2   7  -6.045985 72.959177  4.0    1e-09 3p_2P1.5  211   2
LevMacro       2   2   8  -6.045985 72.959177  4.0    1e-09 3d_2D1.5  220   1
LevMacro       2   2   9  -6.045913 72.959248  6.0    1e-09 3d_2D2.5  220   1
LevMacro       2   2  10  -3.400814 75.604347  2.0    1e-09 4s_2S0.5  200   4
LevMacro       2   2  11  -3.400822 75.604340  2.0    1e-09 4p_2P0.5  211   3
LevMacro       2   2  12  -3.400731 75.604431  4.0    1e-09 4p_2P1.5  211   3
LevMacro       2   2  13  -3.400731 75.604431  4.0    1e-09 4d_2D1.5  220   2
LevMacro       2   2  14  -3.400701 75.604461  6.0    1e-09 4d_2D2.5  220   2
LevMacro       2   2  15  -3.400701 75.604461  6.0    1e-09 4f_2F2.5  231   1
LevMacro       2   2  16  -3.400686 75.604476  8.0    1e-09 4f_2F3.5  231   1
LevMacro       2   2  17  -2.176398 76.828763  2.0    1e-09 5s_2S0.5  200   5
LevMacro       2   2  18  -2.176402 76.828760  2.0    1e-09 5p_2P0.5  211   4
LevMacro       2   2  19  -2.176356 76.828806  4.0    1e-09 5p_2P1.5  211   4
LevMacro       2   2  20  -2.176356 76.828806  4.0    1e-09 5d_2D1.5  220   3
LevMacro       2   2  21  -2.176340 76.828821  6.0    1e-09 5d_2D2.5  220   3
LevMacro       2   2  22  -2.176340 76.828821  6.0    1e-09 5f_2F2.5  231   2
LevMacro       2   2  23  -2.176332 76.828829  8.0    1e-09 5f_2F3.5  231   2
LevMacro       2   2  24  -2.176332 76.828829  8.0    1e-09 5g_2G3.5  240   1
LevMacro       2   2  25  -2.176328 76.828834 10.0    1e-09 5g_2G4.5  240   1
LevMacro       2   3   1   0.000000 79.005162  1.0    1e+21     Next    0   0
