   Dtype z ion               Wave         f  gl   gu         el         eu ll ul
-------- - --- ------------------ --------- --- ---- ---------- ---------- -- --
LinMacro 2   2 303.72912238163167  0.000001 2.0  2.0   0.000000  40.813312  1  2
LinMacro 2   2            303.786  0.138600 2.0  2.0   0.000000  40.813254  1  3
LinMacro 2   2             303.78  0.277600 2.0  4.0   0.000000  40.813980  1  4
LinMacro 2   2           1640.375  0.013590 2.0  2.0  40.813254  48.371579  3  5
LinMacro 2   2           1640.533  0.013590 4.0  2.0  40.813980  48.371579  4  5
LinMacro 2   2            256.318  0.026340 2.0  2.0   0.000000  48.371562  1  6
LinMacro 2   2           1640.391  0.144800 2.0  2.0  40.813312  48.371562  2  6
LinMacro 2   2            256.317  0.052750 2.0  4.0   0.000000  48.371777  1  7
LinMacro 2   2           1640.345  0.290100 2.0  4.0  40.813312  48.371777  2  7
LinMacro 2   2           1640.332  0.696000 2.0  4.0  40.813254  48.371777  3  8
LinMacro 2   2            1640.49  0.069575 4.0  4.0  40.813980  48.371777  4  8
LinMacro 2   2           1640.474  0.626250 4.0  6.0  40.813980  48.371848  4  9
LinMacro 2   2           1215.098  0.003045 2.0  2.0  40.813254  51.016947  3 10
LinMacro 2   2           1215.184  0.003045 4.0  2.0  40.813980  51.016947  4 10
LinMacro 2   2           4686.836  0.032250 2.0  2.0  48.371562  51.016947  6 10
LinMacro 2   2           4687.217  0.032250 4.0  2.0  48.371777  51.016947  7 10
LinMacro 2   2            243.027  0.009655 2.0  2.0   0.000000  51.016940  1 11
LinMacro 2   2           1215.106  0.034230 2.0  2.0  40.813312  51.016940  2 11
LinMacro 2   2           4686.879  0.161400 2.0  2.0  48.371579  51.016940  5 11
LinMacro 2   2           4687.229  0.009158 4.0  2.0  48.371777  51.016940  8 11
LinMacro 2   2            243.026  0.019335 2.0  4.0   0.000000  51.017031  1 12
LinMacro 2   2           1215.095  0.068550 2.0  4.0  40.813312  51.017031  2 12
LinMacro 2   2           4686.719  0.323300 2.0  4.0  48.371579  51.017031  5 12
LinMacro 2   2           4687.069  0.001832 4.0  4.0  48.371777  51.017031  8 12
LinMacro 2   2           4687.196  0.010990 6.0  4.0  48.371848  51.017031  9 12
LinMacro 2   2           1215.088  0.121800 2.0  4.0  40.813254  51.017031  3 13
LinMacro 2   2           1215.175  0.012180 4.0  4.0  40.813980  51.017031  4 13
LinMacro 2   2           4686.688  0.618500 2.0  4.0  48.371562  51.017031  6 13
LinMacro 2   2           4687.069  0.061825 4.0  4.0  48.371777  51.017031  7 13
LinMacro 2   2           1215.171  0.109625 4.0  6.0  40.813980  51.017061  4 14
LinMacro 2   2           4687.016  0.556500 4.0  6.0  48.371777  51.017061  7 14
LinMacro 2   2           4687.015  1.018000 4.0  6.0  48.371777  51.017061  8 15
LinMacro 2   2           4687.142  0.048483 6.0  6.0  48.371848  51.017061  9 15
LinMacro 2   2           4687.115  0.969500 6.0  8.0  48.371848  51.017076  9 16
LinMacro 2   2           1084.911  0.001213 2.0  2.0  40.813254  52.241363  3 17
LinMacro 2   2            1084.98  0.001213 4.0  2.0  40.813980  52.241363  4 17
LinMacro 2   2           3203.908  0.007430 2.0  2.0  48.371562  52.241363  6 17
LinMacro 2   2           3204.086  0.007428 4.0  2.0  48.371777  52.241363  7 17
LinMacro 2   2           10125.98  0.052900 2.0  2.0  51.016940  52.241363 11 17
LinMacro 2   2          10126.731  0.052900 4.0  2.0  51.017031  52.241363 12 17
LinMacro 2   2            237.331  0.004642 2.0  2.0   0.000000  52.241360  1 18
LinMacro 2   2           1084.917  0.013965 2.0  2.0  40.813312  52.241360  2 18
