   Dtype Element Ion lvl    ion_pot        ex    g rad_rate              config islp ilv
-------- ------- --- --- ---------- --------- ---- -------- ------------------- ---- ---
LevMacro       7   1   1 -14.534096  0.000000  4.0    1e+21       2s2.2p3_4S1.5  401   1
LevMacro       7   1   2 -12.149473  2.384623  4.0    1e-09       2s2.2p3_2D1.5  221   1
LevMacro       7   1   3 -12.150553  2.383543  6.0    1e-09       2s2.2p3_2D2.5  221   1
LevMacro       7   1   4 -10.958506  3.575590  2.0    1e-09       2s2.2p3_2P0.5  211   1
LevMacro       7   1   5 -10.958582  3.575514  4.0    1e-09       2s2.2p3_2P1.5  211   1
LevMacro       7   1   6  -4.208131 10.325965  2.0    1e-09 2s2.2p2(3P)3s_4P0.5  410   1
LevMacro       7   1   7  -4.203946 10.330150  4.0    1e-09 2s2.2p2(3P)3s_4P1.5  410   1
LevMacro       7   1   8  -4.198144 10.335952  6.0    1e-09 2s2.2p2(3P)3s_4P2.5  410   1
LevMacro       7   1   9  -3.854367 10.679729  2.0    1e-09 2s2.2p2(3P)3s_2P0.5  210   1
LevMacro       7   1  10  -3.844057 10.690039  4.0    1e-09 2s2.2p2(3P)3s_2P1.5  210   1
LevMacro       7   1  11  -3.602279 10.931817  2.0    1e-09        2s.2p4_4P0.5  410   2
LevMacro       7   1  12  -3.604684 10.929412  4.0    1e-09        2s.2p4_4P1.5  410   2
LevMacro       7   1  13  -3.610129 10.923967  6.0    1e-09        2s.2p4_4P2.5  410   2
LevMacro       7   1  14  -2.931400 11.602696  2.0    1e-09 2s2.2p2(3P)3p_2S0.5  201   1
LevMacro       7   1  15  -2.783940 11.750156  2.0    1e-09 2s2.2p2(3P)3p_4D0.5  421   1
LevMacro       7   1  16  -2.781137 11.752959  4.0    1e-09 2s2.2p2(3P)3p_4D1.5  421   1
LevMacro       7   1  17  -2.776500 11.757596  6.0    1e-09 2s2.2p2(3P)3p_4D2.5  421   1
LevMacro       7   1  18  -2.770185 11.763910  8.0    1e-09 2s2.2p2(3P)3p_4D3.5  421   1
LevMacro       7   1  19  -2.696601 11.837495  2.0    1e-09 2s2.2p2(3P)3p_4P0.5  411   1
LevMacro       7   1  20  -2.694347 11.839749  4.0    1e-09 2s2.2p2(3P)3p_4P1.5  411   1
LevMacro       7   1  21  -2.689555 11.844541  6.0    1e-09 2s2.2p2(3P)3p_4P2.5  411   1
LevMacro       7   1  22  -2.538455 11.995641  4.0    1e-09 2s2.2p2(3P)3p_4S1.5  401   2
LevMacro       7   1  23  -2.533888 12.000208  4.0    1e-09 2s2.2p2(3P)3p_2D1.5  221   2
LevMacro       7   1  24  -2.524419 12.009677  6.0    1e-09 2s2.2p2(3P)3p_2D2.5  221   2
LevMacro       7   1  25  -2.412073 12.122023  2.0    1e-09 2s2.2p2(3P)3p_2P0.5  211   2
