   Dtype Element Ion lvl    ion_pot        ex   g rad_rate          config islp ilv
-------- ------- --- --- ---------- --------- --- -------- --------------- ---- ---
LevMacro       7   2   1 -29.601287 14.534096 1.0    1e+21   2s2.2p2_3P0.0  310   1
LevMacro       7   2   2 -29.595249 14.540134 3.0    1e-09   2s2.2p2_3P1.0  310   1
LevMacro       7   2   3 -29.585070 14.550313 5.0    1e-09   2s2.2p2_3P2.0  310   1
LevMacro       7   2   4 -27.702310 16.433073 5.0    1e-09   2s2.2p2_1D2.0  120   1
LevMacro       7   2   5 -25.548370 18.587013 1.0    1e-09   2s2.2p2_1S0.0  100   1
LevMacro       7   2   6 -23.800704 20.334679 5.0    1e-09    2s.2p3_5S2.0  501   1
LevMacro       7   2   7 -18.165269 25.970114 7.0    1e-09    2s.2p3_3D3.0  321   1
LevMacro       7   2   8 -18.163645 25.971738 5.0    1e-09    2s.2p3_3D2.0  321   1
LevMacro       7   2   9 -18.163459 25.971924 3.0    1e-09    2s.2p3_3D1.0  321   1
LevMacro       7   2  10 -16.060080 28.075302 3.0    1e-09    2s.2p3_3P1.0  311   1
LevMacro       7   2  11 -16.059956 28.075426 5.0    1e-09    2s.2p3_3P2.0  311   1
LevMacro       7   2  12 -16.059225 28.076158 1.0    1e-09    2s.2p3_3P0.0  311   1
LevMacro       7   2  13 -11.724163 32.411220 5.0    1e-09    2s.2p3_1D2.0  121   1
LevMacro       7   2  14 -11.138874 32.996509 1.0    1e-09 2s2.2p.3s_3P0.0  311   2
LevMacro       7   2  15 -11.134959 33.000424 3.0    1e-09 2s2.2p.3s_3P1.0  311   2
LevMacro       7   2  16 -11.118053 33.017329 5.0    1e-09 2s2.2p.3s_3P2.0  311   2
LevMacro       7   2  17 -11.104256 33.031127 3.0    1e-09 2s2.2p.3s_1P1.0  111   1
LevMacro       7   2  18 -10.367919 33.767464 3.0    1e-09    2s.2p3_3S1.0  301   1
LevMacro       7   2  19  -9.192042 34.943340 3.0    1e-09 2s2.2p.3p_1P1.0  110   1
LevMacro       7   2  20  -8.955116 35.180267 3.0    1e-09 2s2.2p.3p_3D1.0  320   1
LevMacro       7   2  21  -8.947583 35.187800 5.0    1e-09 2s2.2p.3p_3D2.0  320   1
LevMacro       7   2  22  -8.935657 35.199726 7.0    1e-09 2s2.2p.3p_3D3.0  320   1
LevMacro       7   2  23  -8.924867 35.210515 3.0    1e-09    2s.2p3_1P1.0  111   2
LevMacro       7   2  24  -8.661207 35.474175 3.0    1e-09 2s2.2p.3p_3S1.0  300   1
