   Dtype z ion           Wave         f  gl  gu         el         eu ll ul
-------- - --- -------------- --------- --- --- ---------- ---------- -- --
LinMacro 7   2 2053388.090000  0.000001 1.0 3.0   0.000000   0.006038  1  2
LinMacro 7   2 1218026.800000  0.000001 3.0 5.0   0.006038   0.016217  2  3
LinMacro 7   2    6529.035000  0.000001 1.0 5.0   0.000000   1.898977  1  4
LinMacro 7   2    6549.861000  0.000001 3.0 5.0   0.006038   1.898977  2  4
LinMacro 7   2    6585.273000  0.000001 5.0 5.0   0.016217   1.898977  3  4
LinMacro 7   2    3063.716000  0.000001 3.0 1.0   0.006038   4.052917  2  5
LinMacro 7   2    3071.442000  0.000001 5.0 1.0   0.016217   4.052917  3  5
LinMacro 7   2    5756.191000  0.000001 5.0 1.0   1.898977   4.052917  4  5
LinMacro 7   2    2139.683000  0.000001 3.0 5.0   0.006038   5.800583  2  6
LinMacro 7   2    2143.448000  0.000001 5.0 5.0   0.016217   5.800583  3  6
LinMacro 7   2    1085.701000  0.093160 5.0 7.0   0.016217  11.436018  3  7
LinMacro 7   2    1084.580000  0.083933 3.0 5.0   0.006038  11.437642  2  8
LinMacro 7   2    1085.546000  0.016280 5.0 5.0   0.016217  11.437642  3  8
LinMacro 7   2    1083.990000  0.112000 1.0 3.0   0.000000  11.437828  1  9
LinMacro 7   2    1084.562000  0.027580 3.0 3.0   0.006038  11.437828  2  9
LinMacro 7   2    1085.529000  0.001070 5.0 3.0   0.016217  11.437828  3  9
LinMacro 7   2     915.612000  0.163300 1.0 3.0   0.000000  13.541206  1 10
LinMacro 7   2     916.020000  0.041400 3.0 3.0   0.006038  13.541206  2 10
LinMacro 7   2     916.710000  0.040840 5.0 3.0   0.016217  13.541206  3 10
LinMacro 7   2     916.012000  0.067467 3.0 5.0   0.006038  13.541330  2 11
LinMacro 7   2     916.701000  0.123200 5.0 5.0   0.016217  13.541330  3 11
LinMacro 7   2     915.962000  0.054667 3.0 1.0   0.006038  13.542062  2 12
LinMacro 7   2     775.965000  0.283200 5.0 5.0   1.898977  17.877124  4 13
LinMacro 7   2     671.773000  0.024480 3.0 1.0   0.006038  18.462413  2 14
LinMacro 7   2     671.411000  0.071560 1.0 3.0   0.000000  18.466328  1 15
LinMacro 7   2     671.630000  0.017830 3.0 3.0   0.006038  18.466328  2 15
LinMacro 7   2     672.001000  0.018140 5.0 3.0   0.016217  18.466328  3 15
LinMacro 7   2     748.369000  0.004390 5.0 3.0   1.898977  18.466328  4 15
LinMacro 7   2     860.205000  0.000299 1.0 3.0   4.052917  18.466328  5 15
LinMacro 7   2     671.016000  0.030620 3.0 5.0   0.006038  18.483234  2 16
LinMacro 7   2     671.386000  0.055140 5.0 5.0   0.016217  18.483234  3 16
LinMacro 7   2     670.296000  0.001803 1.0 3.0   0.000000  18.497031  1 17
LinMacro 7   2     670.515000  0.000498 3.0 3.0   0.006038  18.497031  2 17
LinMacro 7   2     670.884000  0.000287 5.0 3.0   0.016217  18.497031  3 17
LinMacro 7   2     746.984000  0.193000 5.0 3.0   1.898977  18.497031  4 17
LinMacro 7   2     858.376000  0.013160 1.0 3.0   4.052917  18.497031  5 17
LinMacro 7   2     644.634000  0.224600 1.0 3.0   0.000000  19.233368  1 18
LinMacro 7   2     644.837000  0.224700 3.0 3.0   0.006038  19.233368  2 18
LinMacro 7   2     645.178000  0.224800 5.0 3.0   0.016217  19.233368  3 18
LinMacro 7   2    1381.999000  0.000003 3.0 3.0  11.437828  20.409244  9 19
LinMacro 7   2    1805.244000  0.000020 3.0 3.0  13.541206  20.409244 10 19
LinMacro 7   2    1805.469000  0.000014 1.0 3.0  13.542062  20.409244 12 19
LinMacro 7   2    4896.483000  0.009580 5.0 3.0  17.877124  20.409244 13 19
LinMacro 7   2    6368.547000  0.000306 1.0 3.0  18.462413  20.409244 14 19
LinMacro 7   2    6381.381000  0.027190 3.0 3.0  18.466328  20.409244 15 19
LinMacro 7   2    6483.840000  0.171800 3.0 3.0  18.497031  20.409244 17 19
LinMacro 7   2    1346.413000  0.000329 5.0 3.0  11.437642  20.646171  8 20
LinMacro 7   2    1346.441000  0.001490 3.0 3.0  11.437828  20.646171  9 20
LinMacro 7   2    1745.076000  0.000180 5.0 3.0  13.541330  20.646171 11 20
LinMacro 7   2    1745.046000  0.004533 3.0 3.0  13.541206  20.646171 10 20
LinMacro 7   2    1745.256000  0.018480 1.0 3.0  13.542062  20.646171 12 20
LinMacro 7   2    5677.592000  0.419800 1.0 3.0  18.462413  20.646171 14 20
LinMacro 7   2    5687.790000  0.088033 3.0 3.0  18.466328  20.646171 15 20
LinMacro 7   2    5732.246000  0.003870 5.0 3.0  18.483234  20.646171 16 20
LinMacro 7   2    5769.045000  0.013200 3.0 3.0  18.497031  20.646171 17 20
LinMacro 7   2    1345.076000  0.000257 7.0 5.0  11.436018  20.653704  7 21
