   Dtype Element Ion lvl    ion_pot         ex    g rad_rate         config islp ilv
-------- ------- --- --- ---------- ---------- ---- -------- -------------- ---- ---
LevMacro       7   3   1 -47.449220  44.135383  2.0    1e+21   2s2_2p_2P0.5  211   1
LevMacro       7   3   2 -47.427597  44.157006  4.0    1e-09   2s2_2p_2P1.5  211   1
LevMacro       7   3   3 -40.358884  51.225718  2.0    1e-09   2s_2p2_4P0.5  410   1
LevMacro       7   3   4 -40.351482  51.233120  4.0    1e-09   2s_2p2_4P1.5  410   1
LevMacro       7   3   5 -40.341427  51.243175  6.0    1e-09   2s_2p2_4P2.5  410   1
LevMacro       7   3   6 -34.922953  56.661649  4.0    1e-09   2s_2p2_2D1.5  220   1
LevMacro       7   3   7 -34.923784  56.660818  6.0    1e-09   2s_2p2_2D2.5  220   1
LevMacro       7   3   8 -31.206668  60.377934  2.0    1e-09   2s_2p2_2S0.5  200   1
LevMacro       7   3   9 -29.362839  62.221763  2.0    1e-09   2s_2p2_2P0.5  210   1
LevMacro       7   3  10 -29.349189  62.235413  4.0    1e-09   2s_2p2_2P1.5  210   1
LevMacro       7   3  11 -24.289206  67.295397  4.0    1e-09      2p3_4S1.5  401   1
LevMacro       7   3  12 -22.269267  69.315335  4.0    1e-09      2p3_2D1.5  221   1
LevMacro       7   3  13 -22.271042  69.313561  6.0    1e-09      2p3_2D2.5  221   1
LevMacro       7   3  14 -20.011094  71.573508  2.0    1e-09   2s2_3s_2S0.5  200   2
LevMacro       7   3  15 -18.882572  72.702030  2.0    1e-09      2p3_2P0.5  211   2
LevMacro       7   3  16 -18.882039  72.702563  4.0    1e-09      2p3_2P1.5  211   2
LevMacro       7   3  17 -16.990425  74.594177  2.0    1e-09   2s2_3p_2P0.5  211   3
LevMacro       7   3  18 -16.985975  74.598627  4.0    1e-09   2s2_3p_2P1.5  211   3
LevMacro       7   3  19 -14.315700  77.268903  4.0    1e-09   2s2_3d_2D1.5  220   2
LevMacro       7   3  20 -14.315006  77.269596  6.0    1e-09   2s2_3d_2D2.5  220   2
LevMacro       7   3  21 -11.799923  79.784680  2.0    1e-09 2s_2p_3s_4P0.5  411   1
LevMacro       7   3  22 -11.792224  79.792379  4.0    1e-09 2s_2p_3s_4P1.5  411   1
LevMacro       7   3  23 -11.777915  79.806687  6.0    1e-09 2s_2p_3s_4P2.5  411   1
LevMacro       7   3  24 -10.606967  80.977635  2.0    1e-09 2s_2p_3s_2P0.5  211   4
LevMacro       7   3  25 -10.592930  80.991673  4.0    1e-09 2s_2p_3s_2P1.5  211   4
LevMacro       7   3  26 -10.119532  81.465070  2.0    1e-09   2s2_4s_2S0.5  200   3
LevMacro       7   3  27  -9.121628  82.462974  2.0    1e-09 2s_2p_3p_2P0.5  210   2
LevMacro       7   3  28  -9.114933  82.469669  4.0    1e-09 2s_2p_3p_2P1.5  210   2
LevMacro       7   3  29  -9.056536  82.528066  2.0    1e-09 2s_2p_3p_4D0.5  420   1
LevMacro       7   3  30  -9.052119  82.532483  4.0    1e-09 2s_2p_3p_4D1.5  420   1
LevMacro       7   3  31  -9.044471  82.540131  6.0    1e-09 2s_2p_3p_4D2.5  420   1
LevMacro       7   3  32  -9.032530  82.552073  8.0    1e-09 2s_2p_3p_4D3.5  420   1
LevMacro       7   3  33  -8.804336  82.780267  2.0    1e-09   2s2_4p_2P0.5  211   5
LevMacro       7   3  34  -8.801251  82.783351  4.0    1e-09   2s2_4p_2P1.5  211   5
LevMacro       7   3  35  -8.491026  83.093577  4.0    1e-09 2s_2p_3p_4S1.5  400   1
LevMacro       7   3  36  -8.109613  83.474989  2.0    1e-09 2s_2p_3p_4P0.5  410   2
LevMacro       7   3  37  -8.104332  83.480270  4.0    1e-09 2s_2p_3p_4P1.5  410   2
LevMacro       7   3  38  -8.097017  83.487585  6.0    1e-09 2s_2p_3p_4P2.5  410   2
LevMacro       7   3  39  -8.053313  83.531290  4.0    1e-09   2s2_4d_2D1.5  220   3
LevMacro       7   3  40  -8.049368  83.535234  6.0    1e-09   2s2_4d_2D2.5  220   3
LevMacro       7   3  41  -7.738453  83.846149  6.0    1e-09   2s2_4f_2F2.5  231   1
LevMacro       7   3  42  -7.738314  83.846289  8.0    1e-09   2s2_4f_2F3.5  231   1
LevMacro       7   3  43  -7.652780  83.931823  4.0    1e-09 2s_2p_3p_2D1.5  220   4
LevMacro       7   3  44  -7.641792  83.942811  6.0    1e-09 2s_2p_3p_2D2.5  220   4
LevMacro       7   3  45  -6.898975  84.685628  2.0    1e-09 2s_2p_3p_2S0.5  200   4
LevMacro       7   3  46  -6.505435  85.079167  4.0    1e-09 2s_2p_3d_4F1.5  431   1
LevMacro       7   3  47  -6.501169  85.083433  6.0    1e-09 2s_2p_3d_4F2.5  431   1
LevMacro       7   3  48  -6.494722  85.089880  8.0    1e-09 2s_2p_3d_4F3.5  431   1
LevMacro       7   3  49  -6.485869  85.098734 10.0    1e-09 2s_2p_3d_4F4.5  431   1
LevMacro       7   3  50  -6.188131  85.396472  2.0    1e-09 2s_2p_3d_4D0.5  421   1
LevMacro       7   3  51  -6.186507  85.398095  4.0    1e-09 2s_2p_3d_4D1.5  421   1
LevMacro       7   3  52  -6.183830  85.400772  6.0    1e-09 2s_2p_3d_4D2.5  421   1
LevMacro       7   3  53  -6.180358  85.404244  8.0    1e-09 2s_2p_3d_4D3.5  421   1
LevMacro       7   3  54  -5.971297  85.613306  4.0    1e-09 2s_2p_3d_2D1.5  221   2
LevMacro       7   3  55  -5.967810  85.616793  6.0    1e-09 2s_2p_3d_2D2.5  221   2
LevMacro       7   3  56  -5.764649  85.819954  6.0    1e-09 2s_2p_3d_4P2.5  411   2
LevMacro       7   3  57  -5.757868  85.826734  4.0    1e-09 2s_2p_3d_4P1.5  411   2
LevMacro       7   3  58  -5.753529  85.831074  2.0    1e-09 2s_2p_3d_4P0.5  411   2
LevMacro       7   3  59  -5.326029  86.258573  6.0    1e-09 2s_2p_3d_2F2.5  231   2
LevMacro       7   3  60  -5.312278  86.272324  8.0    1e-09 2s_2p_3d_2F3.5  231   2
LevMacro       7   3  61  -4.960657  86.623945  4.0    1e-09 2s_2p_3d_2P1.5  211   6
LevMacro       7   3  62  -4.951854  86.632748  2.0    1e-09 2s_2p_3d_2P0.5  211   6
LevMacro       7   3  63  -3.627932  87.956670  2.0    1e-09 2s_2p_3s_2P0.5  211   7
LevMacro       7   3  64  -3.627696  87.956906  4.0    1e-09 2s_2p_3s_2P1.5  211   7
LevMacro       7   3  65  -1.759008  89.825595  2.0    1e-09 2s_2p_4s_4P0.5  411   3
LevMacro       7   3  66  -1.751084  89.833518  4.0    1e-09 2s_2p_4s_4P1.5  411   3
LevMacro       7   3  67  -1.736454  89.848148  6.0    1e-09 2s_2p_4s_4P2.5  411   3
LevMacro       7   3  68  -0.784885  90.799717  2.0    1e-09 2s_2p_4s_2P0.5  211   8
LevMacro       7   3  69  -0.770724  90.813878  4.0    1e-09 2s_2p_4s_2P1.5  211   8
LevMacro       7   3  70  -0.986334  90.598269  2.0    1e-09 2s_2p_4p_2P0.5  210   3
LevMacro       7   3  71  -0.979092  90.605510  4.0    1e-09 2s_2p_4p_2P1.5  210   3
LevMacro       7   3  72  -1.159951  90.424651  4.0    1e-09 2s_2p_3p_2D1.5  220   4
LevMacro       7   3  73  -1.156282  90.428320  6.0    1e-09 2s_2p_3p_2D2.5  220   4
LevMacro       7   3  74  -0.737868  90.846734  2.0    1e-09 2s_2p_4p_4D0.5  420   2
LevMacro       7   3  75  -0.732254  90.852349  4.0    1e-09 2s_2p_4p_4D1.5  420   2
LevMacro       7   3  76  -0.724675  90.859927  6.0    1e-09 2s_2p_4p_4D2.5  420   2
LevMacro       7   3  77  -0.713718  90.870884  8.0    1e-09 2s_2p_4p_4D3.5  420   2
LevMacro       7   3  78  -0.529275  91.055327  4.0    1e-09 2s_2p_4p_4S1.5  400   2
LevMacro       7   3  79  -1.529562  90.055041  2.0    1e-09 2s_2p_4p_2S0.5  200   5
LevMacro       7   3  80  -0.421745  91.162857  2.0    1e-09 2s_2p_4p_4P0.5  410   3
LevMacro       7   3  81  -0.416201  91.168401  4.0    1e-09 2s_2p_4p_4P1.5  410   3
LevMacro       7   3  82  -0.409657  91.174946  6.0    1e-09 2s_2p_4p_4P2.5  410   3
LevMacro       7   3  83  -0.635271  90.949332  2.0    1e-09 2s_2p_3p_2P0.5  210   4
LevMacro       7   3  84  -0.631129  90.953474  4.0    1e-09 2s_2p_3p_2P1.5  210   4
LevMacro       7   3  85   0.519598  92.104201  4.0    1e-09 2s_2p_4d_4F1.5  431   2
LevMacro       7   3  86   0.523690  92.108292  6.0    1e-09 2s_2p_4d_4F2.5  431   2
LevMacro       7   3  87   0.529517  92.114119  8.0    1e-09 2s_2p_4d_4F3.5  431   2
LevMacro       7   3  88   0.537227  92.121830 10.0    1e-09 2s_2p_4d_4F4.5  431   2
LevMacro       7   3  89  -0.159963  91.424639  4.0    1e-09 2s_2p_4p_2D1.5  220   5
LevMacro       7   3  90  -0.147154  91.437449  6.0    1e-09 2s_2p_4p_2D2.5  220   5
LevMacro       7   3  91   0.704200  92.288802  2.0    1e-09 2s_2p_4d_4D0.5  421   2
LevMacro       7   3  92   0.705242  92.289845  4.0    1e-09 2s_2p_4d_4D1.5  421   2
LevMacro       7   3  93   0.707288  92.291890  6.0    1e-09 2s_2p_4d_4D2.5  421   2
LevMacro       7   3  94   0.711069  92.295672  8.0    1e-09 2s_2p_4d_4D3.5  421   2
LevMacro       7   3  95   0.751349  92.335952  4.0    1e-09 2s_2p_4d_2D1.5  221   3
LevMacro       7   3  96   0.754511  92.339113  6.0    1e-09 2s_2p_4d_2D2.5  221   3
LevMacro       7   3  97   0.790865  92.375468  6.0    1e-09 2s_2p_4d_4P2.5  411   4
LevMacro       7   3  98   0.796084  92.380687  4.0    1e-09 2s_2p_4d_4P1.5  411   4
LevMacro       7   3  99   0.799207  92.383810  2.0    1e-09 2s_2p_4d_4P0.5  411   4
LevMacro       7   3 100   0.904114  92.488716  6.0    1e-09 2s_2p_4f_2F2.5  230   1
LevMacro       7   3 101   0.906791  92.491394  8.0    1e-09 2s_2p_4f_2F3.5  230   1
LevMacro       7   3 102   0.908240  92.492843  4.0    1e-09 2s_2p_4f_4F1.5  430   1
LevMacro       7   3 103   0.909221  92.493823  6.0    1e-09 2s_2p_4f_4F2.5  430   1
LevMacro       7   3 104   0.910894  92.495497  8.0    1e-09 2s_2p_4f_4F3.5  430   1
LevMacro       7   3 105   0.912731  92.497333 10.0    1e-09 2s_2p_4f_4F4.5  430   1
LevMacro       7   3 106   1.069742  92.654345  6.0    1e-09 2s_2p_4f_4G2.5  440   1
LevMacro       7   3 107   1.073675  92.658277  8.0    1e-09 2s_2p_4f_4G3.5  440   1
LevMacro       7   3 108   1.079192  92.663795 10.0    1e-09 2s_2p_4f_4G4.5  440   1
LevMacro       7   3 109   1.086186  92.670788 12.0    1e-09 2s_2p_4f_4G5.5  440   1
LevMacro       7   3 110   1.087460  92.672063  8.0    1e-09 2s_2p_4f_4D3.5  420   3
LevMacro       7   3 111   1.092645  92.677247  6.0    1e-09 2s_2p_4f_4D2.5  420   3
LevMacro       7   3 112   1.096635  92.681238  4.0    1e-09 2s_2p_4f_4D1.5  420   3
LevMacro       7   3 113   1.099080  92.683683  2.0    1e-09 2s_2p_4f_4D0.5  420   3
LevMacro       7   3 114   1.104210  92.688813  8.0    1e-09 2s_2p_4f_2G3.5  240   1
LevMacro       7   3 115   1.115074  92.699677 10.0    1e-09 2s_2p_4f_2G4.5  240   1
LevMacro       7   3 116   1.120886  92.705488  6.0    1e-09 2s_2p_4f_2D2.5  220   6
LevMacro       7   3 117   1.128449  92.713052  4.0    1e-09 2s_2p_4f_2D1.5  220   6
LevMacro       7   3 118   1.198082  92.782684  6.0    1e-09 2s_2p_4d_2F2.5  231   3
LevMacro       7   3 119   1.209760  92.794362  8.0    1e-09 2s_2p_4d_2F3.5  231   3
LevMacro       7   3 120   1.467920  93.052522  4.0    1e-09 2s_2p_4d_2P1.5  211   9
LevMacro       7   3 121   1.475173  93.059775  2.0    1e-09 2s_2p_4d_2P0.5  211   9
LevMacro       7   3 122   1.562671  93.147274  2.0    1e-09 2s_2p_3p_2S0.5  200   6
LevMacro       7   3 123   2.312458  93.897060  2.0    1e-09   2p2_3s_4P0.5  410   4
LevMacro       7   3 124   2.320343  93.904945  4.0    1e-09   2p2_3s_4P1.5  410   4
LevMacro       7   3 125   2.333435  93.918037  6.0    1e-09   2p2_3s_4P2.5  410   4
LevMacro       7   3 126   2.668442  94.253044  6.0    1e-09 2s_2p_3d_2F2.5  231   4
LevMacro       7   3 127   2.668527  94.253130  8.0    1e-09 2s_2p_3d_2F3.5  231   4
LevMacro       7   3 128   2.929515  94.514118  4.0    1e-09 2s_2p_3d_2D1.5  221   4
LevMacro       7   3 129   2.931166  94.515768  6.0    1e-09 2s_2p_3d_2D2.5  221   4
LevMacro       7   3 130   3.414161  94.998763  2.0    1e-09 2s_2p_3d_2P0.5  211  10
LevMacro       7   3 131   3.415598  95.000201  4.0    1e-09 2s_2p_3d_2P1.5  211  10
LevMacro       7   3 132   4.249226  95.833828  2.0    1e-09   2p2_3s_2P0.5  210   5
LevMacro       7   3 133   4.263035  95.847637  4.0    1e-09   2p2_3s_2P1.5  210   5
LevMacro       7   3 134   4.342958  95.927561  2.0    1e-09   2p2_3p_2S0.5  201   1
LevMacro       7   3 135   4.952046  96.536648  2.0    1e-09   2p2_3p_4D0.5  421   3
LevMacro       7   3 136   4.956683  96.541286  4.0    1e-09   2p2_3p_4D1.5  421   3
LevMacro       7   3 137   4.964406  96.549008  6.0    1e-09   2p2_3p_4D2.5  421   3
LevMacro       7   3 138   4.975231  96.559833  8.0    1e-09   2p2_3p_4D3.5  421   3
LevMacro       7   3 139   5.291974  96.876576  4.0    1e-09   2p2_3s_2D1.5  220   7
LevMacro       7   3 140   5.292249  96.876851  6.0    1e-09   2p2_3s_2D2.5  220   7
LevMacro       7   3 141   5.359855  96.944458  2.0    1e-09   2p2_3p_4P0.5  411   5
LevMacro       7   3 142   5.364419  96.949022  4.0    1e-09   2p2_3p_4P1.5  411   5
LevMacro       7   3 143   5.372095  96.956697  6.0    1e-09   2p2_3p_4P2.5  411   5
LevMacro       7   3 144   5.896698  97.481301  4.0    1e-09   2p2_3p_2D1.5  221   5
LevMacro       7   3 145   5.909976  97.494579  6.0    1e-09   2p2_3p_2D2.5  221   5
LevMacro       7   3 146   6.672235  98.256838  4.0    1e-09   2p2_3p_2P1.5  211  11
LevMacro       7   3 147   6.674219  98.258821  2.0    1e-09   2p2_3p_2P0.5  211  11
LevMacro       7   3 148   7.183064  98.767667  4.0    1e-09   2p2_3p_4S1.5  401   2
LevMacro       7   3 149   7.208818  98.793421  2.0    1e-09 2s_2p_4s_2P0.5  211  12
LevMacro       7   3 150   7.210031  98.794634  4.0    1e-09 2s_2p_4s_2P1.5  211  12
LevMacro       7   3 151   7.566565  99.151167  4.0    1e-09   2p2_3d_4F1.5  430   2
LevMacro       7   3 152   7.570781  99.155383  6.0    1e-09   2p2_3d_4F2.5  430   2
LevMacro       7   3 153   7.576732  99.161334  8.0    1e-09   2p2_3d_4F3.5  430   2
LevMacro       7   3 154   7.584431  99.169033 10.0    1e-09   2p2_3d_4F4.5  430   2
LevMacro       7   3 155   7.899972  99.484574  6.0    1e-09   2p2_3p_2F2.5  231   5
LevMacro       7   3 156   7.904223  99.488825  8.0    1e-09   2p2_3p_2F3.5  231   5
LevMacro       7   3 157   7.959508  99.544111  4.0    1e-09   2p2_3d_2P1.5  210   6
LevMacro       7   3 158   7.970554  99.555157  2.0    1e-09   2p2_3d_2P0.5  210   6
LevMacro       7   3 159   8.049610  99.634213  2.0    1e-09   2p2_3d_4D0.5  420   4
LevMacro       7   3 160   8.050625  99.635228  4.0    1e-09   2p2_3d_4D1.5  420   4
LevMacro       7   3 161   8.052621  99.637223  6.0    1e-09   2p2_3d_4D2.5  420   4
LevMacro       7   3 162   8.055833  99.640435  8.0    1e-09   2p2_3d_4D3.5  420   4
LevMacro       7   3 163   8.367294  99.951897  6.0    1e-09   2p2_3d_2F2.5  230   2
LevMacro       7   3 164   8.381502  99.966105  8.0    1e-09   2p2_3d_2F3.5  230   2
LevMacro       7   3 165   8.384776  99.969379  4.0    1e-09 2s_2p_4p_2D1.5  220   8
LevMacro       7   3 166   8.385396  99.969999  6.0    1e-09 2s_2p_4p_2D2.5  220   8
LevMacro       7   3 167   8.447141 100.031743  6.0    1e-09   2p2_3d_4P2.5  410   5
LevMacro       7   3 168   8.452685 100.037287  4.0    1e-09   2p2_3d_4P1.5  410   5
LevMacro       7   3 169   8.455971 100.040573  2.0    1e-09   2p2_3d_4P0.5  410   5
LevMacro       7   3 170   8.504844 100.089446  2.0    1e-09 2s_2p_4p_2S0.5  200   7
LevMacro       7   3 171   8.507250 100.091852  2.0    1e-09 2s_2p_4p_2P0.5  210   7
LevMacro       7   3 172   8.508463 100.093065  4.0    1e-09 2s_2p_4p_2P1.5  210   7
LevMacro       7   3 173   9.084609 100.669211  8.0    1e-09 2s_2p_4f_2G3.5  240   1
LevMacro       7   3 174   9.084795 100.669397 10.0    1e-09 2s_2p_4f_2G4.5  240   1
LevMacro       7   3 175   9.191584 100.776187  6.0    1e-09   2p2_3p_2D2.5  221   5
LevMacro       7   3 176   9.192317 100.776919  4.0    1e-09   2p2_3p_2D1.5  221   5
LevMacro       7   3 177   9.334202 100.918804  8.0    1e-09 2s_2p_4d_2F3.5  231   6
LevMacro       7   3 178   9.334303 100.918905  6.0    1e-09 2s_2p_4d_2F2.5  231   6
LevMacro       7   3 179   9.399271 100.983873  4.0    1e-09 2s_2p_4d_2D1.5  221   6
LevMacro       7   3 180   9.399542 100.984144  6.0    1e-09 2s_2p_4d_2D2.5  221   6
LevMacro       7   3 181   9.413676 100.998279  6.0    1e-09 2s_2p_4f_2F2.5  230   3
LevMacro       7   3 182   9.413738 100.998341  8.0    1e-09 2s_2p_4f_2F3.5  230   3
LevMacro       7   3 183   9.554426 101.139029  2.0    1e-09 2s_2p_4d_2P0.5  211  13
LevMacro       7   3 184   9.555430 101.140032  4.0    1e-09 2s_2p_4d_2P1.5  211  13
LevMacro       7   3 185   9.611138 101.195740  6.0    1e-09 2s_2p_4f_2D2.5  220   9
LevMacro       7   3 186   9.611955 101.196558  4.0    1e-09 2s_2p_4f_2D1.5  220   9
LevMacro       7   3 187   9.659949 101.244551  4.0    1e-09   2p2_3d_2D1.5  220  10
LevMacro       7   3 188   9.664587 101.249189  6.0    1e-09   2p2_3d_2D2.5  220  10
LevMacro       7   3 189  10.157648 101.742250  2.0    1e-09   2p2_3p_2P0.5  211  14
LevMacro       7   3 190  10.164928 101.749530  4.0    1e-09   2p2_3p_2P1.5  211  14
LevMacro       7   3 191  10.491330 102.075932  2.0    1e-09   2p2_3s_2S0.5  200   8
