   Dtype Element Ion lvl    ion_pot         ex    g rad_rate      config islp ilv
-------- ------- --- --- ---------- ---------- ---- -------- ----------- ---- ---
LevMacro       7   4   1 -77.473503  91.584602  1.0    1e+21   2s2_1S0.0  100   1
LevMacro       7   4   2 -69.140604  99.917502  1.0    1e-09 2s_2p_3P0.0  311   1
LevMacro       7   4   3 -69.132793  99.925313  3.0    1e-09 2s_2p_3P1.0  311   1
LevMacro       7   4   4 -69.114939  99.943167  5.0    1e-09 2s_2p_3P2.0  311   1
LevMacro       7   4   5 -61.269548 107.788558  3.0    1e-09 2s_2p_1P1.0  111   1
LevMacro       7   4   6 -55.709818 113.348287  1.0    1e-09 2p_2p_3P0.0  310   1
LevMacro       7   4   7 -55.700768 113.357338  3.0    1e-09 2p_2p_3P1.0  310   1
LevMacro       7   4   8 -55.685393 113.372712  5.0    1e-09 2p_2p_3P2.0  310   1
LevMacro       7   4   9 -54.054992 115.003113  5.0    1e-09 2p_2p_1D2.0  120   1
LevMacro       7   4  10 -48.291308 120.766798  1.0    1e-09 2p_2p_1S0.0  100   2
LevMacro       7   4  11 -30.695994 138.362112  3.0    1e-09 2s_3s_3S1.0  300   1
LevMacro       7   4  12 -29.261489 139.796617  1.0    1e-09 2s_3s_1S0.0  100   3
LevMacro       7   4  13 -27.318894 141.739212  3.0    1e-09 2s_3p_1P1.0  111   2
LevMacro       7   4  14 -27.139240 141.918866  1.0    1e-09 2s_3p_3P0.0  311   2
LevMacro       7   4  15 -27.137256 141.920849  3.0    1e-09 2s_3p_3P1.0  311   2
LevMacro       7   4  16 -27.132917 141.925189  5.0    1e-09 2s_3p_3P2.0  311   2
LevMacro       7   4  17 -25.394277 143.663829  3.0    1e-09 2s_3d_3D1.0  320   1
LevMacro       7   4  18 -25.393781 143.664325  5.0    1e-09 2s_3d_3D2.0  320   1
LevMacro       7   4  19 -25.392665 143.665441  7.0    1e-09 2s_3d_3D3.0  320   1
LevMacro       7   4  20 -24.264279 144.793827  5.0    1e-09 2s_3d_1D2.0  120   2
LevMacro       7   4  21 -19.784457 149.273648  1.0    1e-09 2p_3s_3P0.0  311   3
LevMacro       7   4  22 -19.774539 149.283567  3.0    1e-09 2p_3s_3P1.0  311   3
LevMacro       7   4  23 -19.754081 149.304025  5.0    1e-09 2p_3s_3P2.0  311   3
LevMacro       7   4  24 -18.825062 150.233043  3.0    1e-09 2p_3s_1P1.0  111   3
LevMacro       7   4  25 -17.851161 151.206944  3.0    1e-09 2p_3p_1P1.0  110   1
LevMacro       7   4  26 -17.403080 151.655026  3.0    1e-09 2p_3p_3D1.0  320   2
LevMacro       7   4  27 -17.391177 151.666928  5.0    1e-09 2p_3p_3D2.0  320   2
LevMacro       7   4  28 -17.372332 151.685774  7.0    1e-09 2p_3p_3D3.0  320   2
