   Dtype Element Ion lvl    ion_pot         ex    g rad_rate             config islp ilv
-------- ------- --- --- ---------- ---------- ---- -------- ------------------ ---- ---
LevMacro       7   5   1 -97.890128 169.058106  2.0    1e+21       1s2.2s_2S0.5  200   1
LevMacro       7   5   2 -87.913909 179.034325  2.0    1e-09       1s2.2p_2P0.5  211   1
LevMacro       7   5   3 -87.881834 179.066400  4.0    1e-09       1s2.2p_2P1.5  211   1
LevMacro       7   5   4 -41.337329 225.610905  2.0    1e-09       1s2.3s_2S0.5  200   2
LevMacro       7   5   5 -38.654408 228.293826  2.0    1e-09       1s2.3p_2P0.5  211   2
LevMacro       7   5   6 -38.644948 228.303286  4.0    1e-09       1s2.3p_2P1.5  211   2
LevMacro       7   5   7 -37.831322 229.116912  4.0    1e-09       1s2.3d_2D1.5  220   1
LevMacro       7   5   8 -37.828595 229.119639  6.0    1e-09       1s2.3d_2D2.5  220   1
LevMacro       7   5   9 -22.712049 244.236185  2.0    1e-09       1s2.4s_2S0.5  200   3
LevMacro       7   5  10 -21.621949 245.326285  2.0    1e-09       1s2.4p_2P0.5  211   3
LevMacro       7   5  11 -21.617882 245.330352  4.0    1e-09       1s2.4p_2P1.5  211   3
LevMacro       7   5  12 -21.277854 245.670380  4.0    1e-09       1s2.4d_2D1.5  220   2
LevMacro       7   5  13 -21.276713 245.671521  6.0    1e-09       1s2.4d_2D2.5  220   2
LevMacro       7   5  14 -21.260124 245.688110  6.0    1e-09       1s2.4f_2F2.5  231   1
LevMacro       7   5  15 -21.259529 245.688705  8.0    1e-09       1s2.4f_2F3.5  231   1
LevMacro       7   5  16 -14.338433 252.609801  2.0    1e-09       1s2.5s_2S0.5  200   4
LevMacro       7   5  17 -13.791139 253.157095  2.0    1e-09       1s2.5p_2P0.5  211   4
LevMacro       7   5  18 -13.789143 253.159091  4.0    1e-09       1s2.5p_2P1.5  211   4
LevMacro       7   5  19 -13.617108 253.331126  4.0    1e-09       1s2.5d_2D1.5  220   3
LevMacro       7   5  20 -13.615427 253.332807  6.0    1e-09       1s2.5d_2D2.5  220   3
LevMacro       7   5  21 -13.606401 253.341833  6.0    1e-09       1s2.5f_2F2.5  231   2
LevMacro       7   5  22 -13.606401 253.341833  8.0    1e-09       1s2.5f_2F3.5  231   2
LevMacro       7   5  23 -13.604926 253.343308  8.0    1e-09       1s2.5g_2G3.5  240   1
LevMacro       7   5  24 -13.604926 253.343308 10.0    1e-09       1s2.5g_2G4.5  240   1
LevMacro       7   5  25  -9.868406 257.079828  2.0    1e-09       1s2.6s_2S0.5  200   5
LevMacro       7   5  26  -9.555468 257.392766  2.0    1e-09       1s2.6p_2P0.5  211   5
LevMacro       7   5  27  -9.554303 257.393931  4.0    1e-09       1s2.6p_2P1.5  211   5
LevMacro       7   5  28  -9.454284 257.493950  4.0    1e-09       1s2.6d_2D1.5  220   4
LevMacro       7   5  29  -9.454011 257.494222  6.0    1e-09       1s2.6d_2D2.5  220   4
LevMacro       7   5  30  -9.448655 257.499579  6.0    1e-09       1s2.6f_2F2.5  231   3
LevMacro       7   5  31  -9.448655 257.499579  8.0    1e-09       1s2.6f_2F3.5  231   3
LevMacro       7   5  32  -9.448135 257.500099  8.0    1e-09       1s2.6g_2G3.5  240   2
LevMacro       7   5  33  -9.448135 257.500099 10.0    1e-09       1s2.6g_2G4.5  240   2
LevMacro       7   5  34  -9.447403 257.500831 10.0    1e-09       1s2.6h_2H4.5  251   1
LevMacro       7   5  35  -9.447403 257.500831 12.0    1e-09       1s2.6h_2H5.5  251   1
LevMacro       7   5  36  -7.204442 259.743792  2.0    1e-09       1s2.7s_2S0.5  200   6
LevMacro       7   5  37  -7.007582 259.940652  2.0    1e-09       1s2.7p_2P0.5  211   6
LevMacro       7   5  38  -7.006431 259.941803  4.0    1e-09       1s2.7p_2P1.5  211   6
LevMacro       7   5  39  -6.945305 260.002929  4.0    1e-09       1s2.7d_2D1.5  220   5
