   Dtype Element Ion lvl     ion_pot          ex    g rad_rate      config islp ilv
-------- ------- --- --- ----------- ----------- ---- -------- ----------- ---- ---
LevMacro       7   6   1 -552.069971  266.948234  1.0    1e+21   1s2_1S0.0  100   1
LevMacro       7   6   2 -132.275786  686.742419  3.0    1e-09 1s.2s_3S1.0  300   1
LevMacro       7   6   3 -125.776375  693.241830  1.0    1e-09 1s.2p_3P0.0  311   1
LevMacro       7   6   4 -125.775383  693.242822  3.0    1e-09 1s.2p_3P1.0  311   1
LevMacro       7   6   5 -125.739303  693.278902  5.0    1e-09 1s.2p_3P2.0  311   1
LevMacro       7   6   6 -125.653010  693.365195  1.0    1e-09 1s.2s_1S0.0  100   2
LevMacro       7   6   7 -121.371936  697.646269  3.0    1e-09 1s.2p_1P1.0  111   1
LevMacro       7   6   8  -57.139712  761.878492  3.0    1e-09 1s.3s_3S1.0  300   2
LevMacro       7   6   9  -55.366729  763.651476  1.0    1e-09 1s.3p_3P0.0  311   2
LevMacro       7   6  10  -55.366729  763.651476  3.0    1e-09 1s.3p_3P1.0  311   2
LevMacro       7   6  11  -55.366729  763.651476  5.0    1e-09 1s.3p_3P2.0  311   2
LevMacro       7   6  12  -55.386566  763.631639  1.0    1e-09 1s.3s_1S0.0  100   3
LevMacro       7   6  13  -54.461639  764.556566  3.0    1e-09 1s.3d_3D1.0  320   1
LevMacro       7   6  14  -54.461639  764.556566  5.0    1e-09 1s.3d_3D2.0  320   1
LevMacro       7   6  15  -54.461639  764.556566  7.0    1e-09 1s.3d_3D3.0  320   1
LevMacro       7   6  16  -54.423204  764.595001  5.0    1e-09 1s.3d_1D2.0  120   1
LevMacro       7   6  17  -54.098363  764.919841  3.0    1e-09 1s.3p_1P1.0  111   2
LevMacro       7   6  18  -31.730252  787.287952  3.0    1e-09 1s.4s_3S1.0  300   3
LevMacro       7   6  19  -31.008660  788.009544  1.0    1e-09 1s.4p_3P0.0  311   3
LevMacro       7   6  20  -31.008660  788.009544  3.0    1e-09 1s.4p_3P1.0  311   3
LevMacro       7   6  21  -31.008660  788.009544  5.0    1e-09 1s.4p_3P2.0  311   3
LevMacro       7   6  22  -31.021059  787.997146  1.0    1e-09 1s.4s_1S0.0  100   4
LevMacro       7   6  23  -30.611909  788.406296  3.0    1e-09 1s.4d_3D1.0  320   2
LevMacro       7   6  24  -30.611909  788.406296  5.0    1e-09 1s.4d_3D2.0  320   2
LevMacro       7   6  25  -30.611909  788.406296  7.0    1e-09 1s.4d_3D3.0  320   2
LevMacro       7   6  26  -30.602362  788.415843  5.0    1e-09 1s.4f_3F2.0  331   1
LevMacro       7   6  27  -30.602238  788.415967  7.0    1e-09 1s.4f_3F3.0  331   1
LevMacro       7   6  28  -30.600874  788.417331  9.0    1e-09 1s.4f_3F4.0  331   1
LevMacro       7   6  29  -30.600750  788.417455  7.0    1e-09 1s.4f_1F3.0  131   1
LevMacro       7   6  30  -30.610669  788.407536  5.0    1e-09 1s.4d_1D2.0  120   2
LevMacro       7   6  31  -30.489164  788.529041  3.0    1e-09 1s.4p_1P1.0  111   3
LevMacro       7   6  32  -20.156264  798.861940  3.0    1e-09 1s.5s_3S1.0  300   4
LevMacro       7   6  33  -19.792989  799.225216  1.0    1e-09 1s.5p_3P0.0  311   4
LevMacro       7   6  34  -19.792989  799.225216  3.0    1e-09 1s.5p_3P1.0  311   4
LevMacro       7   6  35  -19.792989  799.225216  5.0    1e-09 1s.5p_3P2.0  311   4
LevMacro       7   6  36  -19.800428  799.217777  1.0    1e-09 1s.5s_1S0.0  100   5
LevMacro       7   6  37  -19.608251  799.409954  3.0    1e-09 1s.5d_3D1.0  320   3
LevMacro       7   6  38  -19.608251  799.409954  5.0    1e-09 1s.5d_3D2.0  320   3
LevMacro       7   6  39  -19.608251  799.409954  7.0    1e-09 1s.5d_3D3.0  320   3
LevMacro       7   6  40  -19.594117  799.424088  5.0    1e-09 1s.5f_3F2.0  331   2
LevMacro       7   6  41  -19.594117  799.424088  7.0    1e-09 1s.5f_3F3.0  331   2
LevMacro       7   6  42  -19.593373  799.424832  9.0    1e-09 1s.5f_3F4.0  331   2
LevMacro       7   6  43  -19.593249  799.424956  7.0    1e-09 1s.5f_1F3.0  131   2
LevMacro       7   6  44  -19.593249  799.424956  7.0    1e-09 1s.5g_3G3.0  340   1
LevMacro       7   6  45  -19.593249  799.424956  9.0    1e-09 1s.5g_3G4.0  340   1
LevMacro       7   6  46  -19.592753  799.425452 11.0    1e-09 1s.5g_3G5.0  340   1
LevMacro       7   6  47  -19.592753  799.425452  9.0    1e-09 1s.5g_1G4.0  140   1
LevMacro       7   6  48  -19.595853  799.422352  5.0    1e-09 1s.5d_1D2.0  120   3
LevMacro       7   6  49  -19.419794  799.598411  3.0    1e-09 1s.5p_1P1.0  111   4
LevMacro       7   6  50  -13.931232  805.086973  3.0    1e-09 1s.6s_3S1.0  300   5
LevMacro       7   6  51  -13.724797  805.293408  1.0    1e-09 1s.6p_3P0.0  311   5
LevMacro       7   6  52  -13.723929  805.294276  3.0    1e-09 1s.6p_3P1.0  311   5
LevMacro       7   6  53  -13.683014  805.335191  5.0    1e-09 1s.6p_3P2.0  311   5
LevMacro       7   6  54  -13.710663  805.307542  1.0    1e-09 1s.6s_1S0.0  100   6
LevMacro       7   6  55  -13.613707  805.404498  3.0    1e-09 1s.6d_3D1.0  320   4
LevMacro       7   6  56  -13.627221  805.390984  5.0    1e-09 1s.6d_3D2.0  320   4
LevMacro       7   6  57  -13.572668  805.445537  7.0    1e-09 1s.6d_3D3.0  320   4
LevMacro       7   6  58  -13.607011  805.411193  5.0    1e-09 1s.6f_3F2.0  331   3
LevMacro       7   6  59  -13.606887  805.411317  7.0    1e-09 1s.6f_3F3.0  331   3
LevMacro       7   6  60  -13.606515  805.411689  9.0    1e-09 1s.6f_3F4.0  331   3
LevMacro       7   6  61  -13.606391  805.411813  7.0    1e-09 1s.6f_1F3.0  131   3
LevMacro       7   6  62  -13.606391  805.411813  7.0    1e-09 1s.6g_3G3.0  340   2
LevMacro       7   6  63  -13.606391  805.411813  9.0    1e-09 1s.6g_3G4.0  340   2
LevMacro       7   6  64  -13.606143  805.412061  9.0    1e-09 1s.6h_3H4.0  351   1
LevMacro       7   6  65  -13.606143  805.412061 11.0    1e-09 1s.6h_3H5.0  351   1
LevMacro       7   6  66  -13.606143  805.412061 11.0    1e-09 1s.6g_3G5.0  340   2
LevMacro       7   6  67  -13.606143  805.412061  9.0    1e-09 1s.6g_1G4.0  140   2
LevMacro       7   6  68  -13.606019  805.412185 13.0    1e-09 1s.6h_3H6.0  351   1
LevMacro       7   6  69  -13.606019  805.412185 11.0    1e-09 1s.6h_1H5.0  151   1
LevMacro       7   6  70  -13.605276  805.412929  5.0    1e-09 1s.6d_1D2.0  120   4
LevMacro       7   6  71  -13.567708  805.450497  3.0    1e-09 1s.6p_1P1.0  111   5
LevMacro       7   6  72  -10.199163  808.819042  3.0    1e-09 1s.7s_3S1.0  300   6
LevMacro       7   6  73  -10.070467  808.947738  1.0    1e-09 1s.7p_3P0.0  311   6
LevMacro       7   6  74  -10.069971  808.948234  3.0    1e-09 1s.7p_3P1.0  311   6
LevMacro       7   6  75  -10.075054  808.943151  5.0    1e-09 1s.7p_3P2.0  311   6
LevMacro       7   6  76  -10.060796  808.957409  1.0    1e-09 1s.7s_1S0.0  100   7
LevMacro       7   6  77  -10.001283  809.016922  3.0    1e-09 1s.7d_3D1.0  320   5
LevMacro       7   6  78  -10.001035  809.017170  5.0    1e-09 1s.7d_3D2.0  320   5
LevMacro       7   6  79  -10.027940  808.990265  7.0    1e-09 1s.7d_3D3.0  320   5
LevMacro       7   6  80   -9.996944  809.021261  5.0    1e-09 1s.7f_3F2.0  331   4
LevMacro       7   6  81   -9.996820  809.021385  7.0    1e-09 1s.7f_3F3.0  331   4
LevMacro       7   6  82   -9.996572  809.021633  9.0    1e-09 1s.7f_3F4.0  331   4
LevMacro       7   6  83   -9.996572  809.021633  7.0    1e-09 1s.7f_1F3.0  131   4
LevMacro       7   6  84   -9.996572  809.021633  7.0    1e-09 1s.7g_3G3.0  340   3
LevMacro       7   6  85   -9.996572  809.021633  9.0    1e-09 1s.7g_3G4.0  340   3
LevMacro       7   6  86   -9.996324  809.021881  9.0    1e-09 1s.7h_3H4.0  351   2
LevMacro       7   6  87   -9.996324  809.021881 11.0    1e-09 1s.7h_3H5.0  351   2
LevMacro       7   6  88   -9.996324  809.021881 11.0    1e-09 1s.7g_3G5.0  340   3
LevMacro       7   6  89   -9.996324  809.021881  9.0    1e-09 1s.7g_1G4.0  140   3
LevMacro       7   6  90   -9.996324  809.021881 11.0    1e-09 1s.7i_3I5.0  360   1
LevMacro       7   6  91   -9.996324  809.021881 13.0    1e-09 1s.7i_3I6.0  360   1
LevMacro       7   6  92   -9.996324  809.021881 13.0    1e-09 1s.7h_3H6.0  351   2
LevMacro       7   6  93   -9.996324  809.021881 11.0    1e-09 1s.7h_1H5.0  151   2
LevMacro       7   6  94   -9.996200  809.022005 15.0    1e-09 1s.7i_3I7.0  360   1
LevMacro       7   6  95   -9.996200  809.022005 13.0    1e-09 1s.7i_1I6.0  160   1
LevMacro       7   6  96   -9.995828  809.022377  5.0    1e-09 1s.7d_1D2.0  120   5
LevMacro       7   6  97   -9.941151  809.077054  3.0    1e-09 1s.7p_1P1.0  111   6
LevMacro       7   6  98   -7.788029  811.230176  3.0    1e-09 1s.8s_3S1.0  300   7
LevMacro       7   6  99   -7.702604  811.315601  1.0    1e-09 1s.8p_3P0.0  311   7
LevMacro       7   6 100   -7.702232  811.315973  3.0    1e-09 1s.8p_3P1.0  311   7
LevMacro       7   6 101   -7.664788  811.353416  5.0    1e-09 1s.8p_3P2.0  311   7
LevMacro       7   6 102   -7.694793  811.323412  1.0    1e-09 1s.8s_1S0.0  100   8
LevMacro       7   6 103   -7.656853  811.361352  3.0    1e-09 1s.8d_3D1.0  320   6
LevMacro       7   6 104   -7.656605  811.361599  5.0    1e-09 1s.8d_3D2.0  320   6
LevMacro       7   6 105   -7.652390  811.365815  7.0    1e-09 1s.8d_3D3.0  320   6
LevMacro       7   6 106   -7.653878  811.364327  5.0    1e-09 1s.8f_3F2.0  331   5
LevMacro       7   6 107   -7.653754  811.364451  7.0    1e-09 1s.8f_3F3.0  331   5
LevMacro       7   6 108   -7.653630  811.364575  9.0    1e-09 1s.8f_3F4.0  331   5
LevMacro       7   6 109   -7.653630  811.364575  7.0    1e-09 1s.8f_1F3.0  131   5
LevMacro       7   6 110   -7.653506  811.364699  9.0    1e-09 1s.8h_3H4.0  351   3
LevMacro       7   6 111   -7.653506  811.364699 11.0    1e-09 1s.8h_3H5.0  351   3
LevMacro       7   6 112   -7.653382  811.364823 11.0    1e-09 1s.8i_3I5.0  360   2
LevMacro       7   6 113   -7.653382  811.364823 13.0    1e-09 1s.8i_3I6.0  360   2
LevMacro       7   6 114   -7.653382  811.364823 13.0    1e-09 1s.8h_3H6.0  351   3
LevMacro       7   6 115   -7.653382  811.364823 11.0    1e-09 1s.8h_1H5.0  151   3
LevMacro       7   6 116   -7.653382  811.364823 13.0    1e-09 1s.8k_3K6.0  370   1
LevMacro       7   6 117   -7.653382  811.364823 15.0    1e-09 1s.8k_3K7.0  370   1
LevMacro       7   6 118   -7.653382  811.364823 15.0    1e-09 1s.8i_3I7.0  360   2
LevMacro       7   6 119   -7.653382  811.364823 13.0    1e-09 1s.8i_1I6.0  160   2
LevMacro       7   6 120   -7.653382  811.364823 15.0    1e-09 1s.8k_1K7.0  170   1
LevMacro       7   6 121   -7.653382  811.364823 17.0    1e-09 1s.8k_3K8.0  370   1
LevMacro       7   6 122   -7.653010  811.365195  5.0    1e-09 1s.8d_1D2.0  120   6
LevMacro       7   6 123   -7.440376  811.577829  3.0    1e-09 1s.8p_1P1.0  111   7
LevMacro       7   6 124   -7.207656  811.810549  7.0    1e-09 1s.8g_3G3.0  340   4
LevMacro       7   6 125   -7.207656  811.810549  9.0    1e-09 1s.8g_3G4.0  340   4
LevMacro       7   6 126   -7.207532  811.810673 11.0    1e-09 1s.8g_3G5.0  340   4
LevMacro       7   6 127   -7.207532  811.810673  9.0    1e-09 1s.8g_1G4.0  140   4
LevMacro       7   6 128  355.768105 1174.786310  1.0    1e-09   2s2_1S0.0  100   9
LevMacro       7   6 129  358.026613 1177.044818  1.0    1e-09 2s.2p_3P0.0  311   8
LevMacro       7   6 130  358.045583 1177.063788  3.0    1e-09 2s.2p_3P1.0  311   8
LevMacro       7   6 131  358.120222 1177.138427  5.0    1e-09 2s.2p_3P2.0  311   8
LevMacro       7   6 132  363.718139 1182.736344  1.0    1e-09   2p2_3P0.0  310   1
LevMacro       7   6 133  363.749507 1182.767712  3.0    1e-09   2p2_3P1.0  310   1
LevMacro       7   6 134  363.807656 1182.825861  5.0    1e-09   2p2_3P2.0  310   1
LevMacro       7   6 135  366.595580 1185.613785  5.0    1e-09   2p2_1D2.0  120   7
LevMacro       7   6 136  367.388463 1186.406668  3.0    1e-09 2s.2p_1P1.0  111   8
LevMacro       7   6 137  377.260759 1196.278964  1.0    1e-09   2p2_1S0.0  100  10
LevMacro       7   6 138  437.528690 1256.546895  3.0    1e-09 2s.3s_3S1.0  300   8
LevMacro       7   6 139  438.368440 1257.386644  3.0    1e-09 2s.3p_1P1.0  111   9
LevMacro       7   6 140  440.502467 1259.520672  1.0    1e-09 2s.3s_1S0.0  100  11
LevMacro       7   6 141  440.540407 1259.558611  3.0    1e-09 2p.3p_3D1.0  320   7
LevMacro       7   6 142  440.574255 1259.592459  5.0    1e-09 2p.3p_3D2.0  320   7
LevMacro       7   6 143  440.612938 1259.631143  7.0    1e-09 2p.3p_3D3.0  320   7
LevMacro       7   6 144  440.631412 1259.649616  3.0    1e-09 2p.3p_1P1.0  110   1
LevMacro       7   6 145  440.823588 1259.841793  1.0    1e-09 2s.3p_3P0.0  311   9
LevMacro       7   6 146  440.827680 1259.845884  3.0    1e-09 2s.3p_3P1.0  311   9
LevMacro       7   6 147  440.835615 1259.853819  5.0    1e-09 2s.3p_3P2.0  311   9
LevMacro       7   6 148  441.528194 1260.546399  1.0    1e-09 2p.3s_3P0.0  311  10
LevMacro       7   6 149  441.551875 1260.570080  3.0    1e-09 2p.3s_3P1.0  311  10
LevMacro       7   6 150  441.599609 1260.617814  5.0    1e-09 2p.3s_3P2.0  311  10
LevMacro       7   6 151  442.862891 1261.881096  5.0    1e-09 2p.3d_3F2.0  331   6
LevMacro       7   6 152  442.893516 1261.911720  7.0    1e-09 2p.3d_3F3.0  331   6
LevMacro       7   6 153  442.930215 1261.948420  9.0    1e-09 2p.3d_3F4.0  331   6
LevMacro       7   6 154  443.046017 1262.064222  5.0    1e-09 2p.3d_1D2.0  121   1
LevMacro       7   6 155  443.608164 1262.626369  5.0    1e-09 2s.3d_1D2.0  120   8
LevMacro       7   6 156  443.639905 1262.658109  3.0    1e-09 2s.3d_3D1.0  320   8
LevMacro       7   6 157  443.650567 1262.668772  5.0    1e-09 2s.3d_3D2.0  320   8
LevMacro       7   6 158  443.661726 1262.679931  7.0    1e-09 2s.3d_3D3.0  320   8
LevMacro       7   6 159  444.220154 1263.238359  3.0    1e-09 2p.3p_3S1.0  300   9
LevMacro       7   6 160  444.254622 1263.272826  1.0    1e-09 2p.3p_3P0.0  310   2
LevMacro       7   6 161  444.276319 1263.294524  3.0    1e-09 2p.3p_3P1.0  310   2
LevMacro       7   6 162  444.303472 1263.321676  5.0    1e-09 2p.3p_3P2.0  310   2
LevMacro       7   6 163  444.946333 1263.964538  3.0    1e-09 2p.3d_3D1.0  321   1
LevMacro       7   6 164  444.957244 1263.975449  5.0    1e-09 2p.3d_3D2.0  321   1
LevMacro       7   6 165  444.973238 1263.991443  7.0    1e-09 2p.3d_3D3.0  321   1
LevMacro       7   6 166  445.685531 1264.703736  3.0    1e-09 2p.3s_1P1.0  111  10
LevMacro       7   6 167  446.321573 1265.339778  5.0    1e-09 2p.3d_3P2.0  311  11
LevMacro       7   6 168  446.333228 1265.351433  3.0    1e-09 2p.3d_3P1.0  311  11
LevMacro       7   6 169  446.339055 1265.357260  1.0    1e-09 2p.3d_3P0.0  311  11
LevMacro       7   6 170  447.413880 1266.432085  5.0    1e-09 2p.3p_1D2.0  120   9
LevMacro       7   6 171  447.706980 1266.725185  7.0    1e-09 2p.3d_1F3.0  131   6
LevMacro       7   6 172  449.283820 1268.302025  3.0    1e-09 2p.3d_1P1.0  111  11
LevMacro       7   6 173  449.829477 1268.847682  1.0    1e-09 2p.3p_1S0.0  100  12
LevMacro       7   6 174  468.029093 1287.047298  3.0    1e-09 2s.4s_3S1.0  300  10
LevMacro       7   6 175  468.448286 1287.466491  3.0    1e-09 2s.4p_1P1.0  111  12
LevMacro       7   6 176  468.734443 1287.752648  1.0    1e-09 2s.4s_1S0.0  100  13
LevMacro       7   6 177  469.033742 1288.051947  1.0    1e-09 2s.4p_3P0.0  311  12
LevMacro       7   6 178  469.039074 1288.057279  3.0    1e-09 2s.4p_3P1.0  311  12
LevMacro       7   6 179  469.049117 1288.067321  5.0    1e-09 2s.4p_3P2.0  311  12
LevMacro       7   6 180  469.354491 1288.372696  3.0    1e-09 2p.4p_3D1.0  320   9
LevMacro       7   6 181  469.370485 1288.388690  5.0    1e-09 2p.4p_3D2.0  320   9
LevMacro       7   6 182  469.393547 1288.411751  7.0    1e-09 2p.4p_3D3.0  320   9
LevMacro       7   6 183  469.714791 1288.732996  3.0    1e-09 2p.4p_1P1.0  110   2
LevMacro       7   6 184  469.802077 1288.820282  1.0    1e-09 2p.4s_3P0.0  311  13
LevMacro       7   6 185  469.820179 1288.838383  3.0    1e-09 2p.4s_3P1.0  311  13
LevMacro       7   6 186  469.856630 1288.874835  5.0    1e-09 2p.4s_3P2.0  311  13
LevMacro       7   6 187  470.110427 1289.128632  5.0    1e-09 2s.4d_1D2.0  120  10
LevMacro       7   6 188  470.204780 1289.222984  5.0    1e-09 2p.4d_3F2.0  331   7
LevMacro       7   6 189  470.223997 1289.242202  7.0    1e-09 2p.4d_3F3.0  331   7
LevMacro       7   6 190  470.248174 1289.266379  9.0    1e-09 2p.4d_3F4.0  331   7
LevMacro       7   6 191  470.453989 1289.472194  5.0    1e-09 2p.4d_1D2.0  121   2
LevMacro       7   6 192  470.550201 1289.568406  3.0    1e-09 2s.4d_3D1.0  320  10
LevMacro       7   6 193  470.562104 1289.580309  5.0    1e-09 2s.4d_3D2.0  320  10
LevMacro       7   6 194  470.568551 1289.586756  1.0    1e-09 2p.4p_3P0.0  310   3
LevMacro       7   6 195  470.584173 1289.602378  7.0    1e-09 2s.4d_3D3.0  320  10
LevMacro       7   6 196  470.585165 1289.603370  3.0    1e-09 2p.4p_3P1.0  310   3
LevMacro       7   6 197  470.613930 1289.632134  5.0    1e-09 2p.4p_3P2.0  310   3
LevMacro       7   6 198  470.981297 1289.999502  3.0    1e-09 2p.4d_3D1.0  321   2
LevMacro       7   6 199  470.990348 1290.008553  5.0    1e-09 2p.4d_3D2.0  321   2
LevMacro       7   6 200  471.003366 1290.021571  7.0    1e-09 2p.4d_3D3.0  321   2
LevMacro       7   6 201  471.055688 1290.073893  7.0    1e-09 2s.4f_1F3.0  131   7
LevMacro       7   6 202  471.063747 1290.081952  5.0    1e-09 2s.4f_3F2.0  331   8
LevMacro       7   6 203  471.072550 1290.090755  7.0    1e-09 2s.4f_3F3.0  331   8
LevMacro       7   6 204  471.081601 1290.099805  3.0    1e-09 2p.4p_3S1.0  300  11
LevMacro       7   6 205  471.081973 1290.100177  9.0    1e-09 2s.4f_3F4.0  331   8
LevMacro       7   6 206  471.110985 1290.129190  7.0    1e-09 2p.4f_1F3.0  130   1
LevMacro       7   6 207  471.157975 1290.176180  5.0    1e-09 2p.4f_3F2.0  330   1
LevMacro       7   6 208  471.161943 1290.180148  3.0    1e-09 2p.4s_1P1.0  111  13
LevMacro       7   6 209  471.163431 1290.181635  7.0    1e-09 2p.4f_3F3.0  330   1
LevMacro       7   6 210  471.171118 1290.189323  9.0    1e-09 2p.4f_3F4.0  330   1
LevMacro       7   6 211  471.351144 1290.369349  7.0    1e-09 2p.4f_3G3.0  340   5
LevMacro       7   6 212  471.371725 1290.389930  9.0    1e-09 2p.4f_3G4.0  340   5
LevMacro       7   6 213  471.402721 1290.420926 11.0    1e-09 2p.4f_3G5.0  340   5
LevMacro       7   6 214  471.616719 1290.634924  9.0    1e-09 2p.4f_1G4.0  140   5
LevMacro       7   6 215  471.631474 1290.649678  5.0    1e-09 2p.4d_3P2.0  311  14
LevMacro       7   6 216  471.644740 1290.662945  3.0    1e-09 2p.4d_3P1.0  311  14
LevMacro       7   6 217  471.651311 1290.669516  1.0    1e-09 2p.4d_3P0.0  311  14
LevMacro       7   6 218  471.692474 1290.710679  5.0    1e-09 2p.4p_1D2.0  120  11
LevMacro       7   6 219  471.840016 1290.858221  7.0    1e-09 2p.4f_3D3.0  320  11
LevMacro       7   6 220  471.860102 1290.878306  5.0    1e-09 2p.4f_3D2.0  320  11
LevMacro       7   6 221  471.875104 1290.893309  3.0    1e-09 2p.4f_3D1.0  320  11
LevMacro       7   6 222  472.007520 1291.025724  7.0    1e-09 2p.4d_1F3.0  131   8
LevMacro       7   6 223  472.096789 1291.114994  5.0    1e-09 2p.4f_1D2.0  120  12
LevMacro       7   6 224  472.588513 1291.606718  3.0    1e-09 2p.4d_1P1.0  111  14
LevMacro       7   6 225  472.887812 1291.906017  1.0    1e-09 2p.4p_1S0.0  100  14
LevMacro       7   6 226  480.637983 1299.656188  3.0    1e-09 2s.5s_3S1.0  300  12
LevMacro       7   6 227  480.891656 1299.909861  3.0    1e-09 2s.5p_1P1.0  111  15
LevMacro       7   6 228  480.906658 1299.924863  1.0    1e-09 2s.5s_1S0.0  100  15
LevMacro       7   6 229  481.072426 1300.090631  1.0    1e-09 2s.5p_3P0.0  311  15
LevMacro       7   6 230  481.075773 1300.093978  3.0    1e-09 2s.5p_3P1.0  311  15
LevMacro       7   6 231  481.081849 1300.100053  5.0    1e-09 2s.5p_3P2.0  311  15
LevMacro       7   6 232  481.320272 1300.338476  3.0    1e-09 2s.5d_3D1.0  320  12
LevMacro       7   6 233  481.328702 1300.346907  5.0    1e-09 2s.5d_3D2.0  320  12
LevMacro       7   6 234  481.340977 1300.359182  7.0    1e-09 2s.5d_3D3.0  320  12
LevMacro       7   6 235  481.613000 1300.631205  5.0    1e-09 2s.5d_1D2.0  120  13
LevMacro       7   6 236  481.678340 1300.696545  1.0    1e-09 2p.5s_3P0.0  311  16
LevMacro       7   6 237  481.696938 1300.715142  3.0    1e-09 2p.5s_3P1.0  311  16
LevMacro       7   6 238  481.704749 1300.722953  3.0    1e-09 2p.5p_1P1.0  110   3
LevMacro       7   6 239  481.732149 1300.750354  5.0    1e-09 2s.5f_3F2.0  331   9
LevMacro       7   6 240  481.736117 1300.754322  5.0    1e-09 2p.5s_3P2.0  311  16
LevMacro       7   6 241  481.741076 1300.759281  7.0    1e-09 2s.5f_3F3.0  331   9
LevMacro       7   6 242  481.752235 1300.770440  9.0    1e-09 2s.5f_3F4.0  331   9
LevMacro       7   6 243  481.982351 1301.000556  3.0    1e-09 2p.5p_3D1.0  320  13
LevMacro       7   6 244  481.985078 1301.003283  7.0    1e-09 2s.5g_3G3.0  340   6
LevMacro       7   6 245  481.985326 1301.003531  9.0    1e-09 2s.5g_3G4.0  340   6
LevMacro       7   6 246  481.985698 1301.003903 11.0    1e-09 2s.5g_3G5.0  340   6
