   Dtype z ion          Wave            f   gl   gu          el          eu  ll  ul
-------- - --- ------------- ------------ ---- ---- ----------- ----------- --- ---
LinMacro 7   6     29.534700     0.000001  1.0  3.0    0.000000  419.794185   1   2
LinMacro 7   6   1907.632400     0.012533  3.0  1.0  419.794185  426.293596   2   3
LinMacro 7   6     29.084300     0.000043  1.0  3.0    0.000000  426.294588   1   4
LinMacro 7   6   1907.341400     0.037667  3.0  3.0  419.794185  426.294588   2   4
LinMacro 7   6     29.081900     0.000001  1.0  5.0    0.000000  426.330668   1   5
LinMacro 7   6   1896.813400     0.063000  3.0  5.0  419.794185  426.330668   2   5
LinMacro 7   6     29.070587     0.000001  1.0  1.0    0.000000  426.416961   1   6
LinMacro 7   6 101317.122600     0.000001  3.0  1.0  426.294588  426.416961   4   6
LinMacro 7   6     28.787000     0.696000  1.0  3.0    0.000000  430.698035   1   7
LinMacro 7   6    180.639400     0.019300  1.0  3.0  426.293596  494.930259   3   8
LinMacro 7   6    180.642000     0.019300  3.0  3.0  426.294588  494.930259   4   8
LinMacro 7   6    180.737000     0.019280  5.0  3.0  426.330668  494.930259   5   8
LinMacro 7   6    161.209700     0.036333  3.0  1.0  419.794185  496.703242   2   9
LinMacro 7   6   6993.007000     0.020933  3.0  1.0  494.930259  496.703242   8   9
LinMacro 7   6     24.961600     0.000009  1.0  3.0    0.000000  496.703242   1  10
LinMacro 7   6    161.209700     0.109000  3.0  3.0  419.794185  496.703242   2  10
LinMacro 7   6   6993.007000     0.063000  3.0  3.0  494.930259  496.703242   8  10
LinMacro 7   6    161.209700     0.181667  3.0  5.0  419.794185  496.703242   2  11
LinMacro 7   6   6993.007000     0.106000  3.0  5.0  494.930259  496.703242   8  11
LinMacro 7   6    187.897500     0.022033  3.0  1.0  430.698035  496.683405   7  12
LinMacro 7   6    173.855900     0.660000  1.0  3.0  426.293596  497.608332   3  13
LinMacro 7   6    173.858300     0.165000  3.0  3.0  426.294588  497.608332   4  13
LinMacro 7   6    173.946300     0.006600  5.0  3.0  426.330668  497.608332   5  13
LinMacro 7   6    173.858300     0.493333  3.0  5.0  426.294588  497.608332   4  14
LinMacro 7   6    173.946300     0.098400  5.0  5.0  426.330668  497.608332   5  14
LinMacro 7   6    185.300100     0.003600  3.0  5.0  430.698035  497.608332   7  14
LinMacro 7   6    173.946300     0.554000  5.0  7.0  426.330668  497.608332   5  15
LinMacro 7   6     24.914200     2.660000  1.0  5.0    0.000000  497.646767   1  16
LinMacro 7   6    173.764700     0.002277  3.0  5.0  426.294588  497.646767   4  16
LinMacro 7   6    173.852600     0.000596  5.0  5.0  426.330668  497.646767   5  16
LinMacro 7   6    185.193800     0.706667  3.0  5.0  430.698035  497.646767   7  16
LinMacro 7   6     24.898000     0.154000  1.0  3.0    0.000000  497.971607   1  17
LinMacro 7   6    173.273000     0.371000  1.0  3.0  426.416961  497.971607   6  17
LinMacro 7   6    131.834100     0.003480  1.0  3.0  426.293596  520.339719   3  18
LinMacro 7   6    131.835500     0.003467  3.0  3.0  426.294588  520.339719   4  18
LinMacro 7   6    131.886100     0.003480  5.0  3.0  426.330668  520.339719   5  18
LinMacro 7   6    524.548900     0.046900  1.0  3.0  496.703242  520.339719   9  18
LinMacro 7   6    524.548900     0.047000  3.0  3.0  496.703242  520.339719  10  18
LinMacro 7   6    524.548900     0.046800  5.0  3.0  496.703242  520.339719  11  18
LinMacro 7   6    122.433500     0.008967  3.0  1.0  419.794185  521.061311   2  19
LinMacro 7   6    474.473300     0.039000  3.0  1.0  494.930259  521.061311   8  19
LinMacro 7   6    528.653000     0.008167  3.0  1.0  497.608332  521.061311  13  19
LinMacro 7   6  17182.130600     0.028567  3.0  1.0  520.339719  521.061311  18  19
LinMacro 7   6     23.794700     0.000004  1.0  3.0    0.000000  521.061311   1  20
LinMacro 7   6    122.433500     0.026867  3.0  3.0  419.794185  521.061311   2  20
LinMacro 7   6    474.473300     0.117333  3.0  3.0  494.930259  521.061311   8  20
