   Dtype Element Ion lvl     ion_pot          ex    g rad_rate   config islp ilv
-------- ------- --- --- ----------- ----------- ---- -------- -------- ---- ---
LevMacro       7   7   1 -667.046000  819.018205  2.0    1e+21 1s_2S0.5  200   1
LevMacro       7   7   2 -166.790988 1319.273217  2.0    1e-09 2s_2S0.5  200   2
LevMacro       7   7   3 -166.796636 1319.267569  2.0    1e-09 2p_2P0.5  211   1
LevMacro       7   7   4 -166.687491 1319.376715  4.0    1e-09 2p_2P1.5  211   1
LevMacro       7   7   5  -74.115975 1411.948230  2.0    1e-09 3s_2S0.5  200   3
LevMacro       7   7   6  -74.117662 1411.946543  2.0    1e-09 3p_2P0.5  211   2
LevMacro       7   7   7  -74.085322 1411.978883  4.0    1e-09 3p_2P1.5  211   2
LevMacro       7   7   8  -74.085376 1411.978830  4.0    1e-09 3d_2D1.5  220   1
LevMacro       7   7   9  -74.074609 1411.989597  6.0    1e-09 3d_2D2.5  220   1
LevMacro       7   7  10  -41.683745 1444.380460  2.0    1e-09 4s_2S0.5  200   4
LevMacro       7   7  11  -41.684459 1444.379746  2.0    1e-09 4p_2P0.5  211   3
LevMacro       7   7  12  -41.670817 1444.393388  4.0    1e-09 4p_2P1.5  211   3
LevMacro       7   7  13  -41.670840 1444.393366  4.0    1e-09 4d_2D1.5  220   2
LevMacro       7   7  14  -41.666297 1444.397908  6.0    1e-09 4d_2D2.5  220   2
LevMacro       7   7  15  -41.666305 1444.397900  6.0    1e-09 4f_2F2.5  231   1
LevMacro       7   7  16  -41.664034 1444.400171  8.0    1e-09 4f_2F3.5  231   1
LevMacro       7   7  17  -26.674048 1459.390157  2.0    1e-09 5s_2S0.5  200   5
LevMacro       7   7  18  -26.674415 1459.389790  2.0    1e-09 5p_2P0.5  211   4
LevMacro       7   7  19  -26.667430 1459.396775  4.0    1e-09 5p_2P1.5  211   4
LevMacro       7   7  20  -26.667442 1459.396763  4.0    1e-09 5d_2D1.5  220   3
LevMacro       7   7  21  -26.665116 1459.399089  6.0    1e-09 5d_2D2.5  220   3
LevMacro       7   7  22  -26.665120 1459.399085  6.0    1e-09 5f_2F2.5  231   2
LevMacro       7   7  23  -26.663957 1459.400248  8.0    1e-09 5f_2F3.5  231   2
LevMacro       7   7  24  -26.663960 1459.400246  8.0    1e-09 5g_2G3.5  240   1
LevMacro       7   7  25  -26.663263 1459.400942 10.0    1e-09 5g_2G4.5  240   1
LevMacro       7   8   1    0.000000 1486.064205  1.0    1e+21     Next    0   0
