   Dtype z ion               Wave         f  gl   gu         el         eu ll ul
-------- - --- ------------------ --------- --- ---- ---------- ---------- -- --
LinMacro 7   7            24.7843  0.000001 2.0  2.0   0.000000 500.255012  1  2
LinMacro 7   7 24.779744531187962  0.000001 2.0  2.0   0.000000 500.255012  1  2
LinMacro 7   7            24.7846  0.138600 2.0  2.0   0.000000 500.249365  1  3
LinMacro 7   7            24.7792  0.277600 2.0  4.0   0.000000 500.358510  1  4
LinMacro 7   7            133.776  0.013590 2.0  2.0 500.249365 592.930025  3  5
LinMacro 7   7            133.934  0.013590 4.0  2.0 500.358510 592.930025  4  5
LinMacro 7   7            20.9106  0.026340 2.0  2.0   0.000000 592.928338  1  6
LinMacro 7   7            133.787  0.144800 2.0  2.0 500.255012 592.928338  2  6
LinMacro 7   7            20.9095  0.052750 2.0  4.0   0.000000 592.960678  1  7
LinMacro 7   7             133.74  0.290100 2.0  4.0 500.255012 592.960678  2  7
LinMacro 7   7            133.732  0.696000 2.0  4.0 500.249365 592.960625  3  8
LinMacro 7   7             133.89  0.069575 4.0  4.0 500.358510 592.960625  4  8
LinMacro 7   7            133.874  0.626250 4.0  6.0 500.358510 592.971392  4  9
LinMacro 7   7             99.098  0.003045 2.0  2.0 500.249365 625.362255  3 10
LinMacro 7   7             99.185  0.003045 4.0  2.0 500.358510 625.362255  4 10
LinMacro 7   7            382.269  0.032250 2.0  2.0 592.928338 625.362255  6 10
LinMacro 7   7            382.651  0.032250 4.0  2.0 592.960678 625.362255  7 10
LinMacro 7   7            19.8261  0.009655 2.0  2.0   0.000000 625.361541  1 11
LinMacro 7   7             99.103  0.034230 2.0  2.0 500.255012 625.361541  2 11
LinMacro 7   7            382.298  0.161400 2.0  2.0 592.930025 625.361541  5 11
LinMacro 7   7            382.659  0.009158 4.0  2.0 592.960625 625.361541  8 11
LinMacro 7   7            19.8257  0.019335 2.0  4.0   0.000000 625.375183  1 12
LinMacro 7   7             99.093  0.068550 2.0  4.0 500.255012 625.375183  2 12
LinMacro 7   7            382.137  0.323300 2.0  4.0 592.930025 625.375183  5 12
LinMacro 7   7            382.497  0.001832 4.0  4.0 592.960625 625.375183  8 12
LinMacro 7   7            382.625  0.010990 6.0  4.0 592.971392 625.375183  9 12
LinMacro 7   7             99.088  0.121800 2.0  4.0 500.249365 625.375161  3 13
LinMacro 7   7             99.175  0.012180 4.0  4.0 500.358510 625.375161  4 13
LinMacro 7   7            382.117  0.618500 2.0  4.0 592.928338 625.375161  6 13
LinMacro 7   7            382.498  0.061825 4.0  4.0 592.960678 625.375161  7 13
LinMacro 7   7             99.171  0.109625 4.0  6.0 500.358510 625.379704  4 14
LinMacro 7   7            382.445  0.556500 4.0  6.0 592.960678 625.379704  7 14
LinMacro 7   7            382.444  1.018000 4.0  6.0 592.960625 625.379695  8 15
LinMacro 7   7            382.571  0.048483 6.0  6.0 592.971392 625.379695  9 15
LinMacro 7   7            382.545  0.969500 6.0  8.0 592.971392 625.381966  9 16
LinMacro 7   7             88.483  0.001213 2.0  2.0 500.249365 640.371952  3 17
LinMacro 7   7             88.552  0.001213 4.0  2.0 500.358510 640.371952  4 17
LinMacro 7   7            261.331  0.007430 2.0  2.0 592.928338 640.371952  6 17
LinMacro 7   7            261.509  0.007428 4.0  2.0 592.960678 640.371952  7 17
LinMacro 7   7            825.993  0.052900 2.0  2.0 625.361541 640.371952 11 17
LinMacro 7   7            826.744  0.052900 4.0  2.0 625.375183 640.371952 12 17
LinMacro 7   7            19.3614  0.004642 2.0  2.0   0.000000 640.371585  1 18
LinMacro 7   7             88.487  0.013965 2.0  2.0 500.255012 640.371585  2 18
LinMacro 7   7            261.342  0.040295 2.0  2.0 592.930025 640.371585  5 18
LinMacro 7   7            826.052  0.181200 2.0  2.0 625.362255 640.371585 10 18
LinMacro 7   7            261.511  0.001842 4.0  2.0 592.960625 640.371585  8 18
LinMacro 7   7            826.763  0.023183 4.0  2.0 625.375161 640.371585 13 18
LinMacro 7   7            19.3612  0.009300 2.0  4.0   0.000000 640.378570  1 19
LinMacro 7   7             88.483  0.027965 2.0  4.0 500.255012 640.378570  2 19
LinMacro 7   7            261.304  0.080700 2.0  4.0 592.930025 640.378570  5 19
LinMacro 7   7            825.668  0.363000 2.0  4.0 625.362255 640.378570 10 19
LinMacro 7   7            261.472  0.000369 4.0  4.0 592.960625 640.378570  8 19
LinMacro 7   7            261.532  0.002210 6.0  4.0 592.971392 640.378570  9 19
LinMacro 7   7            826.378  0.004638 4.0  4.0 625.375161 640.378570 13 19
LinMacro 7   7            826.628  0.027817 6.0  4.0 625.379704 640.378570 14 19
LinMacro 7   7             88.479  0.044370 2.0  4.0 500.249365 640.378558  3 20
LinMacro 7   7             88.548  0.004437 4.0  4.0 500.358510 640.378558  4 20
LinMacro 7   7            261.295  0.139200 2.0  4.0 592.928338 640.378558  6 20
LinMacro 7   7            261.473  0.013920 4.0  4.0 592.960678 640.378558  7 20
LinMacro 7   7            825.629  0.609500 2.0  4.0 625.361541 640.378558 11 20
LinMacro 7   7             826.38  0.060925 4.0  4.0 625.375183 640.378558 12 20
LinMacro 7   7             88.546  0.039925 4.0  6.0 500.358510 640.380884  4 21
LinMacro 7   7             261.46  0.125275 4.0  6.0 592.960678 640.380884  7 21
LinMacro 7   7            826.252  0.548250 4.0  6.0 625.375183 640.380884 12 21
LinMacro 7   7            826.251  0.890250 4.0  6.0 625.375161 640.380880 13 22
LinMacro 7   7            826.501  0.042400 6.0  6.0 625.379704 640.380880 14 22
LinMacro 7   7            826.437  0.848000 6.0  8.0 625.379704 640.382043 14 23
LinMacro 7   7            826.437  1.346000 6.0  8.0 625.379695 640.382041 15 24
LinMacro 7   7            826.523  1.308750 8.0 10.0 625.381966 640.382738 16 25
