   Dtype z ion       Wave         f  gl  gu         el         eu ll ul
-------- - --- ---------- --------- --- --- ---------- ---------- -- --
LinMacro 8   1  631851.64  0.000001 5.0 3.0   0.000000   0.019622  1  2
LinMacro 8   1  440573.27  0.000001 5.0 1.0   0.000000   0.028142  1  3
LinMacro 8   1 1455349.87  0.000001 3.0 1.0   0.019622   0.028142  2  3
LinMacro 8   1     6393.5  0.000001 1.0 5.0   0.028142   1.967375  3  4
LinMacro 8   1   6365.536  0.000001 3.0 5.0   0.019622   1.967375  2  4
LinMacro 8   1   6302.046  0.000001 5.0 5.0   0.000000   1.967375  1  4
LinMacro 8   1   2959.229  0.000001 5.0 1.0   0.000000   4.189769  1  5
LinMacro 8   1   2973.154  0.000001 3.0 1.0   0.019622   4.189769  2  5
LinMacro 8   1   5578.887  0.000001 5.0 1.0   1.967375   4.189769  4  5
LinMacro 8   1   1358.512  0.000001 3.0 5.0   0.019622   9.146141  2  6
LinMacro 8   1   1355.598  0.000001 5.0 5.0   0.000000   9.146141  1  6
LinMacro 8   1   1727.106  0.000001 5.0 5.0   1.967375   9.146141  4  6
LinMacro 8   1   1306.029  0.047770 1.0 3.0   0.028142   9.521416  3  7
LinMacro 8   1   1304.858  0.047833 3.0 3.0   0.019622   9.521416  2  7
LinMacro 8   1   1302.168  0.048040 5.0 3.0   0.000000   9.521416  1  7
LinMacro 8   1   1641.305  0.000001 5.0 3.0   1.967375   9.521416  4  7
