   Dtype Element Ion lvl    ion_pot        ex    g rad_rate           config islp ilv
-------- ------- --- --- ---------- --------- ---- -------- ---------------- ---- ---
LevMacro       8   2   1 -35.117281 13.618054  4.0    1e+21    2s2_2p3_4S1.5  401   1
LevMacro       8   2   2 -31.790693 16.944642  4.0    1e-09    2s2_2p3_2D1.5  221   1
LevMacro       8   2   3 -31.793148 16.942187  6.0    1e-09    2s2_2p3_2D2.5  221   1
LevMacro       8   2   4 -30.099626 18.635709  2.0    1e-09    2s2_2p3_2P0.5  211   1
LevMacro       8   2   5 -30.099874 18.635461  4.0    1e-09    2s2_2p3_2P1.5  211   1
LevMacro       8   2   6 -20.259281 28.476054  6.0    1e-09     2s_2p4_4P2.5  410   1
LevMacro       8   2   7 -20.239047 28.496288  4.0    1e-09     2s_2p4_4P1.5  410   1
LevMacro       8   2   8 -20.228818 28.506517  2.0    1e-09     2s_2p4_4P0.5  410   1
LevMacro       8   2   9 -14.536226 34.199109  4.0    1e-09     2s_2p4_2D1.5  220   1
LevMacro       8   2  10 -14.537218 34.198117  6.0    1e-09     2s_2p4_2D2.5  220   1
LevMacro       8   2  11 -12.150918 36.584417  2.0    1e-09 2s2_2p2_3s_4P0.5  410   2
LevMacro       8   2  12 -12.137863 36.597472  4.0    1e-09 2s2_2p2_3s_4P1.5  410   2
LevMacro       8   2  13 -12.118199 36.617136  6.0    1e-09 2s2_2p2_3s_4P2.5  410   2
LevMacro       8   2  14 -11.697964 37.037371  2.0    1e-09 2s2_2p2_3s_2P0.5  210   1
LevMacro       8   2  15 -11.675647 37.059688  4.0    1e-09 2s2_2p2_3s_2P1.5  210   1
LevMacro       8   2  16 -10.852152 37.883183  2.0    1e-09     2s_2p4_2S0.5  200   1
LevMacro       8   2  17  -9.831533 38.903802  2.0    1e-09 2s2_2p2_3p_2S0.5  201   1
LevMacro       8   2  18  -9.485802 39.249533  2.0    1e-09 2s2_2p2_3p_4D0.5  421   1
LevMacro       8   2  19  -9.478920 39.256415  4.0    1e-09 2s2_2p2_3p_4D1.5  421   1
LevMacro       8   2  20  -9.467563 39.267772  6.0    1e-09 2s2_2p2_3p_4D2.5  421   1
LevMacro       8   2  21  -9.452115 39.283220  8.0    1e-09 2s2_2p2_3p_4D3.5  421   1
LevMacro       8   2  22  -9.285529 39.449806  2.0    1e-09 2s2_2p2_3p_4P0.5  411   1
LevMacro       8   2  23  -9.279801 39.455534  4.0    1e-09 2s2_2p2_3p_4P1.5  411   1
LevMacro       8   2  24  -9.455797 39.279538  4.0    1e-09 2s2_2p2_3s_2D1.5  220   2
LevMacro       8   2  25  -9.455921 39.279414  6.0    1e-09 2s2_2p2_3s_2D2.5  220   2
LevMacro       8   2  26  -9.268394 39.466941  6.0    1e-09 2s2_2p2_3p_4P2.5  411   1
LevMacro       8   2  27  -8.891740 39.843595  4.0    1e-09 2s2_2p2_3p_2D1.5  221   2
LevMacro       8   2  28  -8.868109 39.867226  6.0    1e-09 2s2_2p2_3p_2D2.5  221   2
LevMacro       8   2  29  -8.812427 39.922908  4.0    1e-09 2s2_2p2_3p_4S1.5  401   2
LevMacro       8   2  30  -8.563453 40.171882  2.0    1e-09 2s2_2p2_3p_2P0.5  211   2
LevMacro       8   2  31  -8.556051 40.179284  4.0    1e-09 2s2_2p2_3p_2P1.5  211   2
LevMacro       8   2  32  -8.758878 39.976457  4.0    1e-09     2s_2p4_2P1.5  210   2
LevMacro       8   2  33  -8.737987 39.997348  2.0    1e-09     2s_2p4_2P0.5  210   2
LevMacro       8   2  34  -6.525191 42.210143  2.0    1e-09 2s2_2p2_3s_2S0.5  200   2
LevMacro       8   2  35  -6.758990 41.976345  6.0    1e-09 2s2_2p2_3p_2F2.5  231   1
LevMacro       8   2  36  -6.756051 41.979284  8.0    1e-09 2s2_2p2_3p_2F3.5  231   1
LevMacro       8   2  37  -6.440063 42.295271  4.0    1e-09 2s2_2p2_3d_4F1.5  430   1
LevMacro       8   2  38  -6.433368 42.301967  6.0    1e-09 2s2_2p2_3d_4F2.5  430   1
LevMacro       8   2  39  -6.423710 42.311625  8.0    1e-09 2s2_2p2_3d_4F3.5  430   1
LevMacro       8   2  40  -6.411039 42.324296 10.0    1e-09 2s2_2p2_3d_4F4.5  430   1
LevMacro       8   2  41  -6.607319 42.128016  6.0    1e-09 2s2_2p2_3p_2D2.5  221   2
LevMacro       8   2  42  -6.604678 42.130657  4.0    1e-09 2s2_2p2_3p_2D1.5  221   2
LevMacro       8   2  43  -6.264563 42.470772  2.0    1e-09 2s2_2p2_3d_4D0.5  420   1
LevMacro       8   2  44  -6.260298 42.475037  4.0    1e-09 2s2_2p2_3d_4D1.5  420   1
LevMacro       8   2  45  -6.260099 42.475236  6.0    1e-09 2s2_2p2_3d_4D2.5  420   1
LevMacro       8   2  46  -6.259331 42.476004  8.0    1e-09 2s2_2p2_3d_4D3.5  420   1
LevMacro       8   2  47  -6.295423 42.439912  6.0    1e-09 2s2_2p2_3d_4P2.5  410   3
LevMacro       8   2  48  -6.286335 42.449000  4.0    1e-09 2s2_2p2_3d_4P1.5  410   3
LevMacro       8   2  49  -6.278090 42.457245  2.0    1e-09 2s2_2p2_3d_4P0.5  410   3
