   Dtype z ion           Wave         f   gl   gu         el         eu  ll  ul
-------- - --- -------------- --------- ---- ---- ---------- ---------- --- ---
LinMacro 8   2    3727.092000  0.000001  4.0  4.0   0.000000   3.326589   1   2
LinMacro 8   2    3729.844000  0.000001  4.0  6.0   0.000000   3.324134   1   3
LinMacro 8   2 1000000.000000  0.000001  4.0  6.0   3.326589   3.324134   2   3
# LinMacro 8   2    2470.970000  0.000001  4.0  2.0   0.000000   5.017655   1   4
LinMacro 8   2    7331.723000  0.000001  4.0  2.0   3.326589   5.017655   2   4
LinMacro 8   2    7321.094000  0.000001  6.0  2.0   3.324134   5.017655   3   4
LinMacro 8   2    2471.094000  0.000001  4.0  4.0   0.000000   5.017407   1   5
LinMacro 8   2    7332.808000  0.000001  4.0  4.0   3.326589   5.017407   2   5
LinMacro 8   2    7322.177000  0.000001  6.0  4.0   3.324134   5.017407   3   5
LinMacro 8   2     834.465000  0.133200  4.0  6.0   0.000000  14.858000   1   6
LinMacro 8   2     833.330000  0.089000  4.0  4.0   0.000000  14.878234   1   7
LinMacro 8   2     832.758000  0.044550  4.0  2.0   0.000000  14.888463   1   8
LinMacro 8   2     718.567000  0.143000  4.0  4.0   3.326589  20.581055   2   9
LinMacro 8   2     718.464000  0.010330  6.0  4.0   3.324134  20.581055   3   9
LinMacro 8   2     796.644000  0.031490  2.0  4.0   5.017655  20.581055   4   9
LinMacro 8   2     796.631000  0.002662  4.0  4.0   5.017407  20.581055   5   9
LinMacro 8   2     718.608000  0.015100  4.0  6.0   3.326589  20.580063   2  10
LinMacro 8   2     718.506000  0.147200  6.0  6.0   3.324134  20.580063   3  10
LinMacro 8   2     796.682000  0.029000  4.0  6.0   5.017407  20.580063   5  10
LinMacro 8   2     539.854000  0.018392  4.0  2.0   0.000000  22.966363   1  11
LinMacro 8   2     631.295000  0.000005  4.0  2.0   3.326589  22.966363   2  11
LinMacro 8   2     690.764000  0.000003  4.0  2.0   5.017407  22.966363   5  11
LinMacro 8   2     539.547000  0.036800  4.0  4.0   0.000000  22.979419   1  12
LinMacro 8   2     630.875000  0.000003  4.0  4.0   3.326589  22.979419   2  12
LinMacro 8   2     630.796000  0.000013  6.0  4.0   3.324134  22.979419   3  12
LinMacro 8   2     690.262000  0.000002  4.0  4.0   5.017407  22.979419   5  12
LinMacro 8   2     539.086000  0.055150  4.0  6.0   0.000000  22.999083   1  13
LinMacro 8   2     617.063000  0.088375  4.0  2.0   3.326589  23.419317   2  14
LinMacro 8   2     673.770000  0.027750  2.0  2.0   5.017655  23.419317   4  14
LinMacro 8   2     673.761000  0.006667  4.0  2.0   5.017407  23.419317   5  14
LinMacro 8   2     528.909000  0.000003  4.0  4.0   0.000000  23.441634   1  15
LinMacro 8   2     616.379000  0.016290  4.0  4.0   3.326589  23.441634   2  15
LinMacro 8   2     616.304000  0.105483  6.0  4.0   3.324134  23.441634   3  15
LinMacro 8   2     672.954000  0.014625  2.0  4.0   5.017655  23.441634   4  15
LinMacro 8   2     672.945000  0.036350  4.0  4.0   5.017407  23.441634   5  15
LinMacro 8   2     592.137000  0.000008  4.0  2.0   3.326589  24.265129   2  16
LinMacro 8   2     644.162000  0.111100  2.0  2.0   5.017655  24.265129   4  16
LinMacro 8   2     644.153000  0.107200  4.0  2.0   5.017407  24.265129   5  16
LinMacro 8   2     564.616000  0.000001  4.0  2.0   3.326589  25.285748   2  17
LinMacro 8   2     564.552000  0.000001  6.0  2.0   3.324134  25.285748   3  17
LinMacro 8   2    1192.473000  0.000001  2.0  2.0  14.888463  25.285748   8  17
LinMacro 8   2    2635.342000  0.000001  4.0  2.0  20.581055  25.285748   9  17
LinMacro 8   2    6723.247000  0.052575  4.0  2.0  23.441634  25.285748  15  17
LinMacro 8   2    6642.877000  0.055450  2.0  2.0  23.419317  25.285748  14  17
LinMacro 8   2    5345.593000  0.000031  2.0  2.0  22.966363  25.285748  11  17
LinMacro 8   2    5375.852000  0.000066  4.0  2.0  22.979419  25.285748  12  17
LinMacro 8   2    1191.302000  0.000002  4.0  2.0  14.878234  25.285748   7  17
LinMacro 8   2     483.721000  0.000001  4.0  2.0   0.000000  25.631480   1  18
LinMacro 8   2    1154.097000  0.000924  2.0  2.0  14.888463  25.631480   8  18
LinMacro 8   2    2454.939000  0.000001  4.0  2.0  20.581055  25.631480   9  18
LinMacro 8   2    4652.143000  0.218600  2.0  2.0  22.966363  25.631480  11  18
LinMacro 8   2    4675.044000  0.019762  4.0  2.0  22.979419  25.631480  12  18
LinMacro 8   2    1153.000000  0.000061  4.0  2.0  14.878234  25.631480   7  18
LinMacro 8   2     483.591000  0.000001  4.0  4.0   0.000000  25.638361   1  19
LinMacro 8   2    1153.358000  0.001100  2.0  4.0  14.888463  25.638361   8  19
LinMacro 8   2    4697.665000  0.006982  6.0  4.0  22.999083  25.638361  13  19
LinMacro 8   2    5587.304000  0.000007  2.0  4.0  23.419317  25.638361  14  19
LinMacro 8   2    2451.114000  0.000001  6.0  4.0  20.580063  25.638361  10  19
LinMacro 8   2    4640.156000  0.229700  2.0  4.0  22.966363  25.638361  11  19
LinMacro 8   2    4662.939000  0.132475  4.0  4.0  22.979419  25.638361  12  19
LinMacro 8   2    1152.262000  0.000484  4.0  4.0  14.878234  25.638361   7  19
LinMacro 8   2    1150.099000  0.000012  6.0  4.0  14.858000  25.638361   6  19
LinMacro 8   2     483.377000  0.000001  4.0  6.0   0.000000  25.649718   1  20
LinMacro 8   2    4677.542000  0.068683  6.0  6.0  22.999083  25.649718  13  20
LinMacro 8   2    5615.030000  0.000009  4.0  6.0  23.441634  25.649718  15  20
LinMacro 8   2    4643.112000  0.284000  4.0  6.0  22.979419  25.649718  12  20
LinMacro 8   2    1148.889000  0.000184  6.0  6.0  14.858000  25.649718   6  20
LinMacro 8   2    1151.048000  0.001310  4.0  6.0  14.878234  25.649718   7  20
LinMacro 8   2     483.086000  0.000001  4.0  8.0   0.000000  25.665166   1  21
LinMacro 8   2    4650.440000  0.344667  6.0  8.0  22.999083  25.665166  13  21
LinMacro 8   2    2438.195000  0.000003  6.0  8.0  20.580063  25.665166  10  21
LinMacro 8   2    1147.247000  0.001373  6.0  8.0  14.858000  25.665166   6  21
LinMacro 8   2    1132.975000  0.002590  2.0  2.0  14.888463  25.831753   8  22
LinMacro 8   2    5187.374000  0.000054  4.0  2.0  23.441634  25.831753  15  22
LinMacro 8   2    5139.398000  0.000047  2.0  2.0  23.419317  25.831753  14  22
LinMacro 8   2    4326.979000  0.039500  2.0  2.0  22.966363  25.831753  11  22
LinMacro 8   2    4346.784000  0.109275  4.0  2.0  22.979419  25.831753  12  22
LinMacro 8   2    1131.918000  0.006635  4.0  2.0  14.878234  25.831753   7  22
LinMacro 8   2    1132.383000  0.012750  2.0  4.0  14.888463  25.837481   8  23
LinMacro 8   2    4368.118000  0.076683  6.0  4.0  22.999083  25.837481  13  23
LinMacro 8   2    5174.979000  0.000003  4.0  4.0  23.441634  25.837481  15  23
LinMacro 8   2    4318.352000  0.205200  2.0  4.0  22.966363  25.837481  11  23
LinMacro 8   2    2358.281000  0.000001  6.0  4.0  20.580063  25.837481  10  23
LinMacro 8   2    4338.077000  0.040850  4.0  4.0  22.979419  25.837481  12  23
LinMacro 8   2    1129.242000  0.004950  6.0  4.0  14.858000  25.837481   6  23
LinMacro 8   2    1131.327000  0.002084  4.0  4.0  14.878234  25.837481   7  23
LinMacro 8   2     555.117000  0.036275  4.0  4.0   3.326589  25.661484   2  24
LinMacro 8   2     555.056000  0.002467  6.0  4.0   3.324134  25.661484   3  24
LinMacro 8   2     600.591000  0.044525  2.0  4.0   5.017655  25.661484   4  24
LinMacro 8   2     600.583000  0.005197  4.0  4.0   5.017407  25.661484   5  24
LinMacro 8   2     483.158000  0.000001  4.0  6.0   0.000000  25.661360   1  25
LinMacro 8   2     555.120000  0.004525  4.0  6.0   3.326589  25.661360   2  25
LinMacro 8   2     555.059000  0.037783  6.0  6.0   3.324134  25.661360   3  25
LinMacro 8   2     600.587000  0.039875  4.0  6.0   5.017407  25.661360   5  25
LinMacro 8   2    4350.646000  0.189333  6.0  6.0  22.999083  25.848887  13  26
LinMacro 8   2    5150.474000  0.000030  4.0  6.0  23.441634  25.848887  15  26
LinMacro 8   2    4320.844000  0.103225  4.0  6.0  22.979419  25.848887  12  26
LinMacro 8   2    1128.070000  0.011217  6.0  6.0  14.858000  25.848887   6  26
LinMacro 8   2    1130.151000  0.006905  4.0  6.0  14.878234  25.848887   7  26
LinMacro 8   2     541.443000  0.000001  4.0  4.0   3.326589  26.225541   2  27
LinMacro 8   2     541.385000  0.000001  6.0  4.0   3.324134  26.225541   3  27
LinMacro 8   2     584.617000  0.000001  2.0  4.0   5.017655  26.225541   4  27
LinMacro 8   2   21976.000000  0.000671  6.0  4.0  25.661360  26.225541  25  27
LinMacro 8   2    1093.623000  0.000001  2.0  4.0  14.888463  26.225541   8  27
LinMacro 8   2   21981.000000  0.008932  4.0  4.0  25.661484  26.225541  24  27
LinMacro 8   2    3842.754000  0.000003  6.0  4.0  22.999083  26.225541  13  27
LinMacro 8   2    4453.630000  0.040925  4.0  4.0  23.441634  26.225541  15  27
LinMacro 8   2    4418.220000  0.413950  2.0  4.0  23.419317  26.225541  14  27
LinMacro 8   2    3819.486000  0.000007  4.0  4.0  22.979419  26.225541  12  27
LinMacro 8   2     584.610000  0.000001  4.0  4.0   5.017407  26.225541   5  27
LinMacro 8   2    1090.693000  0.000001  6.0  4.0  14.858000  26.225541   6  27
LinMacro 8   2     540.885000  0.000001  4.0  6.0   3.326589  26.249172   2  28
LinMacro 8   2     540.827000  0.000001  6.0  6.0   3.324134  26.249172   3  28
LinMacro 8   2     583.966000  0.000001  2.0  6.0   5.017655  26.249172   4  28
LinMacro 8   2   21093.000000  0.009792  6.0  6.0  25.661360  26.249172  25  28
LinMacro 8   2   21097.000000  0.001045  4.0  6.0  25.661484  26.249172  24  28
LinMacro 8   2    3814.810000  0.000039  6.0  6.0  22.999083  26.249172  13  28
LinMacro 8   2    4416.138000  0.370750  4.0  6.0  23.441634  26.249172  15  28
LinMacro 8   2     583.959000  0.000001  4.0  6.0   5.017407  26.249172   5  28
LinMacro 8   2    1088.430000  0.000003  6.0  6.0  14.858000  26.249172   6  28
LinMacro 8   2    1090.367000  0.000002  4.0  6.0  14.878234  26.249172   7  28
LinMacro 8   2    1086.024000  0.010385  2.0  4.0  14.888463  26.304854   8  29
LinMacro 8   2    3750.546000  0.141833  6.0  4.0  22.999083  26.304854  13  29
LinMacro 8   2    4330.246000  0.000013  4.0  4.0  23.441634  26.304854  15  29
LinMacro 8   2    3713.798000  0.135600  2.0  4.0  22.966363  26.304854  11  29
LinMacro 8   2    2165.750000  0.000002  6.0  4.0  20.580063  26.304854  10  29
LinMacro 8   2    3728.378000  0.137950  4.0  4.0  22.979419  26.304854  12  29
LinMacro 8   2    1083.135000  0.009953  6.0  4.0  14.858000  26.304854   6  29
LinMacro 8   2    1085.053000  0.010217  4.0  4.0  14.878234  26.304854   7  29
LinMacro 8   2     533.791000  0.000001  4.0  2.0   3.326589  26.553828   2  30
LinMacro 8   2     533.734000  0.000001  6.0  2.0   3.324134  26.553828   3  30
LinMacro 8   2    2075.836000  0.004387  4.0  2.0  20.581055  26.553828   9  30
LinMacro 8   2   13894.000000  0.006300  4.0  2.0  25.661484  26.553828  24  30
LinMacro 8   2    3983.843000  0.046300  4.0  2.0  23.441634  26.553828  15  30
LinMacro 8   2    3955.486000  0.180100  2.0  2.0  23.419317  26.553828  14  30
LinMacro 8   2     575.699000  0.000001  4.0  2.0   5.017407  26.553828   5  30
LinMacro 8   2    1061.916000  0.000001  4.0  2.0  14.878234  26.553828   7  30
LinMacro 8   2     533.621000  0.000001  4.0  4.0   3.326589  26.561230   2  31
LinMacro 8   2     533.564000  0.000001  6.0  4.0   3.324134  26.561230   3  31
LinMacro 8   2     575.508000  0.000001  2.0  4.0   5.017655  26.561230   4  31
LinMacro 8   2   13778.000000  0.007555  6.0  4.0  25.661360  26.561230  25  31
LinMacro 8   2    2073.266000  0.000876  4.0  4.0  20.581055  26.561230   9  31
LinMacro 8   2   13780.000000  0.001277  4.0  4.0  25.661484  26.561230  24  31
LinMacro 8   2    3480.620000  0.000004  6.0  4.0  22.999083  26.561230  13  31
LinMacro 8   2    3974.388000  0.226375  4.0  4.0  23.441634  26.561230  15  31
LinMacro 8   2    3946.164000  0.091200  2.0  4.0  23.419317  26.561230  14  31
LinMacro 8   2    3461.520000  0.000008  4.0  4.0  22.979419  26.561230  12  31
LinMacro 8   2    3448.949000  0.000018  2.0  4.0  22.966363  26.561230  11  31
