   Dtype Element Ion lvl    ion_pot         ex    g rad_rate          config islp ilv
-------- ------- --- --- ---------- ---------- ---- -------- --------------- ---- ---
LevMacro       8   3   1 -54.935658  48.735335  1.0    1e+21   2s2_2p2_3P0.0  310   1
LevMacro       8   3   2 -54.921623  48.749370  3.0    1e-09   2s2_2p2_3P1.0  310   1
LevMacro       8   3   3 -54.897694  48.773299  5.0    1e-09   2s2_2p2_3P2.0  310   1
LevMacro       8   3   4 -52.422075  51.248917  5.0    1e-09   2s2_2p2_1D2.0  120   1
LevMacro       8   3   5 -49.581284  54.089709  1.0    1e-09   2s2_2p2_1S0.0  100   1
LevMacro       8   3   6 -47.456295  56.214698  5.0    1e-09    2s_2p3_5S2.0  501   1
LevMacro       8   3   7 -40.050257  63.620736  3.0    1e-09    2s_2p3_3D1.0  321   1
LevMacro       8   3   8 -40.050852  63.620141  5.0    1e-09    2s_2p3_3D2.0  321   1
LevMacro       8   3   9 -40.054348  63.616644  7.0    1e-09    2s_2p3_3D3.0  321   1
LevMacro       8   3  10 -37.281018  66.389975  1.0    1e-09    2s_2p3_3P0.0  311   1
LevMacro       8   3  11 -37.282468  66.388524  3.0    1e-09    2s_2p3_3P1.0  311   1
LevMacro       8   3  12 -37.282567  66.388425  5.0    1e-09    2s_2p3_3P2.0  311   1
LevMacro       8   3  13 -31.743791  71.927202  5.0    1e-09    2s_2p3_1D2.0  121   1
LevMacro       8   3  14 -30.499764  73.171229  3.0    1e-09    2s_2p3_3S1.0  301   1
LevMacro       8   3  15 -28.841578  74.829415  3.0    1e-09    2s_2p3_1P1.0  111   1
LevMacro       8   3  16 -21.799621  81.871371  1.0    1e-09 2s2_2p_3s_3P0.0  311   2
LevMacro       8   3  17 -21.784942  81.886051  3.0    1e-09 2s2_2p_3s_3P1.0  311   2
LevMacro       8   3  18 -21.753090  81.917903  5.0    1e-09 2s2_2p_3s_3P2.0  311   2
LevMacro       8   3  19 -21.077707  82.593285  3.0    1e-09 2s2_2p_3s_1P1.0  111   2
LevMacro       8   3  20 -18.861242  84.809751  3.0    1e-09 2s2_2p_3p_1P1.0  110   1
LevMacro       8   3  21 -19.753747  83.917246  5.0    1e-09       2p4_3P2.0  310   2
LevMacro       8   3  22 -19.726756  83.944237  3.0    1e-09       2p4_3P1.0  310   2
LevMacro       8   3  23 -19.715039  83.955954  1.0    1e-09       2p4_3P0.0  310   2
LevMacro       8   3  24 -18.500657  85.170336  3.0    1e-09 2s2_2p_3p_3D1.0  320   1
LevMacro       8   3  25 -18.483745  85.187247  5.0    1e-09 2s2_2p_3p_3D2.0  320   1
LevMacro       8   3  26 -18.456444  85.214549  7.0    1e-09 2s2_2p_3p_3D3.0  320   1
LevMacro       8   3  27 -18.042880  85.628113  3.0    1e-09 2s2_2p_3p_3S1.0  300   1
