   Dtype z ion          Wave         f   gl   gu         el         eu  ll  ul
-------- - --- ------------- --------- ---- ---- ---------- ---------- --- ---
LinMacro 8   3 883564.000000  0.000001  1.0  3.0   0.000000   0.014035   1   2
LinMacro 8   3 518145.000000  0.000001  3.0  5.0   0.014035   0.037964   2   3
LinMacro 8   3   4960.295000  0.000001  3.0  5.0   0.014035   2.513583   2   4
LinMacro 8   3   5008.240000  0.000001  5.0  5.0   0.037964   2.513583   3   4
LinMacro 8   3   4932.603000  0.000001  1.0  5.0   0.000000   2.513583   1   4
LinMacro 8   3   4364.436000  0.000001  5.0  1.0   2.513583   5.354374   4   5
LinMacro 8   3   2321.664000  0.000001  3.0  1.0   0.014035   5.354374   2   5
LinMacro 8   3   2332.113000  0.000001  5.0  1.0   0.037964   5.354374   3   5
LinMacro 8   3   1660.809000  0.000001  3.0  5.0   0.014035   7.479363   2   6
LinMacro 8   3   1666.150000  0.000001  5.0  5.0   0.037964   7.479363   3   6
LinMacro 8   3    833.715000  0.026490  3.0  3.0   0.014035  14.885401   2   7
LinMacro 8   3    835.059000  0.001006  5.0  3.0   0.037964  14.885401   3   7
LinMacro 8   3    832.929000  0.108900  1.0  3.0   0.000000  14.885401   1   7
LinMacro 8   3    833.749000  0.081500  3.0  5.0   0.014035  14.884806   2   8
LinMacro 8   3    835.092000  0.015450  5.0  5.0   0.037964  14.884806   3   8
LinMacro 8   3   1002.487000  0.000004  5.0  7.0   2.513583  14.881309   4   9
LinMacro 8   3    835.289000  0.089880  5.0  7.0   0.037964  14.881309   3   9
LinMacro 8   3    702.838000  0.045567  3.0  1.0   0.014035  17.654640   2  10
LinMacro 8   3    818.944000  0.000002  5.0  3.0   2.513583  17.653190   4  11
LinMacro 8   3    702.896000  0.034867  3.0  3.0   0.014035  17.653190   2  11
LinMacro 8   3    703.851000  0.033900  5.0  3.0   0.037964  17.653190   3  11
LinMacro 8   3    702.337000  0.135600  1.0  3.0   0.000000  17.653190   1  11
LinMacro 8   3   1008.105000  0.000004  1.0  3.0   5.354374  17.653190   5  11
LinMacro 8   3    702.900000  0.055633  3.0  5.0   0.014035  17.653090   2  12
LinMacro 8   3    703.854000  0.103000  5.0  5.0   0.037964  17.653090   3  12
LinMacro 8   3    599.590000  0.294400  5.0  5.0   2.513583  23.191867   4  13
LinMacro 8   3    535.481000  0.000012  5.0  5.0   0.037964  23.191867   3  13
LinMacro 8   3    565.565000  0.000009  5.0  3.0   2.513583  24.435894   4  14
LinMacro 8   3    507.680000  0.184100  3.0  3.0   0.014035  24.435894   2  14
LinMacro 8   3    508.178000  0.184600  5.0  3.0   0.037964  24.435894   3  14
LinMacro 8   3    507.388000  0.183900  1.0  3.0   0.000000  24.435894   1  14
LinMacro 8   3    525.794000  0.233200  5.0  3.0   2.513583  26.094080   4  15
LinMacro 8   3    475.401000  0.000030  3.0  3.0   0.014035  26.094080   2  15
LinMacro 8   3    475.838000  0.000004  5.0  3.0   0.037964  26.094080   3  15
LinMacro 8   3    597.814000  0.242400  1.0  3.0   5.354374  26.094080   5  15
LinMacro 8   3    374.328000  0.025270  3.0  1.0   0.014035  33.136036   2  16
LinMacro 8   3    404.688000  0.000008  5.0  3.0   2.513583  33.150716   4  17
LinMacro 8   3    374.162000  0.018847  3.0  3.0   0.014035  33.150716   2  17
LinMacro 8   3    374.432000  0.018976  5.0  3.0   0.037964  33.150716   3  17
