   Dtype Element Ion lvl    ion_pot         ex    g rad_rate         config islp ilv
-------- ------- --- --- ---------- ---------- ---- -------- -------------- ---- ---
LevMacro       8   4   1 -77.413718 103.670993  2.0    1e+21   2s2_2p_2P0.5  211   1
LevMacro       8   4   2 -77.365835 103.718876  4.0    1e-09   2s2_2p_2P1.5  211   1
LevMacro       8   4   3 -68.556239 112.528472  2.0    1e-09   2s_2p2_4P0.5  410   1
LevMacro       8   4   4 -68.540071 112.544640  4.0    1e-09   2s_2p2_4P1.5  410   1
LevMacro       8   4   5 -68.517122 112.567589  6.0    1e-09   2s_2p2_4P2.5  410   1
LevMacro       8   4   6 -61.673814 119.410897  4.0    1e-09   2s_2p2_2D1.5  220   1
LevMacro       8   4   7 -61.675537 119.409174  6.0    1e-09   2s_2p2_2D2.5  220   1
LevMacro       8   4   8 -57.034771 124.049940  2.0    1e-09   2s_2p2_2S0.5  200   1
LevMacro       8   4   9 -55.036829 126.047882  2.0    1e-09   2s_2p2_2P0.5  210   1
LevMacro       8   4  10 -55.006651 126.078060  4.0    1e-09   2s_2p2_2P1.5  210   1
LevMacro       8   4  11 -48.706570 132.378140  4.0    1e-09      2p3_4S1.5  401   1
LevMacro       8   4  12 -45.774650 135.310060  4.0    1e-09      2p3_2D1.5  221   1
LevMacro       8   4  13 -45.778246 135.306465  6.0    1e-09      2p3_2D2.5  221   1
LevMacro       8   4  14 -41.580180 139.504531  2.0    1e-09      2p3_2P0.5  211   2
LevMacro       8   4  15 -41.579176 139.505535  4.0    1e-09      2p3_2P1.5  211   2
LevMacro       8   4  16 -33.074954 148.009757  2.0    1e-09   2s2_3s_2S0.5  200   2
LevMacro       8   4  17 -29.039631 152.045080  2.0    1e-09   2s2_3p_2P0.5  211   3
LevMacro       8   4  18 -29.028869 152.055842  4.0    1e-09   2s2_3p_2P1.5  211   3
LevMacro       8   4  19 -25.397860 155.686850  4.0    1e-09   2s2_3d_2D1.5  220   2
LevMacro       8   4  20 -25.395790 155.688921  6.0    1e-09   2s2_3d_2D2.5  220   2
LevMacro       8   4  21 -23.003080 158.081631  2.0    1e-09 2s_2p_3s_4P0.5  411   1
LevMacro       8   4  22 -22.986355 158.098356  4.0    1e-09 2s_2p_3s_4P1.5  411   1
LevMacro       8   4  23 -22.955730 158.128980  6.0    1e-09 2s_2p_3s_4P2.5  411   1
LevMacro       8   4  24 -21.272549 159.812162  2.0    1e-09 2s_2p_3s_2P0.5  211   4
LevMacro       8   4  25 -21.239705 159.845005  4.0    1e-09 2s_2p_3s_2P1.5  211   4
LevMacro       8   4  26 -19.484352 161.600358  2.0    1e-09 2s_2p_3p_2P0.5  210   2
LevMacro       8   4  27 -19.470020 161.614691  4.0    1e-09 2s_2p_3p_2P1.5  210   2
LevMacro       8   4  28 -19.346965 161.737746  2.0    1e-09 2s_2p_3p_4D0.5  420   1
LevMacro       8   4  29 -19.337356 161.747355  4.0    1e-09 2s_2p_3p_4D1.5  420   1
LevMacro       8   4  30 -19.320531 161.764180  6.0    1e-09 2s_2p_3p_4D2.5  420   1
LevMacro       8   4  31 -19.294569 161.790142  8.0    1e-09 2s_2p_3p_4D3.5  420   1
LevMacro       8   4  32 -18.585611 162.499100  4.0    1e-09 2s_2p_3p_4S1.5  400   1
