   Dtype Element Ion lvl     ion_pot         ex    g rad_rate      config islp ilv
-------- ------- --- --- ----------- ---------- ---- -------- ----------- ---- ---
LevMacro       8   5   1 -113.898942 181.084711  1.0    1e+21   2s2_1S0.0  100   1
LevMacro       8   5   2 -103.739311 191.244341  1.0    1e-09 2s_2p_3P0.0  311   1
LevMacro       8   5   3 -103.722437 191.261216  3.0    1e-09 2s_2p_3P1.0  311   1
LevMacro       8   5   4 -103.684411 191.299242  5.0    1e-09 2s_2p_3P2.0  311   1
LevMacro       8   5   5  -94.210429 200.773224  3.0    1e-09 2s_2p_1P1.0  111   1
LevMacro       8   5   6  -87.432821 207.550832  1.0    1e-09   2p2_3P0.0  310   1
LevMacro       8   5   7  -87.413516 207.570136  3.0    1e-09   2p2_3P1.0  310   1
LevMacro       8   5   8  -87.380189 207.603463  5.0    1e-09   2p2_3P2.0  310   1
LevMacro       8   5   9  -85.168993 209.814659  5.0    1e-09   2p2_1D2.0  120   1
LevMacro       8   5  10  -78.202419 216.781233  1.0    1e-09   2p2_1S0.0  100   2
LevMacro       8   5  11  -46.082601 248.901052  3.0    1e-09 2s_3s_3S1.0  300   1
LevMacro       8   5  12  -44.309158 250.674494  1.0    1e-09 2s_3s_1S0.0  100   3
LevMacro       8   5  13  -41.885440 253.098213  3.0    1e-09 2s_3p_1P1.0  111   2
LevMacro       8   5  14  -41.639764 253.343889  1.0    1e-09 2s_3p_3P0.0  311   2
LevMacro       8   5  15  -41.635213 253.348439  3.0    1e-09 2s_3p_3P1.0  311   2
LevMacro       8   5  16  -41.625642 253.358011  5.0    1e-09 2s_3p_3P2.0  311   2
LevMacro       8   5  17  -39.415165 255.568487  3.0    1e-09 2s_3d_3D1.0  320   1
LevMacro       8   5  18  -39.413925 255.569727  5.0    1e-09 2s_3d_3D2.0  320   1
LevMacro       8   5  19  -39.411408 255.572244  7.0    1e-09 2s_3d_3D3.0  320   1
LevMacro       8   5  20  -37.943874 257.039779  5.0    1e-09 2s_3d_1D2.0  120   2
LevMacro       8   5  21  -32.946986 262.036667  1.0    1e-09 2p_3s_3P0.0  311   3
LevMacro       8   5  22  -32.926888 262.056765  3.0    1e-09 2p_3s_3P1.0  311   3
LevMacro       8   5  23  -32.884336 262.099316  5.0    1e-09 2p_3s_3P2.0  311   3
LevMacro       8   5  24  -31.512741 263.470911  3.0    1e-09 2p_3s_1P1.0  111   3
LevMacro       8   5  25  -30.495086 264.488567  3.0    1e-09 2p_3p_1P1.0  110   1
LevMacro       8   5  26  -29.942498 265.041155  3.0    1e-09 2p_3p_3D1.0  320   2
LevMacro       8   5  27  -29.917973 265.065679  5.0    1e-09 2p_3p_3D2.0  320   2
LevMacro       8   5  28  -29.878732 265.104920  7.0    1e-09 2p_3p_3D3.0  320   2
LevMacro       8   5  29  -29.100368 265.883285  3.0    1e-09 2p_3p_3S1.0  300   2
LevMacro       8   5  30  -28.423336 266.560317  1.0    1e-09 2p_3p_3P0.0  310   2
LevMacro       8   5  31  -28.409177 266.574476  3.0    1e-09 2p_3p_3P1.0  310   2
LevMacro       8   5  32  -28.385520 266.598132  5.0    1e-09 2p_3p_3P2.0  310   2
LevMacro       8   5  33  -28.023794 266.959858  5.0    1e-09 2p_3d_3F2.0  331   1
LevMacro       8   5  34  -28.001056 266.982597  7.0    1e-09 2p_3d_3F3.0  331   1
LevMacro       8   5  35  -27.971870 267.011783  9.0    1e-09 2p_3d_3F4.0  331   1
LevMacro       8   5  36  -27.773618 267.210035  5.0    1e-09 2p_3d_1D2.0  121   1
LevMacro       8   5  37  -27.460382 267.523270  5.0    1e-09 2p_3p_1D2.0  120   3
LevMacro       8   5  38  -26.591025 268.392627  3.0    1e-09 2p_3d_3D1.0  321   1
LevMacro       8   5  39  -26.583586 268.400066  5.0    1e-09 2p_3d_3D2.0  321   1
LevMacro       8   5  40  -26.570444 268.413209  7.0    1e-09 2p_3d_3D3.0  321   1
LevMacro       8   5  41  -26.119982 268.863671  5.0    1e-09 2p_3d_3P2.0  311   4
LevMacro       8   5  42  -26.102141 268.881512  3.0    1e-09 2p_3d_3P1.0  311   4
LevMacro       8   5  43  -26.092234 268.891418  1.0    1e-09 2p_3d_3P0.0  311   4
LevMacro       8   5  44  -26.162844 268.820809  1.0    1e-09 2p_3p_1S0.0  100   4
LevMacro       8   5  45  -25.502252 269.481400  7.0    1e-09 2p_3d_1F3.0  131   1
LevMacro       8   5  46  -24.322350 270.661302  3.0    1e-09 2s_4s_3S1.0  300   3
LevMacro       8   5  47  -24.719734 270.263918  3.0    1e-09 2p_3d_1P1.0  111   4
LevMacro       8   5  48  -23.182867 271.800785  1.0    1e-09 2s_4s_1S0.0  100   5
LevMacro       8   5  49  -22.657035 272.326618  1.0    1e-09 2s_4p_3P0.0  311   5
LevMacro       8   5  50  -22.655745 272.327907  3.0    1e-09 2s_4p_3P1.0  311   5
LevMacro       8   5  51  -22.652385 272.331267  5.0    1e-09 2s_4p_3P2.0  311   5
LevMacro       8   5  52  -22.412884 272.570769  3.0    1e-09 2s_4p_1P1.0  111   5
LevMacro       8   5  53  -21.872483 273.111169  3.0    1e-09 2s_4d_3D1.0  320   3
LevMacro       8   5  54  -21.871901 273.111752  5.0    1e-09 2s_4d_3D2.0  320   3
LevMacro       8   5  55  -21.871343 273.112310  7.0    1e-09 2s_4d_3D3.0  320   3
LevMacro       8   5  56  -21.372142 273.611510  5.0    1e-09 2s_4d_1D2.0  120   4
LevMacro       8   5  57  -21.214396 273.769256  5.0    1e-09 2s_4f_3F2.0  331   2
LevMacro       8   5  58  -21.214396 273.769256  7.0    1e-09 2s_4f_3F3.0  331   2
LevMacro       8   5  59  -21.214396 273.769256  9.0    1e-09 2s_4f_3F4.0  331   2
LevMacro       8   5  60  -20.930062 274.053591  7.0    1e-09 2s_4f_1F3.0  131   2
LevMacro       8   5  61  -15.198179 279.785473  3.0    1e-09 2s_5s_3S1.0  300   4
LevMacro       8   5  62  -15.361219 279.622433  1.0    1e-09 2s_5s_1S0.0  100   6
LevMacro       8   5  63  -14.405296 280.578357  3.0    1e-09 2s_5p_1P1.0  111   6
LevMacro       8   5  64  -14.356570 280.627083  1.0    1e-09 2s_5p_3P0.0  311   6
LevMacro       8   5  65  -14.356570 280.627083  3.0    1e-09 2s_5p_3P1.0  311   6
LevMacro       8   5  66  -14.354586 280.629066  5.0    1e-09 2s_5p_3P2.0  311   6
LevMacro       8   5  67  -13.911787 281.071866  3.0    1e-09 2s_5d_3D1.0  320   4
