   Dtype z ion     Wave         f   gl   gu         el         eu  ll  ul
-------- - --- -------- --------- ---- ---- ---------- ---------- --- ---
LinMacro 8   5 1218.344  0.000002  1.0  3.0   0.000000  10.176505   1   3
LinMacro 8   5 1213.809  0.000001  1.0  5.0   0.000000  10.214531   1   4
LinMacro 8   5 326056.0  0.000001  3.0  5.0  10.176505  10.214531   3   4
LinMacro 8   5  629.732  0.511600  1.0  3.0   0.000000  19.688513   1   5
LinMacro 8   5  761.128  0.063633  3.0  1.0  10.176505  26.466121   3   6
LinMacro 8   5  760.227  0.047767  3.0  3.0  10.176505  26.485426   3   7
LinMacro 8   5  759.442  0.191300  1.0  3.0  10.159631  26.485426   2   7
LinMacro 8   5  762.004  0.047680  5.0  3.0  10.214531  26.485426   4   7
LinMacro 8   5  758.677  0.079833  3.0  5.0  10.176505  26.518753   3   8
LinMacro 8   5  760.446  0.143300  5.0  5.0  10.214531  26.518753   4   8
LinMacro 8   5  431.553  0.000001  1.0  5.0   0.000000  28.729949   1   9
LinMacro 8   5 1371.296  0.157000  3.0  5.0  19.688513  28.729949   5   9
LinMacro 8   5  668.258  0.000004  3.0  5.0  10.176505  28.729949   3   9
LinMacro 8   5   669.63  0.000025  5.0  5.0  10.214531  28.729949   4   9
LinMacro 8   5  774.518  0.114200  3.0  1.0  19.688513  35.696522   5  10
LinMacro 8   5  215.103  0.042533  3.0  3.0  10.176505  67.816341   3  11
LinMacro 8   5   215.04  0.042500  1.0  3.0  10.159631  67.816341   2  11
LinMacro 8   5  215.245  0.042640  5.0  3.0  10.214531  67.816341   4  11
LinMacro 8   5   248.46  0.017590  3.0  1.0  19.688513  69.589784   5  12
LinMacro 8   5  172.169  0.399600  1.0  3.0   0.000000  72.013502   1  13
LinMacro 8   5  236.952  0.000001  3.0  3.0  19.688513  72.013502   5  13
LinMacro 8   5  286.448  0.015440  5.0  3.0  28.729949  72.013502   9  13
LinMacro 8   5  341.396  0.005054  1.0  3.0  35.696522  72.013502  10  13
LinMacro 8   5  272.526  0.000004  5.0  3.0  26.518753  72.013502   8  13
LinMacro 8   5 5115.482  0.214800  1.0  3.0  69.589784  72.013502  12  13
LinMacro 8   5  2790.67  0.053667  3.0  1.0  67.816341  72.259178  11  14
LinMacro 8   5  270.865  0.000213  3.0  1.0  26.485426  72.259178   7  14
LinMacro 8   5  199.832  0.000001  5.0  1.0  10.214531  72.259178   4  14
LinMacro 8   5   339.06  0.000003  1.0  3.0  35.696522  72.263728  10  15
LinMacro 8   5 2787.811  0.161100  3.0  3.0  67.816341  72.263728  11  15
LinMacro 8   5  171.573  0.000263  1.0  3.0   0.000000  72.263728   1  15
LinMacro 8   5  284.802  0.000013  5.0  3.0  28.729949  72.263728   9  15
LinMacro 8   5  199.695  0.000001  3.0  3.0  10.176505  72.263728   3  15
LinMacro 8   5  270.723  0.000647  1.0  3.0  26.466121  72.263728   6  15
LinMacro 8   5  270.838  0.000161  3.0  3.0  26.485426  72.263728   7  15
LinMacro 8   5  271.035  0.000159  5.0  3.0  26.518753  72.263728   8  15
LinMacro 8   5  199.817  0.000001  5.0  3.0  10.214531  72.263728   4  15
LinMacro 8   5 4636.767  0.000168  1.0  3.0  69.589784  72.263728  12  15
LinMacro 8   5  284.739  0.000001  5.0  5.0  28.729949  72.273300   9  16
LinMacro 8   5 2781.825  0.269300  3.0  5.0  67.816341  72.273300  11  16
LinMacro 8   5  199.664  0.000001  3.0  5.0  10.176505  72.273300   3  16
LinMacro 8   5  270.781  0.000275  3.0  5.0  26.485426  72.273300   7  16
LinMacro 8   5   199.61  0.000001  1.0  5.0  10.159631  72.273300   2  16
LinMacro 8   5  270.978  0.000492  5.0  5.0  26.518753  72.273300   8  16
LinMacro 8   5  199.786  0.000001  5.0  5.0  10.214531  72.273300   4  16
LinMacro 8   5 5608.977  0.001149  5.0  3.0  72.273300  74.483777  16  17
LinMacro 8   5  192.801  0.160000  3.0  3.0  10.176505  74.483777   3  17
LinMacro 8   5 5584.798  0.028850  3.0  3.0  72.263728  74.483777  15  17
LinMacro 8   5   192.75  0.639900  1.0  3.0  10.159631  74.483777   2  17
LinMacro 8   5 5573.359  0.115700  1.0  3.0  72.259178  74.483777  14  17
LinMacro 8   5  192.915  0.006402  5.0  3.0  10.214531  74.483777   4  17
LinMacro 8   5 5605.833  0.017260  5.0  5.0  72.273300  74.485016  16  18
LinMacro 8   5  192.797  0.480000  3.0  5.0  10.176505  74.485016   3  18
LinMacro 8   5 5581.681  0.086633  3.0  5.0  72.263728  74.485016  15  18
LinMacro 8   5  192.911  0.096020  5.0  5.0  10.214531  74.485016   4  18
LinMacro 8   5 5599.457  0.096840  5.0  7.0  72.273300  74.487533  16  19
LinMacro 8   5  192.904  0.537600  5.0  7.0  10.214531  74.487533   4  19
LinMacro 8   5  163.234  0.000001  1.0  5.0   0.000000  75.955068   1  20
LinMacro 8   5  220.353  0.520333  3.0  5.0  19.688513  75.955068   5  20
LinMacro 8   5 3145.569  0.222300  3.0  5.0  72.013502  75.955068  13  20
LinMacro 8   5  943.883  0.022283  3.0  1.0  67.816341  80.951956  11  21
LinMacro 8   5  227.635  0.037833  3.0  1.0  26.485426  80.951956   7  21
LinMacro 8   5 1916.843  0.001713  3.0  1.0  74.483777  80.951956  17  21
LinMacro 8   5  153.121  0.000001  1.0  3.0   0.000000  80.972054   1  22
LinMacro 8   5  237.327  0.000005  5.0  3.0  28.729949  80.972054   9  22
LinMacro 8   5  273.845  0.000019  1.0  3.0  35.696522  80.972054  10  22
LinMacro 8   5  942.441  0.066800  3.0  3.0  67.816341  80.972054  11  22
LinMacro 8   5 1911.269  0.002320  5.0  3.0  74.485016  80.972054  18  22
LinMacro 8   5   227.47  0.112600  1.0  3.0  26.466121  80.972054   6  22
LinMacro 8   5  227.551  0.028207  3.0  3.0  26.485426  80.972054   7  22
LinMacro 8   5 1910.904  0.001286  3.0  3.0  74.483777  80.972054  17  22
LinMacro 8   5   227.69  0.028420  5.0  3.0  26.518753  80.972054   8  22
LinMacro 8   5  1089.28  0.000143  1.0  3.0  69.589784  80.972054  12  22
LinMacro 8   5  237.134  0.000010  5.0  5.0  28.729949  81.014605   9  23
