   Dtype Element Ion lvl     ion_pot         ex    g rad_rate             config islp ilv
-------- ------- --- --- ----------- ---------- ---- -------- ------------------ ---- ---
LevMacro       8   6   1 -138.119377 294.983652  2.0    1e+21       1s2.2s_2S0.5  200   1
LevMacro       8   6   2 -126.170335 306.932695  2.0    1e-09       1s2.2p_2P0.5  211   1
LevMacro       8   6   3 -126.104313 306.998717  4.0    1e-09       1s2.2p_2P1.5  211   1
LevMacro       8   6   4  -58.764123 374.338906  2.0    1e-09       1s2.3s_2S0.5  200   2
LevMacro       8   6   5  -55.531416 377.571614  2.0    1e-09       1s2.3p_2P0.5  211   2
LevMacro       8   6   6  -55.512000 377.591030  4.0    1e-09       1s2.3p_2P1.5  211   2
LevMacro       8   6   7  -54.475994 378.627035  4.0    1e-09       1s2.3d_2D1.5  220   1
LevMacro       8   6   8  -54.469659 378.633370  6.0    1e-09       1s2.3d_2D2.5  220   1
LevMacro       8   6   9  -32.397971 400.705058  2.0    1e-09       1s2.4s_2S0.5  200   3
LevMacro       8   6  10  -31.079044 402.023985  2.0    1e-09       1s2.4p_2P0.5  211   3
LevMacro       8   6  11  -31.071122 402.031907  4.0    1e-09       1s2.4p_2P1.5  211   3
LevMacro       8   6  12  -30.639357 402.463672  4.0    1e-09       1s2.4d_2D1.5  220   2
LevMacro       8   6  13  -30.636704 402.466326  6.0    1e-09       1s2.4d_2D2.5  220   2
LevMacro       8   6  14  -30.614857 402.488172  6.0    1e-09       1s2.4f_2F2.5  231   1
LevMacro       8   6  15  -30.613704 402.489325  8.0    1e-09       1s2.4f_2F3.5  231   1
LevMacro       8   6  16  -20.496167 412.606862  2.0    1e-09       1s2.5s_2S0.5  200   4
LevMacro       8   6  17  -19.827888 413.275141  2.0    1e-09       1s2.5p_2P0.5  211   4
LevMacro       8   6  18  -19.827888 413.275141  4.0    1e-09       1s2.5p_2P1.5  211   4
LevMacro       8   6  19  -19.608311 413.494718  4.0    1e-09       1s2.5d_2D1.5  220   3
LevMacro       8   6  20  -19.607195 413.495834  6.0    1e-09       1s2.5d_2D2.5  220   3
LevMacro       8   6  21  -19.592317 413.510712  6.0    1e-09       1s2.5f_2F2.5  231   2
LevMacro       8   6  22  -19.592317 413.510712  8.0    1e-09       1s2.5f_2F3.5  231   2
LevMacro       8   6  23  -19.591077 413.511952  8.0    1e-09       1s2.5g_2G3.5  240   1
LevMacro       8   6  24  -19.591077 413.511952 10.0    1e-09       1s2.5g_2G4.5  240   1
LevMacro       8   6  25  -14.124584 418.978445  2.0    1e-09       1s2.6s_2S0.5  200   5
LevMacro       8   6  26  -13.746430 419.356599  2.0    1e-09       1s2.6p_2P0.5  211   5
LevMacro       8   6  27  -13.746430 419.356599  4.0    1e-09       1s2.6p_2P1.5  211   5
LevMacro       8   6  28  -13.617486 419.485543  4.0    1e-09       1s2.6d_2D1.5  220   4
LevMacro       8   6  29  -13.615750 419.487279  6.0    1e-09       1s2.6d_2D2.5  220   4
LevMacro       8   6  30  -13.605087 419.497942  6.0    1e-09       1s2.6f_2F2.5  231   3
LevMacro       8   6  31  -13.605087 419.497942  8.0    1e-09       1s2.6f_2F3.5  231   3
LevMacro       8   6  32  -13.604344 419.498686  8.0    1e-09       1s2.6g_2G3.5  240   2
