   Dtype Element Ion lvl     ion_pot          ex    g rad_rate      config islp ilv
-------- ------- --- --- ----------- ----------- ---- -------- ----------- ---- ---
LevMacro       8   7   1 -739.331844  433.103029  1.0    1e+21   1s2_1S0.0  100   1
LevMacro       8   7   2 -178.256399  994.178474  3.0    1e-09 1s.2s_3S1.0  300   1
LevMacro       8   7   3 -170.695926 1001.738948  1.0    1e-09 1s.2p_3P0.0  311   1
LevMacro       8   7   4 -170.688611 1001.746263  3.0    1e-09 1s.2p_3P1.0  311   1
LevMacro       8   7   5 -170.620295 1001.814578  5.0    1e-09 1s.2p_3P2.0  311   1
LevMacro       8   7   6 -170.428986 1002.005887  1.0    1e-09 1s.2s_1S0.0  100   2
LevMacro       8   7   7 -165.367676 1007.067198  3.0    1e-09 1s.2p_1P1.0  111   1
LevMacro       8   7   8  -77.398920 1095.035953  3.0    1e-09 1s.3s_3S1.0  300   2
LevMacro       8   7   9  -75.309775 1097.125098  3.0    1e-09 1s.3p_3P1.0  311   2
LevMacro       8   7  10  -75.309775 1097.125098  5.0    1e-09 1s.3p_3P2.0  311   2
LevMacro       8   7  11  -75.309775 1097.125098  1.0    1e-09 1s.3p_3P0.0  311   2
LevMacro       8   7  12  -75.216786 1097.218087  1.0    1e-09 1s.3s_1S0.0  100   3
LevMacro       8   7  13  -74.231106 1098.203767  3.0    1e-09 1s.3d_3D1.0  320   1
LevMacro       8   7  14  -74.223667 1098.211206  5.0    1e-09 1s.3d_3D2.0  320   1
LevMacro       8   7  15  -74.222427 1098.212446  7.0    1e-09 1s.3d_3D3.0  320   1
LevMacro       8   7  16  -74.094723 1098.340150  5.0    1e-09 1s.3d_1D2.0  120   1
LevMacro       8   7  17  -73.712850 1098.722024  3.0    1e-09 1s.3p_1P1.0  111   2
LevMacro       8   7  18  -42.990638 1129.444236  3.0    1e-09 1s.4s_3S1.0  300   3
LevMacro       8   7  19  -42.214492 1130.220381  1.0    1e-09 1s.4p_3P0.0  311   3
LevMacro       8   7  20  -42.214492 1130.220381  3.0    1e-09 1s.4p_3P1.0  311   3
LevMacro       8   7  21  -42.214492 1130.220381  5.0    1e-09 1s.4p_3P2.0  311   3
LevMacro       8   7  22  -42.152500 1130.282373  1.0    1e-09 1s.4s_1S0.0  100   4
LevMacro       8   7  23  -41.797903 1130.636970  3.0    1e-09 1s.4d_3D1.0  320   2
LevMacro       8   7  24  -41.792944 1130.641929  5.0    1e-09 1s.4d_3D2.0  320   2
LevMacro       8   7  25  -41.770007 1130.664867  5.0    1e-09 1s.4f_3F2.0  331   1
LevMacro       8   7  26  -41.768891 1130.665983  7.0    1e-09 1s.4f_3F3.0  331   1
LevMacro       8   7  27  -41.766907 1130.667966  9.0    1e-09 1s.4f_3F4.0  331   1
LevMacro       8   7  28  -41.730951 1130.703922  7.0    1e-09 1s.4d_3D3.0  320   2
LevMacro       8   7  29  -41.709874 1130.724999  5.0    1e-09 1s.4d_1D2.0  120   2
LevMacro       8   7  30  -41.688797 1130.746077  7.0    1e-09 1s.4f_1F3.0  131   1
LevMacro       8   7  31  -41.532576 1130.902298  3.0    1e-09 1s.4p_1P1.0  111   3
LevMacro       8   7  32  -27.335068 1145.099806  3.0    1e-09 1s.5s_3S1.0  300   4
LevMacro       8   7  33  -26.984191 1145.450683  1.0    1e-09 1s.5p_3P0.0  311   4
LevMacro       8   7  34  -26.984191 1145.450683  3.0    1e-09 1s.5p_3P1.0  311   4
LevMacro       8   7  35  -26.984191 1145.450683  5.0    1e-09 1s.5p_3P2.0  311   4
LevMacro       8   7  36  -26.935217 1145.499657  1.0    1e-09 1s.5s_1S0.0  100   5
LevMacro       8   7  37  -26.741180 1145.693693  3.0    1e-09 1s.5d_3D1.0  320   3
LevMacro       8   7  38  -26.738700 1145.696173  5.0    1e-09 1s.5d_3D2.0  320   3
LevMacro       8   7  39  -26.713904 1145.720970  7.0    1e-09 1s.5d_3D3.0  320   3
LevMacro       8   7  40  -26.713408 1145.721466  5.0    1e-09 1s.5f_3F2.0  331   2
LevMacro       8   7  41  -26.713284 1145.721590  7.0    1e-09 1s.5f_3F3.0  331   2
LevMacro       8   7  42  -26.765977 1145.668896  9.0    1e-09 1s.5f_3F4.0  331   2
LevMacro       8   7  43  -26.689107 1145.745767  7.0    1e-09 1s.5f_1F3.0  131   2
LevMacro       8   7  44  -26.711920 1145.722954  7.0    1e-09 1s.5g_3G3.0  340   1
LevMacro       8   7  45  -26.711920 1145.722954  9.0    1e-09 1s.5g_3G4.0  340   1
LevMacro       8   7  46  -26.711052 1145.723821 11.0    1e-09 1s.5g_3G5.0  340   1
LevMacro       8   7  47  -26.711052 1145.723821  9.0    1e-09 1s.5g_1G4.0  140   1
