   Dtype z ion               Wave            f   gl   gu          el          eu  ll  ul
-------- - --- ------------------ ------------ ---- ---- ----------- ----------- --- ---
LinMacro 8   7            22.0977     0.000001  1.0  3.0    0.000000  561.075445   1   2
LinMacro 8   7          1639.9088     0.010767  3.0  1.0  561.075445  568.635918   2   3
LinMacro 8   7            21.8036     0.000098  1.0  3.0    0.000000  568.643234   1   4
LinMacro 8   7          1638.3237     0.032367  3.0  3.0  561.075445  568.643234   2   4
LinMacro 8   7             21.801     0.000001  1.0  5.0    0.000000  568.711549   1   5
LinMacro 8   7          1623.6666     0.054333  3.0  5.0  561.075445  568.711549   2   5
LinMacro 8   7 21.789645154567324     0.000001  1.0  1.0    0.000000  568.902858   1   6
LinMacro 8   7         47755.4919     0.000001  3.0  1.0  568.643234  568.902858   4   6
LinMacro 8   7            21.6015     0.713000  1.0  3.0    0.000000  573.964168   1   7
LinMacro 8   7           132.8927     0.018500  1.0  3.0  568.635918  661.932924   3   8
LinMacro 8   7           132.9031     0.018467  3.0  3.0  568.643234  661.932924   4   8
LinMacro 8   7           133.0005     0.018440  5.0  3.0  568.711549  661.932924   5   8
LinMacro 8   7            18.6718     0.000021  1.0  3.0    0.000000  664.022069   1   9
LinMacro 8   7           120.4361     0.113333  3.0  3.0  561.075445  664.022069   2   9
LinMacro 8   7           130.3468     0.000050  1.0  3.0  568.902858  664.022069   6   9
LinMacro 8   7          5934.7181     0.054333  3.0  3.0  661.932924  664.022069   8   9
LinMacro 8   7           120.4361     0.188667  3.0  5.0  561.075445  664.022069   2  10
LinMacro 8   7          5934.7181     0.090667  3.0  5.0  661.932924  664.022069   8  10
LinMacro 8   7           120.4361     0.037667  3.0  1.0  561.075445  664.022069   2  11
LinMacro 8   7          5934.7181     0.018167  3.0  1.0  661.932924  664.022069   8  11
LinMacro 8   7           129.8654     0.000003  3.0  1.0  568.643234  664.115058   4  12
LinMacro 8   7           137.5304     0.020767  3.0  1.0  573.964168  664.115058   7  12
LinMacro 8   7           128.5286     0.664000  1.0  3.0  568.635918  665.100738   3  13
LinMacro 8   7           128.5383     0.166000  3.0  3.0  568.643234  665.100738   4  13
LinMacro 8   7           128.6294     0.006640  5.0  3.0  568.711549  665.100738   5  13
LinMacro 8   7           128.5284     0.496667  3.0  5.0  568.643234  665.108177   4  14
LinMacro 8   7           128.6195     0.099200  5.0  5.0  568.711549  665.108177   5  14
LinMacro 8   7           136.0318     0.001013  3.0  5.0  573.964168  665.108177   7  14
LinMacro 8   7           128.6179     0.558000  5.0  7.0  568.711549  665.109417   5  15
LinMacro 8   7            18.6377     3.750000  1.0  5.0    0.000000  665.237121   1  16
