   Dtype Element Ion lvl     ion_pot          ex    g rad_rate   config islp ilv
-------- ------- --- --- ----------- ----------- ---- -------- -------- ---- ---
LevMacro       8   8   1 -871.409670 1172.434873  2.0    1e+21 1s_2S0.5  200   1
LevMacro       8   8   2 -217.903329 1825.941214  2.0    1e-09 2s_2S0.5  200   2
LevMacro       8   8   3 -217.912447 1825.932096  2.0    1e-09 2p_2P0.5  211   1
LevMacro       8   8   4 -217.726157 1826.118386  4.0    1e-09 2p_2P1.5  211   1
LevMacro       8   8   5  -96.823876 1947.020667  2.0    1e-09 3s_2S0.5  200   3
LevMacro       8   8   6  -96.826601 1947.017942  2.0    1e-09 3p_2P0.5  211   2
LevMacro       8   8   7  -96.771401 1947.073142  4.0    1e-09 3p_2P1.5  211   2
LevMacro       8   8   8  -96.771494 1947.073050  4.0    1e-09 3d_2D1.5  220   1
LevMacro       8   8   9  -96.753123 1947.091420  6.0    1e-09 3d_2D2.5  220   1
LevMacro       8   8  10  -54.452978 1989.391565  2.0    1e-09 4s_2S0.5  200   4
LevMacro       8   8  11  -54.454131 1989.390412  2.0    1e-09 4p_2P0.5  211   3
LevMacro       8   8  12  -54.430845 1989.413698  4.0    1e-09 4p_2P1.5  211   3
LevMacro       8   8  13  -54.430885 1989.413658  4.0    1e-09 4d_2D1.5  220   2
LevMacro       8   8  14  -54.423133 1989.421410  6.0    1e-09 4d_2D2.5  220   2
LevMacro       8   8  15  -54.423148 1989.421395  6.0    1e-09 4f_2F2.5  231   1
LevMacro       8   8  16  -54.419274 1989.425269  8.0    1e-09 4f_2F3.5  231   1
LevMacro       8   8  17  -34.844373 2009.000170  2.0    1e-09 5s_2S0.5  200   5
LevMacro       8   8  18  -34.844965 2008.999579  2.0    1e-09 5p_2P0.5  211   4
LevMacro       8   8  19  -34.833043 2009.011500  4.0    1e-09 5p_2P1.5  211   4
LevMacro       8   8  20  -34.833063 2009.011480  4.0    1e-09 5d_2D1.5  220   3
LevMacro       8   8  21  -34.829094 2009.015449  6.0    1e-09 5d_2D2.5  220   3
LevMacro       8   8  22  -34.829102 2009.015441  6.0    1e-09 5f_2F2.5  231   2
LevMacro       8   8  23  -34.827118 2009.017425  8.0    1e-09 5f_2F3.5  231   2
LevMacro       8   8  24  -34.827122 2009.017421  8.0    1e-09 5g_2G3.5  240   1
LevMacro       8   8  25  -34.825933 2009.018610 10.0    1e-09 5g_2G4.5  240   1
LevMacro       8   9   1    0.000000 2043.844543  1.0    1e+21     Next    0   0
