   Dtype z ion               Wave         f  gl   gu         el         eu ll ul
-------- - --- ------------------ --------- --- ---- ---------- ---------- -- --
LinMacro 8   8            18.9723  0.000001 2.0  2.0   0.000000 653.506341  1  2
LinMacro 8   8 18.968739291612398  0.000001 2.0  2.0   0.000000 653.506341  1  2
LinMacro 8   8         1359804.19  0.000031 2.0  2.0 653.497223 653.506341  3  2
LinMacro 8   8            18.9725  0.138350 2.0  2.0   0.000000 653.497223  1  3
LinMacro 8   8            18.9671  0.276550 2.0  4.0   0.000000 653.683512  1  4
LinMacro 8   8            102.392  0.013485 2.0  2.0 653.497223 774.585794  3  5
LinMacro 8   8             102.55  0.013683 4.0  2.0 653.683512 774.585794  4  5
LinMacro 8   8            16.0067  0.026145 2.0  2.0   0.000000 774.583069  1  6
LinMacro 8   8            102.402  0.144650 2.0  2.0 653.506341 774.583069  2  6
LinMacro 8   8            102.552  0.000001 4.0  2.0 653.683512 774.583069  4  6
LinMacro 8   8            16.0055  0.052450 2.0  4.0   0.000000 774.638269  1  7
LinMacro 8   8            102.355  0.288350 2.0  4.0 653.506341 774.638269  2  7
LinMacro 8   8            102.348  0.000001 2.0  4.0 653.497223 774.638269  3  7
LinMacro 8   8            102.505  0.000001 4.0  4.0 653.683512 774.638269  4  7
LinMacro 8   8            16.0055  0.000001 2.0  4.0   0.000000 774.638176  1  8
LinMacro 8   8            102.355  0.000001 2.0  4.0 653.506341 774.638176  2  8
LinMacro 8   8            102.348  0.694500 2.0  4.0 653.497223 774.638176  3  8
LinMacro 8   8            102.505  0.069525 4.0  4.0 653.683512 774.638176  4  8
LinMacro 8   8            16.0051  0.000001 2.0  6.0   0.000000 774.656547  1  9
LinMacro 8   8             102.34  0.000001 2.0  6.0 653.506341 774.656547  2  9
LinMacro 8   8             102.49  0.625750 4.0  6.0 653.683512 774.656547  4  9
LinMacro 8   8             75.851  0.002969 2.0  2.0 653.497223 816.956692  3 10
LinMacro 8   8             75.937  0.003040 4.0  2.0 653.683512 816.956692  4 10
LinMacro 8   8            292.599  0.032050 2.0  2.0 774.583069 816.956692  6 10
LinMacro 8   8            292.981  0.032425 4.0  2.0 774.638269 816.956692  7 10
LinMacro 8   8             292.98  0.000001 4.0  2.0 774.638176 816.956692  8 10
LinMacro 8   8            293.107  0.000001 6.0  2.0 774.656547 816.956692  9 10
LinMacro 8   8            15.1765  0.009510 2.0  2.0   0.000000 816.955539  1 11
LinMacro 8   8             75.855  0.034005 2.0  2.0 653.506341 816.955539  2 11
LinMacro 8   8             75.938  0.000001 4.0  2.0 653.683512 816.955539  4 11
LinMacro 8   8            292.626  0.161150 2.0  2.0 774.585794 816.955539  5 11
LinMacro 8   8            292.989  0.000001 4.0  2.0 774.638269 816.955539  7 11
LinMacro 8   8            292.988  0.009220 4.0  2.0 774.638176 816.955539  8 11
LinMacro 8   8             15.176  0.019115 2.0  4.0   0.000000 816.978825  1 12
LinMacro 8   8             75.844  0.068000 2.0  4.0 653.506341 816.978825  2 12
LinMacro 8   8              75.84  0.000001 2.0  4.0 653.497223 816.978825  3 12
LinMacro 8   8             75.927  0.000001 4.0  4.0 653.683512 816.978825  4 12
LinMacro 8   8            292.465  0.321050 2.0  4.0 774.585794 816.978825  5 12
